concept_id,concept_code,concept_name,Concept Class ID,Domain,Vocabulary,codeset
4019015,116015001,Placement of gastrostomy tube,Procedure,Procedure,SNOMED,feeding_tube
4071286,173764008,Reconstruction of gastrostomy,Procedure,Procedure,SNOMED,feeding_tube
4235146,90838004,Removal of gastrostomy tube,Procedure,Procedure,SNOMED,feeding_tube
4335679,433032002,Removal of gastrostomy tube using fluoroscopic guidance,Procedure,Procedure,SNOMED,feeding_tube
2109478,49450,"Replacement of gastrostomy or cecostomy (or other colonic) tube, percutaneous, under fluoroscopic guidance including contrast injection(s), image documentation and report",CPT4,Procedure,CPT4,feeding_tube
926931,1035170,"Replacement of gastrostomy tube, percutaneous, includes removal, when performed, without imaging or endoscopic guidance",CPT4 Hierarchy,Procedure,CPT4,feeding_tube
927093,43762,"Replacement of gastrostomy tube, percutaneous, includes removal, when performed, without imaging or endoscopic guidance; not requiring revision of gastrostomy tract",CPT4,Procedure,CPT4,feeding_tube
927094,43763,"Replacement of gastrostomy tube, percutaneous, includes removal, when performed, without imaging or endoscopic guidance; requiring revision of gastrostomy tract",CPT4,Procedure,CPT4,feeding_tube
4328970,431213007,Replacement of gastrostomy tube using fluoroscopic guidance,Procedure,Procedure,SNOMED,feeding_tube
4238340,5809008,Selective vagotomy with pyloroplasty and gastrostomy,Procedure,Procedure,SNOMED,feeding_tube
2109097,44373,"Small intestinal endoscopy, enteroscopy beyond second portion of duodenum, not including ileum; with conversion of percutaneous gastrostomy tube to percutaneous jejunostomy tube",CPT4,Procedure,CPT4,feeding_tube
4183445,43256005,"Spivack operation, permanent gastrostomy",Procedure,Procedure,SNOMED,feeding_tube
4196637,80118004,"Ssabanejew-Frank operation, permanent gastrostomy",Procedure,Procedure,SNOMED,feeding_tube
45763563,5221000119100,Stomach dysfunction following gastrostomy,Clinical Finding,Condition,SNOMED,feeding_tube
4224661,84510006,Temporary gastrostomy,Procedure,Procedure,SNOMED,feeding_tube
4207333,312340001,Temporary percutaneous endoscopic gastrostomy,Procedure,Procedure,SNOMED,feeding_tube
4032641,1457004,Truncal vagotomy with pyloroplasty and gastrostomy,Procedure,Procedure,SNOMED,feeding_tube
4140968,33250001,Upper gastrointestinal endoscopy for directed placement of percutaneous gastrostomy tube,Procedure,Procedure,SNOMED,feeding_tube
2108973,43641,"Vagotomy including pyloroplasty, with or without gastrostomy; parietal cell (highly selective)",CPT4,Procedure,CPT4,feeding_tube
2108972,43640,"Vagotomy including pyloroplasty, with or without gastrostomy; truncal or selective",CPT4,Procedure,CPT4,feeding_tube
4213269,39620006,"Witzel operation, temporary gastrostomy",Procedure,Procedure,SNOMED,feeding_tube
