drug_id,drug_name,drug_category
40153147,Metformin / repaglinide Oral Tablet,"ORAL HYPOGLYCEMIC AGENTS,ORAL"
40117725,Metformin / ropinirole Oral Tablet,DRUGS USED IN DIABETES
40063306,Metformin / rosiglitazone Oral Tablet,"ORAL HYPOGLYCEMIC AGENTS,ORAL"
40063306,Metformin / rosiglitazone Oral Tablet,DRUGS USED IN DIABETES
40231387,Metformin / saxagliptin Extended Release Oral Tablet,DRUGS USED IN DIABETES
40231387,Metformin / saxagliptin Extended Release Oral Tablet,"ORAL HYPOGLYCEMIC AGENTS,ORAL"
42705988,Metformin / sitagliptin Extended Release Oral Tablet,"ORAL HYPOGLYCEMIC AGENTS,ORAL"
42705988,Metformin / sitagliptin Extended Release Oral Tablet,DRUGS USED IN DIABETES
40139098,Metformin / sitagliptin Oral Tablet,DRUGS USED IN DIABETES
40139098,Metformin / sitagliptin Oral Tablet,"ORAL HYPOGLYCEMIC AGENTS,ORAL"
40056705,miglitol Oral Tablet,"ORAL HYPOGLYCEMIC AGENTS,ORAL"
40056705,miglitol Oral Tablet,DRUGS USED IN DIABETES
40058198,nateglinide Oral Tablet,"ORAL HYPOGLYCEMIC AGENTS,ORAL"
40058198,nateglinide Oral Tablet,DRUGS USED IN DIABETES
40134119,Phenformin Extended Release Oral Capsule,DRUGS USED IN DIABETES
40069900,Phenformin Oral Capsule,DRUGS USED IN DIABETES
40134120,Phenformin Oral Tablet,DRUGS USED IN DIABETES
40099897,pioglitazone Oral Tablet,"ORAL HYPOGLYCEMIC AGENTS,ORAL"
40099897,pioglitazone Oral Tablet,DRUGS USED IN DIABETES
45776620,"Regular Insulin, Human Inhalant Powder",DRUGS USED IN DIABETES
40159688,"Regular Insulin, Human Prefilled Syringe",DRUGS USED IN DIABETES
40098705,repaglinide Oral Tablet,DRUGS USED IN DIABETES
40098705,repaglinide Oral Tablet,"ORAL HYPOGLYCEMIC AGENTS,ORAL"
40099632,rosiglitazone Oral Tablet,"ORAL HYPOGLYCEMIC AGENTS,ORAL"
40099632,rosiglitazone Oral Tablet,DRUGS USED IN DIABETES
40166044,saxagliptin Oral Tablet,"ORAL HYPOGLYCEMIC AGENTS,ORAL"
40166044,saxagliptin Oral Tablet,DRUGS USED IN DIABETES
40243622,Simvastatin / sitagliptin Oral Tablet,DRUGS USED IN DIABETES
40243622,Simvastatin / sitagliptin Oral Tablet,"ORAL HYPOGLYCEMIC AGENTS,ORAL"
40136769,sitagliptin Oral Tablet,DRUGS USED IN DIABETES
40136769,sitagliptin Oral Tablet,"ORAL HYPOGLYCEMIC AGENTS,ORAL"
40089088,Tolazamide Oral Capsule,DRUGS USED IN DIABETES
40089088,Tolazamide Oral Capsule,"ORAL HYPOGLYCEMIC AGENTS,ORAL"
40089089,Tolazamide Oral Tablet,DRUGS USED IN DIABETES
40089089,Tolazamide Oral Tablet,"ORAL HYPOGLYCEMIC AGENTS,ORAL"
40089115,Tolbutamide Oral Tablet,DRUGS USED IN DIABETES
40089115,Tolbutamide Oral Tablet,"ORAL HYPOGLYCEMIC AGENTS,ORAL"
40099093,tolrestat Oral Capsule,DRUGS USED IN DIABETES
40100066,troglitazone Oral Tablet,DRUGS USED IN DIABETES
40100066,troglitazone Oral Tablet,"ORAL HYPOGLYCEMIC AGENTS,ORAL"
40148129,vildagliptin Oral Tablet,DRUGS USED IN DIABETES
