drug_id,drug_name,drug_category,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
40006791,Albuterol / Beclomethasone Inhalant Powder,Corticosteroids,Albuterol / Beclomethasone Inhalant Powder,Drug,RxNorm,Clinical Drug Form,NA,370791,1970-01-01,2019-02-03,D
40020306,Budesonide Inhalant Powder,Corticosteroids,Budesonide Inhalant Powder,Drug,RxNorm,Clinical Drug Form,NA,371151,1970-01-01,2019-02-03,D
40038604,Epinephrine Nasal Solution,ANTIASTHMA/BRONCHODILATORS,epinephrine Nasal Solution,Drug,RxNorm,Clinical Drug Form,S,372031,1970-01-01,2099-12-31,NA
40057247,flunisolide Inhalant Powder,Corticosteroids,flunisolide Inhalant Powder,Drug,RxNorm,Clinical Drug Form,NA,375073,1970-01-01,2019-02-03,D
40085176,Triamcinolone Inhalant Powder,Corticosteroids,Triamcinolone Inhalant Powder,Drug,RxNorm,Clinical Drug Form,NA,375327,1970-01-01,2019-02-03,D
40006792,Albuterol / Beclomethasone Inhalant Solution,Corticosteroids,Albuterol / Beclomethasone Inhalant Solution,Drug,RxNorm,Clinical Drug Form,NA,377276,1970-01-01,2019-02-03,D
40010683,Beclomethasone Inhalant Solution,Corticosteroids,Beclomethasone Inhalant Solution,Drug,RxNorm,Clinical Drug Form,NA,377278,1970-01-01,2019-02-03,D
40020308,Budesonide Inhalant Solution,Corticosteroids,Budesonide Inhalant Solution,Drug,RxNorm,Clinical Drug Form,NA,377279,1970-01-01,2019-02-03,D
40020308,Budesonide Inhalant Solution,ANTIASTHMA/BRONCHODILATORS,Budesonide Inhalant Solution,Drug,RxNorm,Clinical Drug Form,NA,377279,1970-01-01,2019-02-03,D
40028258,Dexamethasone Inhalant Solution,Corticosteroids,Dexamethasone Inhalant Solution,Drug,RxNorm,Clinical Drug Form,NA,377280,1970-01-01,2019-02-03,D
40028258,Dexamethasone Inhalant Solution,ANTIASTHMA/BRONCHODILATORS,Dexamethasone Inhalant Solution,Drug,RxNorm,Clinical Drug Form,NA,377280,1970-01-01,2019-02-03,D
40038592,Epinephrine Inhalant Solution,ANTIASTHMA/BRONCHODILATORS,Epinephrine Inhalant Solution,Drug,RxNorm,Clinical Drug Form,NA,377281,1970-01-01,2019-02-03,D
40058813,formoterol Inhalant Solution,ANTIASTHMA/BRONCHODILATORS,formoterol Inhalant Solution,Drug,RxNorm,Clinical Drug Form,NA,377284,1970-01-01,2019-02-03,D
40049153,Ipratropium Inhalant Solution,ANTIASTHMA/BRONCHODILATORS,Ipratropium Inhalant Solution,Drug,RxNorm,Clinical Drug Form,NA,377286,1970-01-01,2019-02-03,D
40049962,Isoetharine Inhalant Solution,ANTIASTHMA/BRONCHODILATORS,Isoetharine Inhalant Solution,Drug,RxNorm,Clinical Drug Form,NA,377287,1970-01-01,2019-02-03,D
40051082,Isoproterenol Inhalant Solution,ANTIASTHMA/BRONCHODILATORS,Isoproterenol Inhalant Solution,Drug,RxNorm,Clinical Drug Form,NA,377288,1970-01-01,2019-02-03,D
40100014,salmeterol Inhalant Solution,ANTIASTHMA/BRONCHODILATORS,salmeterol Inhalant Solution,Drug,RxNorm,Clinical Drug Form,NA,377294,1970-01-01,2019-02-03,D
40085740,Terbutaline Inhalant Solution,ANTIASTHMA/BRONCHODILATORS,Terbutaline Inhalant Solution,Drug,RxNorm,Clinical Drug Form,NA,377295,1970-01-01,2019-02-03,D
40085177,Triamcinolone Inhalant Solution,Corticosteroids,Triamcinolone Inhalant Solution,Drug,RxNorm,Clinical Drug Form,NA,377296,1970-01-01,2019-02-03,D
40070510,metaproterenol Inhalant Solution,ANTIASTHMA/BRONCHODILATORS,metaproterenol Inhalant Solution,Drug,RxNorm,Clinical Drug Form,NA,377299,1970-01-01,2019-02-03,D
40092002,bitolterol Inhalant Solution,ANTIASTHMA/BRONCHODILATORS,bitolterol Inhalant Solution,Drug,RxNorm,Clinical Drug Form,NA,377301,1970-01-01,2019-02-03,D
40006795,Albuterol / Ipratropium Inhalant Solution,ANTIASTHMA/BRONCHODILATORS,Albuterol / Ipratropium Inhalant Solution,Drug,RxNorm,Clinical Drug Form,NA,377303,1970-01-01,2019-02-03,D
40057248,flunisolide Inhalant Solution,Corticosteroids,flunisolide Inhalant Solution,Drug,RxNorm,Clinical Drug Form,NA,378093,1970-01-01,2016-06-05,D
40057248,flunisolide Inhalant Solution,ANTIASTHMA/BRONCHODILATORS,flunisolide Inhalant Solution,Drug,RxNorm,Clinical Drug Form,NA,378093,1970-01-01,2016-06-05,D
40052250,Levalbuterol Inhalant Solution,ANTIASTHMA/BRONCHODILATORS,Levalbuterol Inhalant Solution,Drug,RxNorm,Clinical Drug Form,NA,378650,1970-01-01,2019-02-03,D
40083752,Racepinephrine Inhalant Solution,ANTIASTHMA/BRONCHODILATORS,Racepinephrine Inhalant Solution,Drug,RxNorm,Clinical Drug Form,NA,379469,1970-01-01,2019-02-03,D
40037817,Ephedrine Inhalant Solution,ANTIASTHMA/BRONCHODILATORS,Ephedrine Inhalant Solution,Drug,RxNorm,Clinical Drug Form,NA,379481,1970-01-01,2019-02-03,D
40019974,Budesonide / formoterol Inhalant Powder,Corticosteroids,Budesonide / formoterol Inhalant Powder,Drug,RxNorm,Clinical Drug Form,NA,393398,1970-01-01,2019-02-03,D
40098556,tiotropium Inhalant Powder,ANTIASTHMA/BRONCHODILATORS,tiotropium Inhalant Powder,Drug,RxNorm,Clinical Drug Form,NA,393548,1970-01-01,2019-02-03,D
40066276,Mometasone Inhalant Powder,Corticosteroids,Mometasone Inhalant Powder,Drug,RxNorm,Clinical Drug Form,NA,402356,1970-01-01,2016-06-05,D
40124439,formoterol Inhalant Powder,ANTIASTHMA/BRONCHODILATORS,formoterol Inhalant Powder,Drug,RxNorm,Clinical Drug Form,NA,562170,2005-09-11,2019-02-03,D
40127967,ciclesonide Inhalant Solution,Corticosteroids,ciclesonide Inhalant Solution,Drug,RxNorm,Clinical Drug Form,NA,597913,2006-01-15,2016-06-05,D
40136614,arformoterol Inhalant Solution,ANTIASTHMA/BRONCHODILATORS,arformoterol Inhalant Solution,Drug,RxNorm,Clinical Drug Form,NA,668955,2006-12-17,2019-02-03,D
40139916,Budesonide / formoterol Inhalant Solution,Corticosteroids,Budesonide / formoterol Inhalant Solution,Drug,RxNorm,Clinical Drug Form,NA,707360,2007-07-01,2019-02-03,D
40144024,fluticasone / salmeterol Metered Dose Inhaler,ANTIASTHMA/BRONCHODILATORS,fluticasone / salmeterol Metered Dose Inhaler,Drug,RxNorm,Clinical Drug Form,S,744485,2007-12-30,2099-12-31,NA
40144024,fluticasone / salmeterol Metered Dose Inhaler,Corticosteroids,fluticasone / salmeterol Metered Dose Inhaler,Drug,RxNorm,Clinical Drug Form,S,744485,2007-12-30,2099-12-31,NA
40142703,Albuterol Metered Dose Inhaler,ANTIASTHMA/BRONCHODILATORS,albuterol Metered Dose Inhaler,Drug,RxNorm,Clinical Drug Form,S,745678,2007-12-30,2099-12-31,NA
40142665,Albuterol / Ipratropium Metered Dose Inhaler,ANTIASTHMA/BRONCHODILATORS,Albuterol / Ipratropium Metered Dose Inhaler,Drug,RxNorm,Clinical Drug Form,NA,745734,2007-12-30,2020-05-03,D
40143276,Levalbuterol Metered Dose Inhaler,ANTIASTHMA/BRONCHODILATORS,levalbuterol Metered Dose Inhaler,Drug,RxNorm,Clinical Drug Form,S,745790,2007-12-30,2099-12-31,NA
40142910,Budesonide / formoterol Metered Dose Inhaler,Corticosteroids,budesonide / formoterol Metered Dose Inhaler,Drug,RxNorm,Clinical Drug Form,S,745797,2007-12-30,2099-12-31,NA
40142910,Budesonide / formoterol Metered Dose Inhaler,ANTIASTHMA/BRONCHODILATORS,budesonide / formoterol Metered Dose Inhaler,Drug,RxNorm,Clinical Drug Form,S,745797,2007-12-30,2099-12-31,NA
40142784,Beclomethasone Metered Dose Inhaler,Corticosteroids,beclomethasone Metered Dose Inhaler,Drug,RxNorm,Clinical Drug Form,S,746190,2007-12-30,2099-12-31,NA
40142784,Beclomethasone Metered Dose Inhaler,ANTIASTHMA/BRONCHODILATORS,beclomethasone Metered Dose Inhaler,Drug,RxNorm,Clinical Drug Form,S,746190,2007-12-30,2099-12-31,NA
40143708,Triamcinolone Metered Dose Inhaler,Corticosteroids,triamcinolone Metered Dose Inhaler,Drug,RxNorm,Clinical Drug Form,S,746202,2007-12-30,2099-12-31,NA
40143708,Triamcinolone Metered Dose Inhaler,ANTIASTHMA/BRONCHODILATORS,triamcinolone Metered Dose Inhaler,Drug,RxNorm,Clinical Drug Form,S,746202,2007-12-30,2099-12-31,NA
40144037,fluticasone Metered Dose Inhaler,Corticosteroids,fluticasone Metered Dose Inhaler,Drug,RxNorm,Clinical Drug Form,S,746403,2007-12-30,2099-12-31,NA
40144037,fluticasone Metered Dose Inhaler,ANTIASTHMA/BRONCHODILATORS,fluticasone Metered Dose Inhaler,Drug,RxNorm,Clinical Drug Form,S,746403,2007-12-30,2099-12-31,NA
40143214,Ipratropium Metered Dose Inhaler,ANTIASTHMA/BRONCHODILATORS,ipratropium Metered Dose Inhaler,Drug,RxNorm,Clinical Drug Form,S,746447,2007-12-30,2099-12-31,NA
40144020,fluticasone / salmeterol Dry Powder Inhaler,ANTIASTHMA/BRONCHODILATORS,fluticasone / salmeterol Dry Powder Inhaler,Drug,RxNorm,Clinical Drug Form,S,746717,2007-12-30,2099-12-31,NA
40144020,fluticasone / salmeterol Dry Powder Inhaler,Corticosteroids,fluticasone / salmeterol Dry Powder Inhaler,Drug,RxNorm,Clinical Drug Form,S,746717,2007-12-30,2099-12-31,NA
40144035,fluticasone Dry Powder Inhaler,ANTIASTHMA/BRONCHODILATORS,fluticasone Dry Powder Inhaler,Drug,RxNorm,Clinical Drug Form,S,746765,2007-12-30,2099-12-31,NA
40144035,fluticasone Dry Powder Inhaler,Corticosteroids,fluticasone Dry Powder Inhaler,Drug,RxNorm,Clinical Drug Form,S,746765,2007-12-30,2099-12-31,NA
40143326,Mometasone Dry Powder Inhaler,Corticosteroids,mometasone Dry Powder Inhaler,Drug,RxNorm,Clinical Drug Form,S,746792,2007-12-30,2099-12-31,NA
40143326,Mometasone Dry Powder Inhaler,ANTIASTHMA/BRONCHODILATORS,mometasone Dry Powder Inhaler,Drug,RxNorm,Clinical Drug Form,S,746792,2007-12-30,2099-12-31,NA
40142920,Budesonide Dry Powder Inhaler,Corticosteroids,budesonide Dry Powder Inhaler,Drug,RxNorm,Clinical Drug Form,S,746824,2007-12-30,2099-12-31,NA
40142920,Budesonide Dry Powder Inhaler,ANTIASTHMA/BRONCHODILATORS,budesonide Dry Powder Inhaler,Drug,RxNorm,Clinical Drug Form,S,746824,2007-12-30,2099-12-31,NA
40143337,Nedocromil Metered Dose Inhaler,ANTIASTHMA/BRONCHODILATORS,nedocromil Metered Dose Inhaler,Drug,RxNorm,Clinical Drug Form,S,748721,2007-12-30,2099-12-31,NA
40152662,ciclesonide Metered Dose Inhaler,Corticosteroids,ciclesonide Metered Dose Inhaler,Drug,RxNorm,Clinical Drug Form,S,799033,2008-07-27,2099-12-31,NA
40152662,ciclesonide Metered Dose Inhaler,ANTIASTHMA/BRONCHODILATORS,ciclesonide Metered Dose Inhaler,Drug,RxNorm,Clinical Drug Form,S,799033,2008-07-27,2099-12-31,NA
40152687,pirbuterol Metered Dose Inhaler,ANTIASTHMA/BRONCHODILATORS,pirbuterol Metered Dose Inhaler,Drug,RxNorm,Clinical Drug Form,S,801916,2008-07-27,2099-12-31,NA
40156382,flunisolide Metered Dose Inhaler,ANTIASTHMA/BRONCHODILATORS,flunisolide Metered Dose Inhaler,Drug,RxNorm,Clinical Drug Form,S,828926,2009-02-01,2099-12-31,NA
40156382,flunisolide Metered Dose Inhaler,Corticosteroids,flunisolide Metered Dose Inhaler,Drug,RxNorm,Clinical Drug Form,S,828926,2009-02-01,2099-12-31,NA
40160589,Isoproterenol / Phenylephrine Metered Dose Inhaler,ANTIASTHMA/BRONCHODILATORS,isoproterenol / phenylephrine Metered Dose Inhaler,Drug,RxNorm,Clinical Drug Form,S,848167,2009-05-31,2099-12-31,NA
40167702,salmeterol Dry Powder Inhaler,ANTIASTHMA/BRONCHODILATORS,salmeterol Dry Powder Inhaler,Drug,RxNorm,Clinical Drug Form,S,866043,2009-11-01,2099-12-31,NA
40182262,metaproterenol Metered Dose Inhaler,ANTIASTHMA/BRONCHODILATORS,metaproterenol Metered Dose Inhaler,Drug,RxNorm,Clinical Drug Form,S,979330,2010-06-06,2099-12-31,NA
40223712,formoterol / Mometasone Metered Dose Inhaler,Corticosteroids,formoterol / mometasone Metered Dose Inhaler,Drug,RxNorm,Clinical Drug Form,S,998040,2010-08-01,2099-12-31,NA
40223712,formoterol / Mometasone Metered Dose Inhaler,ANTIASTHMA/BRONCHODILATORS,formoterol / mometasone Metered Dose Inhaler,Drug,RxNorm,Clinical Drug Form,S,998040,2010-08-01,2099-12-31,NA
