concept_id,concept_code,concept_name,codeset,med_group
19081625,567758,prednisone 5 MG [Sterapred],c19meds,Systemic corticosteroids
1551193,315187,prednisone 1 MG/ML Oral Solution,c19meds,Systemic corticosteroids
36243621,1303130,Rayos Pill,c19meds,Systemic corticosteroids
36242469,1185262,Prednisone Intensol Oral Product,c19meds,Systemic corticosteroids
36242464,1185257,Prednicen-M Pill,c19meds,Systemic corticosteroids
36227856,1176945,Meticorten Oral Product,c19meds,Systemic corticosteroids
1551234,351399,prednisone 5 MG Oral Tablet [Prednicot],c19meds,Systemic corticosteroids
1551198,316584,prednisone 5 MG,c19meds,Systemic corticosteroids
42873632,1303137,prednisone 5 MG Delayed Release Oral Tablet [Rayos],c19meds,Systemic corticosteroids
19087427,539946,prednisone 1 MG/ML [Liquid Pred],c19meds,Systemic corticosteroids
19034197,575332,prednisone 20 MG [Prednicot],c19meds,Systemic corticosteroids
19034013,206956,prednisone 5 MG Oral Tablet [Prednicen-M],c19meds,Systemic corticosteroids
19064110,250996,piroxicam 10 MG / prednisone 2 MG Delayed Release Oral Tablet,c19meds,Systemic corticosteroids
19031623,206199,prednisone 1 MG/ML Oral Solution [Liquid Pred],c19meds,Systemic corticosteroids
19135073,845492,{21 (prednisone 5 MG Oral Tablet [Sterapred]) } Pack [Sterapred 5 MG Uni-Pak],c19meds,Systemic corticosteroids
19033622,206837,prednisone 2.5 MG Oral Tablet [Deltasone],c19meds,Systemic corticosteroids
19111642,451141,prednisone 100 MG,c19meds,Systemic corticosteroids
36235093,1171029,Decortisyl Pill,c19meds,Systemic corticosteroids
42873631,1303135,prednisone 5 MG Delayed Release Oral Tablet,c19meds,Systemic corticosteroids
19129514,763185,{21 (prednisone 10 MG Oral Tablet) } Pack,c19meds,Systemic corticosteroids
19033380,206755,prednisone 1 MG Oral Tablet [Orasone],c19meds,Systemic corticosteroids
19034196,575331,prednisone 10 MG [Prednicot],c19meds,Systemic corticosteroids
19024533,201082,prednisone 1 MG Oral Tablet [Econosone],c19meds,Systemic corticosteroids
19098197,351400,prednisone 10 MG Oral Tablet [Prednicot],c19meds,Systemic corticosteroids
36242473,1185266,Predone Pill,c19meds,Systemic corticosteroids
36242466,1185259,Prednicot Pill,c19meds,Systemic corticosteroids
19089064,567793,prednisone 20 MG [Deltasone],c19meds,Systemic corticosteroids
19089062,567755,prednisone 5 MG [Deltasone],c19meds,Systemic corticosteroids
19113806,541872,prednisone 20 MG Oral Tablet [Predone],c19meds,Systemic corticosteroids
19089065,567841,prednisone 50 MG [Deltasone],c19meds,Systemic corticosteroids
36242472,1185265,Predone Oral Product,c19meds,Systemic corticosteroids
40073809,368813,prednisone Oral Tablet [Prednicen-M],c19meds,Systemic corticosteroids
19034012,206955,prednisone 5 MG Oral Tablet [Orasone],c19meds,Systemic corticosteroids
40073806,380827,prednisone Oral Tablet [Econosone],c19meds,Systemic corticosteroids
19121837,582601,prednisone 5 MG/ML [Prednisone Intensol],c19meds,Systemic corticosteroids
1551099,8640,prednisone,c19meds,Systemic corticosteroids
19087454,567794,prednisone 20 MG [Orasone],c19meds,Systemic corticosteroids
19130165,795855,{12 (prednisone 5 MG Oral Tablet [Sterapred]) } Pack [Sterapred Uni-Pak 12 Day],c19meds,Systemic corticosteroids
1551170,312615,prednisone 20 MG Oral Tablet,c19meds,Systemic corticosteroids
1146889,251947,piroxicam 10 MG / prednisone 2 MG Oral Tablet,c19meds,Systemic corticosteroids
19106693,429331,prednisone 8 MG Oral Tablet,c19meds,Systemic corticosteroids
40127030,582602,prednisone Oral Solution [Prednisone Intensol],c19meds,Systemic corticosteroids
19135074,845493,{48 (prednisone 10 MG Oral Tablet [Sterapred DS]) } Pack [Sterapred DS 12 Day Uni-Pak],c19meds,Systemic corticosteroids
1551233,335473,prednisone 2 MG,c19meds,Systemic corticosteroids
36237401,1171798,Econosone Pill,c19meds,Systemic corticosteroids
19033379,206754,prednisone 1 MG Oral Tablet [Meticorten],c19meds,Systemic corticosteroids
40073531,373585,prednisone Oral Tablet,c19meds,Systemic corticosteroids
36228922,1178984,Sterapred Oral Product,c19meds,Systemic corticosteroids
19133985,834395,{25 (prednisone 10 MG Oral Tablet) } Pack,c19meds,Systemic corticosteroids
1551232,317663,prednisone 10 MG,c19meds,Systemic corticosteroids
19106694,429332,prednisone 40 MG Oral Tablet,c19meds,Systemic corticosteroids
19034232,206998,prednisone 20 MG Oral Tablet [Orasone],c19meds,Systemic corticosteroids
42873421,1303128,prednisone Delayed Release Oral Tablet [Rayos],c19meds,Systemic corticosteroids
36227293,1159297,piroxicam / prednisone Oral Product,c19meds,Systemic corticosteroids
40073808,368790,prednisone Oral Tablet [Orasone],c19meds,Systemic corticosteroids
36237400,1171797,Econosone Oral Product,c19meds,Systemic corticosteroids
19087455,567842,prednisone 50 MG [Orasone],c19meds,Systemic corticosteroids
19111644,451144,prednisone 40 MG,c19meds,Systemic corticosteroids
19117428,565679,prednisone 5 MG [Econosone],c19meds,Systemic corticosteroids
19028933,205301,prednisone 5 MG/ML Oral Solution,c19meds,Systemic corticosteroids
40073812,368812,prednisone Oral Tablet [Sterapred],c19meds,Systemic corticosteroids
19121838,582603,prednisone 5 MG/ML Oral Solution [Prednisone Intensol],c19meds,Systemic corticosteroids
19034014,206957,prednisone 5 MG Oral Tablet [Sterapred],c19meds,Systemic corticosteroids
36235092,1171028,Decortisyl Oral Product,c19meds,Systemic corticosteroids
19129513,763183,{48 (prednisone 10 MG Oral Tablet) } Pack,c19meds,Systemic corticosteroids
36235126,1172410,Deltasone Oral Product,c19meds,Systemic corticosteroids
19105449,420773,prednisone 100 MG Rectal Suppository,c19meds,Systemic corticosteroids
36227894,1178547,Liquid Pred Oral Product,c19meds,Systemic corticosteroids
1551171,312616,prednisone 25 MG Oral Tablet,c19meds,Systemic corticosteroids
42873423,1303136,prednisone 5 MG [Rayos],c19meds,Systemic corticosteroids
40073810,368654,prednisone Oral Tablet [Prednicot],c19meds,Systemic corticosteroids
42873630,1303134,prednisone 2 MG Delayed Release Oral Tablet [Rayos],c19meds,Systemic corticosteroids
36242465,1185258,Prednicot Oral Product,c19meds,Systemic corticosteroids
36242468,1185261,Prednisone Intensol Oral Liquid Product,c19meds,Systemic corticosteroids
40119172,541814,prednisone Oral Tablet [Predone],c19meds,Systemic corticosteroids
36227857,1176946,Meticorten Pill,c19meds,Systemic corticosteroids
19105235,418863,chloramphenicol 0.002 MG/MG / prednisone 0.005 MG/MG Topical Ointment,c19meds,Systemic corticosteroids
36223456,1161706,prednisone Pill,c19meds,Systemic corticosteroids
40143531,746379,prednisone Oral Capsule,c19meds,Systemic corticosteroids
19007010,105412,prednisone 5 MG Oral Tablet [Decortisyl],c19meds,Systemic corticosteroids
19078115,567757,prednisone 5 MG [Prednicen-M],c19meds,Systemic corticosteroids
19130164,795854,{12 (prednisone 5 MG Oral Tablet) } Pack,c19meds,Systemic corticosteroids
19034328,207049,prednisone 50 MG Oral Tablet [Orasone],c19meds,Systemic corticosteroids
19087453,567785,prednisone 10 MG [Orasone],c19meds,Systemic corticosteroids
40073532,380828,prednisone Oral Tablet [Decortisyl],c19meds,Systemic corticosteroids
19105447,420771,prednisone 5 MG Rectal Suppository,c19meds,Systemic corticosteroids
19034203,206988,prednisone 10 MG Oral Tablet [Deltasone],c19meds,Systemic corticosteroids
19034327,207048,prednisone 50 MG Oral Tablet [Deltasone],c19meds,Systemic corticosteroids
42873418,1303124,prednisone Delayed Release Oral Tablet,c19meds,Systemic corticosteroids
36216744,1153052,chloramphenicol / prednisone Topical Product,c19meds,Systemic corticosteroids
19117427,565678,prednisone 1 MG [Econosone],c19meds,Systemic corticosteroids
19087451,567566,prednisone 1 MG [Orasone],c19meds,Systemic corticosteroids
19087429,567565,prednisone 1 MG [Meticorten],c19meds,Systemic corticosteroids
42873420,1303127,prednisone 1 MG [Rayos],c19meds,Systemic corticosteroids
19109240,438434,prednisone 0.005 MG/MG,c19meds,Systemic corticosteroids
1551100,198144,prednisone 1 MG Oral Tablet,c19meds,Systemic corticosteroids
19130171,795861,{6 (prednisone 10 MG Oral Tablet [Sterapred DS]) } Pack [Sterapred DS Uni-Pak 6 Day],c19meds,Systemic corticosteroids
1551101,198145,prednisone 10 MG Oral Tablet,c19meds,Systemic corticosteroids
1551197,316583,prednisone 25 MG,c19meds,Systemic corticosteroids
1551200,316586,prednisone 50 MG,c19meds,Systemic corticosteroids
19120864,575330,prednisone 5 MG [Prednicot],c19meds,Systemic corticosteroids
19098198,351401,prednisone 20 MG Oral Tablet [Prednicot],c19meds,Systemic corticosteroids
19024534,201083,prednisone 5 MG Oral Tablet [Econosone],c19meds,Systemic corticosteroids
42873629,1303132,prednisone 2 MG Delayed Release Oral Tablet,c19meds,Systemic corticosteroids
19111643,451143,prednisone 30 MG,c19meds,Systemic corticosteroids
36223455,1161705,prednisone Oral Product,c19meds,Systemic corticosteroids
19105448,420772,prednisone 30 MG Rectal Suppository,c19meds,Systemic corticosteroids
19034231,206997,prednisone 20 MG Oral Tablet [Deltasone],c19meds,Systemic corticosteroids
36228920,1178982,Sterapred DS Oral Product,c19meds,Systemic corticosteroids
19081860,316580,prednisone 1 MG/ML,c19meds,Systemic corticosteroids
36227294,1159298,piroxicam / prednisone Pill,c19meds,Systemic corticosteroids
36228923,1178985,Sterapred Pill,c19meds,Systemic corticosteroids
36228921,1178983,Sterapred DS Pill,c19meds,Systemic corticosteroids
42873422,1303133,prednisone 2 MG [Rayos],c19meds,Systemic corticosteroids
42873627,1303125,prednisone 1 MG Delayed Release Oral Tablet,c19meds,Systemic corticosteroids
19034204,206989,prednisone 10 MG Oral Tablet [Orasone],c19meds,Systemic corticosteroids
19105450,420774,prednisone 10 MG Rectal Suppository,c19meds,Systemic corticosteroids
1551195,316581,prednisone 2.5 MG,c19meds,Systemic corticosteroids
36227295,1159299,piroxicam / prednisone Rectal Product,c19meds,Systemic corticosteroids
36241153,1183442,Orasone Oral Product,c19meds,Systemic corticosteroids
36223454,1161704,prednisone Oral Liquid Product,c19meds,Systemic corticosteroids
1551201,317475,prednisone 1 MG,c19meds,Systemic corticosteroids
42873628,1303131,prednisone 1 MG Delayed Release Oral Tablet [Rayos],c19meds,Systemic corticosteroids
40073807,368867,prednisone Oral Tablet [Meticorten],c19meds,Systemic corticosteroids
36243620,1303129,Rayos Oral Product,c19meds,Systemic corticosteroids
36242463,1185256,Prednicen-M Oral Product,c19meds,Systemic corticosteroids
40077886,373495,piroxicam / prednisone Delayed Release Oral Tablet,c19meds,Systemic corticosteroids
40073811,368806,prednisone Oral Tablet [Sterapred DS],c19meds,Systemic corticosteroids
36235127,1172411,Deltasone Pill,c19meds,Systemic corticosteroids
36223457,1161707,prednisone Rectal Product,c19meds,Systemic corticosteroids
19130170,795860,{6 (prednisone 10 MG Oral Tablet) } Pack,c19meds,Systemic corticosteroids
40077887,376283,piroxicam / prednisone Oral Tablet,c19meds,Systemic corticosteroids
19111647,451147,prednisone 8 MG,c19meds,Systemic corticosteroids
19129511,763179,{48 (prednisone 5 MG Oral Tablet) } Pack,c19meds,Systemic corticosteroids
19113805,541871,prednisone 20 MG [Predone],c19meds,Systemic corticosteroids
40077888,450881,piroxicam / prednisone Rectal Suppository,c19meds,Systemic corticosteroids
19127775,746837,prednisone 5 MG Oral Capsule,c19meds,Systemic corticosteroids
19105412,420639,piroxicam 10 MG / prednisone 2 MG Rectal Suppository,c19meds,Systemic corticosteroids
19087452,567756,prednisone 5 MG [Orasone],c19meds,Systemic corticosteroids
40073530,364008,prednisone Oral Solution [Liquid Pred],c19meds,Systemic corticosteroids
40073529,373583,prednisone Oral Solution,c19meds,Systemic corticosteroids
36241154,1183443,Orasone Pill,c19meds,Systemic corticosteroids
1551122,198146,prednisone 2.5 MG Oral Tablet,c19meds,Systemic corticosteroids
19130166,795856,{6 (prednisone 5 MG Oral Tablet) } Pack,c19meds,Systemic corticosteroids
19129512,763181,{21 (prednisone 5 MG Oral Tablet) } Pack,c19meds,Systemic corticosteroids
19135072,845491,{48 (prednisone 5 MG Oral Tablet [Sterapred]) } Pack [Sterapred 5 MG 12 Day Uni-Pak],c19meds,Systemic corticosteroids
19127696,746380,prednisone 10 MG Oral Capsule,c19meds,Systemic corticosteroids
19127774,746836,prednisone 20 MG Oral Capsule,c19meds,Systemic corticosteroids
19130167,795857,{6 (prednisone 5 MG Oral Tablet [Sterapred]) } Pack [Sterapred Uni-Pak 6 Day],c19meds,Systemic corticosteroids
1551123,198148,prednisone 50 MG Oral Tablet,c19meds,Systemic corticosteroids
19113791,541815,prednisone 10 MG Oral Tablet [Predone],c19meds,Systemic corticosteroids
19089063,567784,prednisone 10 MG [Deltasone],c19meds,Systemic corticosteroids
19034205,206990,prednisone 10 MG Oral Tablet [Sterapred DS],c19meds,Systemic corticosteroids
19113790,541813,prednisone 10 MG [Predone],c19meds,Systemic corticosteroids
40022944,438435,chloramphenicol / prednisone Topical Ointment,c19meds,Systemic corticosteroids
19116164,564054,prednisone 5 MG [Decortisyl],c19meds,Systemic corticosteroids
36227893,1178546,Liquid Pred Oral Liquid Product,c19meds,Systemic corticosteroids
1551196,316582,prednisone 20 MG,c19meds,Systemic corticosteroids
37499271,2284718,remdesivir,c19meds,remdesivir
37499275,2284960,remdesivir 100 MG Injection,c19meds,remdesivir
37002798,2395505,remdesivir 5 MG/ML Injection [Veklury],c19meds,remdesivir
37002793,2395499,remdesivir 100 MG [Veklury],c19meds,remdesivir
37002795,2395501,Veklury Injectable Product,c19meds,remdesivir
37002797,2395503,remdesivir 5 MG/ML [Veklury],c19meds,remdesivir
37002794,2395500,remdesivir Injection [Veklury],c19meds,remdesivir
1145689,2367757,remdesivir 5 MG/ML,c19meds,remdesivir
1145690,2367759,remdesivir 5 MG/ML Injection,c19meds,remdesivir
37499273,2284958,remdesivir Injectable Product,c19meds,remdesivir
37002796,2395502,remdesivir 100 MG Injection [Veklury],c19meds,remdesivir
37499272,2284957,remdesivir 100 MG,c19meds,remdesivir
37003601,2395504,20 ML remdesivir 5 MG/ML Injection [Veklury],c19meds,remdesivir
1146730,2367758,20 ML remdesivir 5 MG/ML Injection,c19meds,remdesivir
37499274,2284959,remdesivir Injection,c19meds,remdesivir
36212961,1155010,azithromycin Oral Liquid Product,c19meds,azithromycin
19064637,251860,azithromycin 60 MG/ML Oral Suspension,c19meds,azithromycin
36231348,1176326,Azinthromycin Pill,c19meds,azithromycin
40164102,861417,azithromycin 1000 MG Powder for Oral Suspension [Zithromax],c19meds,azithromycin
1734168,577378,azithromycin 33.3 MG/ML Extended Release Suspension,c19meds,azithromycin
19128020,749783,{6 (azithromycin 250 MG Oral Tablet) } Pack,c19meds,azithromycin
19133861,834043,{3 (azithromycin 250 MG Oral Tablet [Zithromax]) } Pack [Z-Pak Sample],c19meds,azithromycin
19073776,308459,azithromycin 20 MG/ML Oral Suspension,c19meds,azithromycin
40132345,628529,azithromycin Oral Tablet [Azinthromycin],c19meds,azithromycin
19006686,105260,azithromycin 40 MG/ML Oral Suspension [Zithromax],c19meds,azithromycin
36231088,1176314,AzaSite Ophthalmic Product,c19meds,azithromycin
1734104,18631,azithromycin,c19meds,azithromycin
35603388,1668237,azithromycin Injection,c19meds,azithromycin
35603391,1668240,azithromycin 500 MG Injection [Zithromax],c19meds,azithromycin
1734167,577161,azithromycin 33.3 MG/ML,c19meds,azithromycin
19085757,330623,azithromycin 500 MG,c19meds,azithromycin
40144501,750855,azithromycin Ophthalmic Suspension,c19meds,azithromycin
1734134,248656,azithromycin 500 MG Oral Tablet,c19meds,azithromycin
36212963,1155012,azithromycin Pill,c19meds,azithromycin
19123886,628530,azithromycin 250 MG Oral Tablet [Azinthromycin],c19meds,azithromycin
40013066,370975,azithromycin Oral Suspension,c19meds,azithromycin
19113147,539820,azithromycin 250 MG [ZPAK],c19meds,azithromycin
19080954,315450,azithromycin 40 MG/ML,c19meds,azithromycin
40164101,861416,azithromycin 1000 MG Powder for Oral Suspension,c19meds,azithromycin
36241409,1187672,Zithromax Injectable Product,c19meds,azithromycin
19103484,410626,azithromycin 50 MG Oral Capsule,c19meds,azithromycin
19006685,105259,azithromycin 250 MG Oral Capsule [Zithromax],c19meds,azithromycin
19120522,574033,azithromycin 500 MG [Zithromax],c19meds,azithromycin
1734108,141963,azithromycin 40 MG/ML Oral Suspension,c19meds,azithromycin
40139854,706871,azithromycin Ophthalmic Solution [AzaSite],c19meds,azithromycin
19038753,571749,azithromycin 20 MG/ML [Zithromax],c19meds,azithromycin
1734169,583482,azithromycin 33.3 MG/ML Extended Release Suspension [Zmax],c19meds,azithromycin
36241410,1187673,Zithromax Oral Liquid Product,c19meds,azithromycin
40221346,1807496,azithromycin 1000 MG [Zithromax],c19meds,azithromycin
35603389,1668238,azithromycin 500 MG Injection,c19meds,azithromycin
36212959,1155008,azithromycin Injectable Product,c19meds,azithromycin
19126616,706870,azithromycin 10 MG/ML [AzaSite],c19meds,azithromycin
1734165,332566,azithromycin 60 MG/ML,c19meds,azithromycin
19122010,583480,azithromycin 33.3 MG/ML [Zmax],c19meds,azithromycin
40013065,366555,azithromycin Oral Capsule [Zithromax],c19meds,azithromycin
19121228,577162,azithromycin 33.3 MG/ML Oral Suspension,c19meds,azithromycin
1734139,315448,azithromycin 20 MG/ML,c19meds,azithromycin
19123885,628528,azithromycin 250 MG [Azinthromycin],c19meds,azithromycin
19038754,571893,azithromycin 600 MG [Zithromax],c19meds,azithromycin
36245251,1296746,Zmax Oral Liquid Product,c19meds,azithromycin
40125243,583481,azithromycin Extended Release Suspension [Zmax],c19meds,azithromycin
19126615,706868,azithromycin 10 MG/ML Ophthalmic Solution,c19meds,azithromycin
1734107,141962,azithromycin 250 MG Oral Capsule,c19meds,azithromycin
40013068,370976,azithromycin Oral Tablet,c19meds,azithromycin
36240808,1187965,Zmax Oral Product,c19meds,azithromycin
19133860,834042,{3 (azithromycin 250 MG Oral Tablet) } Pack,c19meds,azithromycin
19128019,749782,{6 (azithromycin 250 MG Oral Capsule) } Pack,c19meds,azithromycin
1734140,315449,azithromycin 250 MG,c19meds,azithromycin
19028283,204844,azithromycin 600 MG Oral Tablet,c19meds,azithromycin
40221347,1807497,azithromycin Powder for Oral Suspension [Zithromax],c19meds,azithromycin
19116114,564001,azithromycin 250 MG [Zithromax],c19meds,azithromycin
40139853,706867,azithromycin Ophthalmic Solution,c19meds,azithromycin
35603390,1668239,azithromycin Injection [Zithromax],c19meds,azithromycin
1734111,211511,azithromycin 600 MG Oral Tablet [Zithromax],c19meds,azithromycin
40221348,1807498,Zithromax Oral Powder Product,c19meds,azithromycin
19128124,750149,{6 (azithromycin 250 MG Oral Tablet [Zithromax]) } Pack [Z-PAK],c19meds,azithromycin
1734132,212446,azithromycin 250 MG Oral Tablet [Zithromax],c19meds,azithromycin
19128200,750856,azithromycin 10 MG/ML Ophthalmic Suspension,c19meds,azithromycin
40221344,1807493,azithromycin Oral Powder Product,c19meds,azithromycin
40013069,367697,azithromycin Oral Tablet [Zithromax],c19meds,azithromycin
1734133,226827,azithromycin 500 MG Oral Tablet [Zithromax],c19meds,azithromycin
36242626,1186860,ZPAK Pill,c19meds,azithromycin
36241412,1187675,Zithromax Pill,c19meds,azithromycin
36231347,1176325,Azinthromycin Oral Product,c19meds,azithromycin
19046028,211307,azithromycin 20 MG/ML Oral Suspension [Zithromax],c19meds,azithromycin
40013067,366000,azithromycin Oral Suspension [Zithromax],c19meds,azithromycin
19126614,706866,azithromycin 10 MG/ML,c19meds,azithromycin
19106272,427722,azithromycin 1000 MG Oral Tablet,c19meds,azithromycin
36241411,1187674,Zithromax Oral Product,c19meds,azithromycin
19073777,308460,azithromycin 250 MG Oral Tablet,c19meds,azithromycin
40013064,370974,azithromycin Oral Capsule,c19meds,azithromycin
1734162,315451,azithromycin 600 MG,c19meds,azithromycin
19128131,750157,{3 (azithromycin 500 MG Oral Tablet [Zithromax]) } Pack [TRI-PAK],c19meds,azithromycin
19126617,706872,azithromycin 10 MG/ML Ophthalmic Solution [AzaSite],c19meds,azithromycin
19113148,539822,azithromycin 250 MG Oral Tablet [ZPAK],c19meds,azithromycin
19108236,434692,azithromycin 1000 MG,c19meds,azithromycin
40105825,539821,azithromycin Oral Tablet [ZPAK],c19meds,azithromycin
40221345,1807494,azithromycin Powder for Oral Suspension,c19meds,azithromycin
36242625,1186859,ZPAK Oral Product,c19meds,azithromycin
40125242,577377,azithromycin Extended Release Suspension,c19meds,azithromycin
36212962,1155011,azithromycin Oral Product,c19meds,azithromycin
19108237,434695,azithromycin 50 MG,c19meds,azithromycin
36212960,1155009,azithromycin Ophthalmic Product,c19meds,azithromycin
19116115,564002,azithromycin 40 MG/ML [Zithromax],c19meds,azithromycin
19128018,749780,{3 (azithromycin 500 MG Oral Tablet) } Pack,c19meds,azithromycin
1510629,2047238,baricitinib Oral Product,c19meds,baricitinib
1510631,2047240,baricitinib Oral Tablet,c19meds,baricitinib
1510628,2047237,baricitinib 2 MG,c19meds,baricitinib
1510635,2047244,baricitinib Oral Tablet [Olumiant],c19meds,baricitinib
1510634,2047243,baricitinib 2 MG [Olumiant],c19meds,baricitinib
37497353,2205472,baricitinib 1 MG Oral Tablet,c19meds,baricitinib
37497355,2205474,baricitinib 1 MG Oral Tablet [Olumiant],c19meds,baricitinib
1510638,2047247,baricitinib 2 MG Oral Tablet [Olumiant],c19meds,baricitinib
1510630,2047239,baricitinib Pill,c19meds,baricitinib
1510632,2047241,baricitinib 2 MG Oral Tablet,c19meds,baricitinib
1510627,2047232,baricitinib,c19meds,baricitinib
37497354,2205473,baricitinib 1 MG [Olumiant],c19meds,baricitinib
37497352,2205471,baricitinib 1 MG,c19meds,baricitinib
1510637,2047246,Olumiant Pill,c19meds,baricitinib
1510636,2047245,Olumiant Oral Product,c19meds,baricitinib
37003202,2463115,bamlanivimab 35 MG/ML,c19meds,bamlanivimab
37003201,2463114,bamlanivimab,c19meds,bamlanivimab
37003203,2463116,bamlanivimab Injectable Product,c19meds,bamlanivimab
37003205,2463119,bamlanivimab 35 MG/ML Injection,c19meds,bamlanivimab
37003637,2463118,20 ML bamlanivimab 35 MG/ML Injection,c19meds,bamlanivimab
37003204,2463117,bamlanivimab Injection,c19meds,bamlanivimab
37003288,2465242,casirivimab,c19meds,casirivimab
