concept_id,concept_name,concept_code,vocabulary_id,ingredient,pcornet_vocabulary_id
2009556,15 ML propofol 10 MG/ML Injectable Suspension [FREEFOL-MCT] by Daewon,OMOP4925652,RxNorm Extension,propofol,RX
2009561,12 ML propofol 10 MG/ML Injectable Suspension [FREEFOL-MCT],OMOP4925760,RxNorm Extension,propofol,RX
2009562,12 ML propofol 10 MG/ML Injectable Suspension [FREEFOL-MCT] by Daewon,OMOP4925761,RxNorm Extension,propofol,RX
2009628,8 ML propofol 10 MG/ML Injectable Suspension [FREEFOL-MCT],OMOP4926329,RxNorm Extension,propofol,RX
2009629,8 ML propofol 10 MG/ML Injectable Suspension [FREEFOL-MCT] by Daewon,OMOP4926330,RxNorm Extension,propofol,RX
2011892,propofol 20 MG/ML Injectable Suspension [FREEFOL-MCT],OMOP4954438,RxNorm Extension,propofol,RX
2011893,propofol 10 MG/ML Injectable Suspension [FREEFOL-MCT],OMOP4954444,RxNorm Extension,propofol,RX
2011894,propofol Injectable Suspension [FREEFOL-MCT],OMOP4954454,RxNorm Extension,propofol,RX
2025869,100 ML propofol 10 MG/ML Injectable Suspension [Provive] by Myungmoon,OMOP4924464,RxNorm Extension,propofol,RX
2026286,50 ML propofol 20 MG/ML Injectable Suspension [Fresofol] by Fresenius Kabi,OMOP4924916,RxNorm Extension,propofol,RX
2026287,50 ML propofol 20 MG/ML Injectable Suspension [Fresofol],OMOP4924917,RxNorm Extension,propofol,RX
2026288,50 ML propofol 20 MG/ML Injectable Suspension [FRESOFOL MCT] by Fresenius Kabi,OMOP4924920,RxNorm Extension,propofol,RX
2026289,50 ML propofol 20 MG/ML Injectable Suspension [FRESOFOL MCT],OMOP4924921,RxNorm Extension,propofol,RX
2026292,50 ML propofol 10 MG/ML Injectable Suspension [Provive] by Myungmoon,OMOP4924924,RxNorm Extension,propofol,RX
2026293,50 ML propofol 10 MG/ML Injectable Suspension [Fresofol] by Fresenius Kabi,OMOP4924925,RxNorm Extension,propofol,RX
2026294,50 ML propofol 10 MG/ML Injectable Suspension [POFOL],OMOP4924926,RxNorm Extension,propofol,RX
2026295,50 ML propofol 10 MG/ML Injectable Suspension [POFOL] by Dongkook,OMOP4924927,RxNorm Extension,propofol,RX
2026296,50 ML propofol 10 MG/ML Injectable Suspension [FRESOFOL MCT] by Fresenius Kabi,OMOP4924930,RxNorm Extension,propofol,RX
2026297,50 ML propofol 10 MG/ML Injectable Suspension [FRESOFOL MCT],OMOP4924931,RxNorm Extension,propofol,RX
2026298,50 ML propofol 10 MG/ML Injectable Suspension [AQUAFOL],OMOP4924932,RxNorm Extension,propofol,RX
2026299,50 ML propofol 10 MG/ML Injectable Suspension [AQUAFOL] by Daewon,OMOP4924933,RxNorm Extension,propofol,RX
2026764,20 ML propofol 10 MG/ML Injectable Suspension [Provive] by Myungmoon,OMOP4925415,RxNorm Extension,propofol,RX
2026765,20 ML propofol 10 MG/ML Injectable Suspension [Fresofol] by Fresenius Kabi,OMOP4925416,RxNorm Extension,propofol,RX
2026766,20 ML propofol 10 MG/ML Injectable Suspension [POFOL],OMOP4925417,RxNorm Extension,propofol,RX
2026767,20 ML propofol 10 MG/ML Injectable Suspension [POFOL] by Dongkook,OMOP4925418,RxNorm Extension,propofol,RX
2026768,20 ML propofol 10 MG/ML Injectable Suspension [ANEPOL],OMOP4925419,RxNorm Extension,propofol,RX
2026769,20 ML propofol 10 MG/ML Injectable Suspension [ANEPOL] by Hana,OMOP4925420,RxNorm Extension,propofol,RX
2026770,20 ML propofol 10 MG/ML Injectable Suspension [FRESOFOL MCT] by Fresenius Kabi,OMOP4925423,RxNorm Extension,propofol,RX
2026771,20 ML propofol 10 MG/ML Injectable Suspension [FRESOFOL MCT],OMOP4925424,RxNorm Extension,propofol,RX
2026772,20 ML propofol 10 MG/ML Injectable Suspension by Yuhwa Medical,OMOP4925425,RxNorm Extension,propofol,RX
2026773,20 ML propofol 10 MG/ML Injectable Suspension [AQUAFOL],OMOP4925426,RxNorm Extension,propofol,RX
2026775,20 ML propofol 10 MG/ML Injectable Suspension [AQUAFOL] by Daewon,OMOP4925427,RxNorm Extension,propofol,RX
2026983,15 ML propofol 10 MG/ML Injectable Suspension [Provive],OMOP4925647,RxNorm Extension,propofol,RX
2026984,15 ML propofol 10 MG/ML Injectable Suspension [Provive] by Myungmoon,OMOP4925648,RxNorm Extension,propofol,RX
2026985,15 ML propofol 10 MG/ML Injectable Suspension [POFOL],OMOP4925649,RxNorm Extension,propofol,RX
2026986,15 ML propofol 10 MG/ML Injectable Suspension [POFOL] by Dongkook,OMOP4925650,RxNorm Extension,propofol,RX
2026987,15 ML propofol 10 MG/ML Injectable Suspension [FRESOFOL MCT] by Fresenius Kabi,OMOP4925653,RxNorm Extension,propofol,RX
2026988,15 ML propofol 10 MG/ML Injectable Suspension [FRESOFOL MCT],OMOP4925654,RxNorm Extension,propofol,RX
2027085,12 ML propofol 10 MG/ML Injectable Suspension [Provive],OMOP4925754,RxNorm Extension,propofol,RX
2027086,12 ML propofol 10 MG/ML Injectable Suspension [Provive] by Myungmoon,OMOP4925755,RxNorm Extension,propofol,RX
2027087,12 ML propofol 10 MG/ML Injectable Suspension [POFOL],OMOP4925756,RxNorm Extension,propofol,RX
2027088,12 ML propofol 10 MG/ML Injectable Suspension [POFOL] by Dongkook,OMOP4925757,RxNorm Extension,propofol,RX
2027089,12 ML propofol 10 MG/ML Injectable Suspension [ANEPOL],OMOP4925758,RxNorm Extension,propofol,RX
2027090,12 ML propofol 10 MG/ML Injectable Suspension [ANEPOL] by Hana,OMOP4925759,RxNorm Extension,propofol,RX
2027091,12 ML propofol 10 MG/ML Injectable Suspension,OMOP4925762,RxNorm Extension,propofol,RX
2027092,12 ML propofol 10 MG/ML Injectable Suspension [AQUAFOL],OMOP4925763,RxNorm Extension,propofol,RX
2027093,12 ML propofol 10 MG/ML Injectable Suspension [AQUAFOL] by Daewon,OMOP4925764,RxNorm Extension,propofol,RX
2027292,10 ML propofol 10 MG/ML Injectable Suspension [Provive],OMOP4925998,RxNorm Extension,propofol,RX
2027293,10 ML propofol 10 MG/ML Injectable Suspension [Provive] by Myungmoon,OMOP4925999,RxNorm Extension,propofol,RX
2027294,10 ML propofol 10 MG/ML Injectable Suspension by Baxter,OMOP4926000,RxNorm Extension,propofol,RX
2027615,8 ML propofol 10 MG/ML Injectable Suspension [ANEPOL],OMOP4926327,RxNorm Extension,propofol,RX
2027616,8 ML propofol 10 MG/ML Injectable Suspension [ANEPOL] by Hana,OMOP4926328,RxNorm Extension,propofol,RX
2027617,8 ML propofol 10 MG/ML Injectable Suspension,OMOP4926331,RxNorm Extension,propofol,RX
2028157,5 ML propofol 10 MG/ML Injectable Suspension [ANEPOL],OMOP4926906,RxNorm Extension,propofol,RX
2028158,5 ML propofol 10 MG/ML Injectable Suspension [ANEPOL] by Hana,OMOP4926907,RxNorm Extension,propofol,RX
2028159,5 ML propofol 10 MG/ML Injectable Suspension,OMOP4926908,RxNorm Extension,propofol,RX
2053866,propofol 20 MG/ML Injectable Suspension [Fresofol],OMOP4954437,RxNorm Extension,propofol,RX
2053867,propofol 20 MG/ML Injectable Suspension [FRESOFOL MCT],OMOP4954439,RxNorm Extension,propofol,RX
2053870,propofol 10 MG/ML Injectable Suspension [POFOL],OMOP4954442,RxNorm Extension,propofol,RX
2053871,propofol 10 MG/ML Injectable Suspension [ANEPOL],OMOP4954443,RxNorm Extension,propofol,RX
2053872,propofol 10 MG/ML Injectable Suspension [FRESOFOL MCT],OMOP4954445,RxNorm Extension,propofol,RX
2053873,propofol 10 MG/ML Injectable Suspension [AQUAFOL],OMOP4954446,RxNorm Extension,propofol,RX
2053880,propofol Injectable Suspension [POFOL],OMOP4954452,RxNorm Extension,propofol,RX
2053881,propofol Injectable Suspension [ANEPOL],OMOP4954453,RxNorm Extension,propofol,RX
2053882,propofol Injectable Suspension [FRESOFOL MCT],OMOP4954455,RxNorm Extension,propofol,RX
2053883,propofol Injectable Suspension [AQUAFOL],OMOP4954456,RxNorm Extension,propofol,RX
19017322,propofol 20 MG/ML Injectable Suspension [Diprivan],153476,RxNorm,propofol,RX
35200013,propofol Injectable Suspension [PropoThesia],2050123,RxNorm,propofol,RX
35200014,PropoThesia Injectable Product,2050124,RxNorm,propofol,RX
35200015,propofol 10 MG/ML Injectable Suspension [PropoThesia],2050125,RxNorm,propofol,RX
35414244,50 ML Propofol 20 MG/ML Injectable Suspension [Diprivan] Box of 1 by Aspen,OMOP1147829,RxNorm Extension,propofol,RX
35414342,50 ML Propofol 10 MG/ML Injectable Suspension [Diprivan] Box of 1 by Aspen,OMOP1147927,RxNorm Extension,propofol,RX
35414892,100 ML Propofol 10 MG/ML Injectable Suspension Box of 1,OMOP1148477,RxNorm Extension,propofol,RX
35414923,100 ML Propofol 10 MG/ML Injectable Suspension [PROPOFOL PANPHARMA] Box of 1,OMOP1148508,RxNorm Extension,propofol,RX
35414942,100 ML Propofol 10 MG/ML Injectable Suspension [PROPOFOL PANPHARMA] Box of 1 by Claris,OMOP1148527,RxNorm Extension,propofol,RX
35415055,100 ML Propofol 10 MG/ML Injectable Suspension [PROPOFOL PANPHARMA],OMOP1148640,RxNorm Extension,propofol,RX
35771179,Propofol 20 MG/ML Injection [Diprivan],OMOP2772640,RxNorm Extension,propofol,RX
35775361,Propofol 20 MG/ML Injection [Diprivan] Box of 1,OMOP2776822,RxNorm Extension,propofol,RX
35782865,20 ML Propofol 10 MG/ML Injectable Suspension [Diprivan] by Astrazeneca,OMOP2784326,RxNorm Extension,propofol,RX
35783042,20 ML Propofol 10 MG/ML Injectable Suspension [Diprivan] Box of 5 by Astrazeneca,OMOP2784503,RxNorm Extension,propofol,RX
35783043,20 ML Propofol 10 MG/ML Injectable Suspension Box of 5 by Zurich,OMOP2784504,RxNorm Extension,propofol,RX
35783103,20 ML Propofol 10 MG/ML Injection [Diprivan] Box of 5 by Astrazeneca,OMOP2784564,RxNorm Extension,propofol,RX
35783104,20 ML Propofol 10 MG/ML Injection [Diprivan] by Astrazeneca,OMOP2784565,RxNorm Extension,propofol,RX
35783305,20 ML Propofol 10 MG/ML Injectable Suspension by Zurich,OMOP2784766,RxNorm Extension,propofol,RX
35783898,50 ML Propofol 10 MG/ML Injection [Diprivan] by Astrazeneca,OMOP2785359,RxNorm Extension,propofol,RX
35783899,50 ML Propofol 10 MG/ML Injectable Suspension Box of 1 by Zurich,OMOP2785360,RxNorm Extension,propofol,RX
35783972,50 ML Propofol 20 MG/ML Injection [Diprivan],OMOP2785433,RxNorm Extension,propofol,RX
35784102,50 ML Propofol 20 MG/ML Injection [Diprivan] Box of 1,OMOP2785563,RxNorm Extension,propofol,RX
35784143,50 ML Propofol 10 MG/ML Injection [Diprivan] Box of 1 by Astrazeneca,OMOP2785604,RxNorm Extension,propofol,RX
35784144,50 ML Propofol 10 MG/ML Injectable Suspension by Zurich,OMOP2785605,RxNorm Extension,propofol,RX
35784263,50 ML Propofol 10 MG/ML Injectable Suspension [Diprivan] by Astrazeneca,OMOP2785724,RxNorm Extension,propofol,RX
35784474,50 ML Propofol 20 MG/ML Injection [Diprivan] Box of 1 by Astrazeneca,OMOP2785935,RxNorm Extension,propofol,RX
35784475,50 ML Propofol 20 MG/ML Injectable Suspension Box of 1 by Zurich,OMOP2785936,RxNorm Extension,propofol,RX
35784586,50 ML Propofol 20 MG/ML Injectable Suspension [Diprivan] by Astrazeneca,OMOP2786047,RxNorm Extension,propofol,RX
35784587,50 ML Propofol 20 MG/ML Injection [Diprivan] by Astrazeneca,OMOP2786048,RxNorm Extension,propofol,RX
35784588,50 ML Propofol 20 MG/ML Injectable Suspension by Zurich,OMOP2786049,RxNorm Extension,propofol,RX
35786478,100 ML Propofol 10 MG/ML Injection [Diprivan] Box of 1 by Astrazeneca,OMOP2787939,RxNorm Extension,propofol,RX
35786682,100 ML Propofol 10 MG/ML Injectable Suspension [Diprivan] by Astrazeneca,OMOP2788143,RxNorm Extension,propofol,RX
35787030,100 ML Propofol 10 MG/ML Injectable Suspension Box of 1 by Zurich,OMOP2788491,RxNorm Extension,propofol,RX
35787410,100 ML Propofol 10 MG/ML Injection [Diprivan] by Astrazeneca,OMOP2788871,RxNorm Extension,propofol,RX
35787411,100 ML Propofol 10 MG/ML Injectable Suspension by Zurich,OMOP2788872,RxNorm Extension,propofol,RX
35787575,100 ML Propofol 10 MG/ML Injectable Suspension [Diprivan] Box of 1 by Astrazeneca,OMOP2789036,RxNorm Extension,propofol,RX
36053193,100 ML propofol 10 MG/ML Injectable Suspension Box of 1 by Baxter,OMOP4978333,RxNorm Extension,propofol,RX
36054946,20 ML propofol 10 MG/ML Injectable Suspension [Propoven] Box of 5 by Fresenius,OMOP4980250,RxNorm Extension,propofol,RX
36056425,50 ML propofol 20 MG/ML Injectable Suspension Box of 1 by Baxter,OMOP4981855,RxNorm Extension,propofol,RX
36056426,50 ML propofol 20 MG/ML Injectable Suspension by Baxter,OMOP4981856,RxNorm Extension,propofol,RX
36056427,50 ML propofol 10 MG/ML Injectable Suspension Box of 1 by Baxter,OMOP4981857,RxNorm Extension,propofol,RX
36062528,propofol 10 MG/ML Injectable Suspension [Propoven] Box of 5,OMOP4988553,RxNorm Extension,propofol,RX
36073762,20 ML propofol 10 MG/ML Injectable Suspension [Propoven] Box of 5,OMOP4980251,RxNorm Extension,propofol,RX
36073801,20 ML propofol 10 MG/ML Injectable Suspension [Propoven] by Fresenius,OMOP4980252,RxNorm Extension,propofol,RX
36073802,20 ML propofol 10 MG/ML Injectable Suspension [Propoven],OMOP4980253,RxNorm Extension,propofol,RX
36227221,propofol Injectable Product,1162323,RxNorm,propofol,RX
36230284,Propoven Injectable Product,1181834,RxNorm,propofol,RX
36235171,Diprivan Injectable Product,1172476,RxNorm,propofol,RX
36242898,Propoflo Injectable Product,1188477,RxNorm,propofol,RX
36248988,Rapinovet Injectable Product,1598998,RxNorm,propofol,RX
36257493,Propofol 20 MG/ML Injectable Suspension [Propofol B. Braun],OMOP3108368,RxNorm Extension,propofol,RX
36260021,Propofol 10 MG/ML Injectable Suspension [Propofol EG],OMOP3110896,RxNorm Extension,propofol,RX
36261845,Propofol Injectable Suspension [Propofol B. Braun],OMOP3112720,RxNorm Extension,propofol,RX
36262585,Propofol 10 MG/ML Injectable Suspension [Propofol B. Braun],OMOP3113460,RxNorm Extension,propofol,RX
36262586,Propofol 10 MG/ML Injectable Suspension [Propolipid],OMOP3113461,RxNorm Extension,propofol,RX
36262587,Propofol 20 MG/ML Injectable Suspension [Propofol B. Braun] Box of 10,OMOP3113462,RxNorm Extension,propofol,RX
36262588,Propofol 20 MG/ML Injectable Suspension [Propolipid],OMOP3113463,RxNorm Extension,propofol,RX
36264447,Propofol Injectable Suspension [Propofol EG],OMOP3115322,RxNorm Extension,propofol,RX
36265170,Propofol 10 MG/ML Injectable Suspension [Propolipid] Box of 5,OMOP3116045,RxNorm Extension,propofol,RX
36267745,Propofol 10 MG/ML Injectable Suspension [Propofol B. Braun] Box of 10,OMOP3118620,RxNorm Extension,propofol,RX
36267746,Propofol 20 MG/ML Injectable Suspension [Propolipid] Box of 10,OMOP3118621,RxNorm Extension,propofol,RX
36270258,Propofol 20 MG/ML Injectable Suspension [Propofol EG],OMOP3121133,RxNorm Extension,propofol,RX
36272094,Propofol Injectable Suspension [Propolipid],OMOP3122969,RxNorm Extension,propofol,RX
36272774,Propofol 10 MG/ML Injectable Suspension [Propolipid] Box of 10,OMOP3123649,RxNorm Extension,propofol,RX
36272775,Propofol 10 MG/ML Injectable Suspension [Propofol B. Braun] Box of 5,OMOP3123650,RxNorm Extension,propofol,RX
36280132,20 ML Propofol 10 MG/ML Injectable Suspension [Propolipid] Box of 5 by Fresenius,OMOP3131007,RxNorm Extension,propofol,RX
36280156,20 ML Propofol 10 MG/ML Injectable Suspension [Propolipid],OMOP3131031,RxNorm Extension,propofol,RX
36280187,20 ML Propofol 10 MG/ML Injectable Suspension [Propofol B. Braun] Box of 5,OMOP3131062,RxNorm Extension,propofol,RX
36280243,20 ML Propofol 10 MG/ML Injectable Suspension [Propolipid] Box of 5,OMOP3131118,RxNorm Extension,propofol,RX
36280244,20 ML Propofol 10 MG/ML Injectable Suspension [Propofol B. Braun],OMOP3131119,RxNorm Extension,propofol,RX
36280320,20 ML Propofol 10 MG/ML Injectable Suspension [Propofol B. Braun] Box of 5 by B.Braun,OMOP3131195,RxNorm Extension,propofol,RX
36280636,50 ML Propofol 20 MG/ML Injectable Suspension [Propolipid] Box of 10,OMOP3131511,RxNorm Extension,propofol,RX
36280640,50 ML Propofol 20 MG/ML Injectable Suspension [Propolipid] by Fresenius,OMOP3131515,RxNorm Extension,propofol,RX
36280641,50 ML Propofol 10 MG/ML Injectable Suspension [Propofol B. Braun] Box of 10 by B.Braun,OMOP3131516,RxNorm Extension,propofol,RX
36280645,50 ML Propofol 10 MG/ML Injectable Suspension [Propolipid] by Fresenius,OMOP3131520,RxNorm Extension,propofol,RX
36280672,50 ML Propofol 10 MG/ML Injectable Suspension [Propofol EG],OMOP3131547,RxNorm Extension,propofol,RX
36280673,50 ML Propofol 20 MG/ML Injectable Suspension [Propofol B. Braun],OMOP3131548,RxNorm Extension,propofol,RX
36280686,50 ML Propofol 10 MG/ML Injectable Suspension [Propolipid] Box of 10 by Fresenius,OMOP3131561,RxNorm Extension,propofol,RX
36280687,50 ML Propofol 20 MG/ML Injectable Suspension [Propofol EG] by Eurogenerics,OMOP3131562,RxNorm Extension,propofol,RX
36280693,50 ML Propofol 20 MG/ML Injectable Suspension [Propofol EG],OMOP3131568,RxNorm Extension,propofol,RX
36280694,50 ML Propofol 20 MG/ML Injectable Suspension [Propofol B. Braun] Box of 10,OMOP3131569,RxNorm Extension,propofol,RX
36280695,50 ML Propofol 20 MG/ML Injectable Suspension [Propolipid],OMOP3131570,RxNorm Extension,propofol,RX
36280708,50 ML Propofol 10 MG/ML Injectable Suspension [Propofol EG] by Eurogenerics,OMOP3131583,RxNorm Extension,propofol,RX
36280720,50 ML Propofol 10 MG/ML Injectable Suspension [Propofol B. Braun] Box of 10,OMOP3131595,RxNorm Extension,propofol,RX
36280721,50 ML Propofol 10 MG/ML Injectable Suspension [Propofol B. Braun],OMOP3131596,RxNorm Extension,propofol,RX
36280752,50 ML Propofol 20 MG/ML Injectable Suspension [Propofol B. Braun] Box of 10 by B.Braun,OMOP3131627,RxNorm Extension,propofol,RX
36280759,50 ML Propofol 10 MG/ML Injectable Suspension [Propolipid],OMOP3131634,RxNorm Extension,propofol,RX
36280772,50 ML Propofol 10 MG/ML Injectable Suspension [Propolipid] Box of 10,OMOP3131647,RxNorm Extension,propofol,RX
36280781,50 ML Propofol 20 MG/ML Injectable Suspension [Propolipid] Box of 10 by Fresenius,OMOP3131656,RxNorm Extension,propofol,RX
36779090,50 ML Propofol 20 MG/ML Injectable Suspension [Propolipid] Box of 1 by Fresenius,OMOP4767403,RxNorm Extension,propofol,RX
36779091,50 ML Propofol 20 MG/ML Injectable Suspension [Propolipid] Box of 1,OMOP4767404,RxNorm Extension,propofol,RX
36779092,50 ML Propofol 10 MG/ML Injectable Suspension [Propolipid] Box of 1 by Fresenius,OMOP4767405,RxNorm Extension,propofol,RX
36779093,50 ML Propofol 10 MG/ML Injectable Suspension [Propolipid] Box of 1,OMOP4767406,RxNorm Extension,propofol,RX
36783623,Propofol 20 MG/ML Injectable Suspension [Propolipid] Box of 1,OMOP4771906,RxNorm Extension,propofol,RX
36783624,Propofol 10 MG/ML Injectable Suspension [Propolipid] Box of 1,OMOP4771907,RxNorm Extension,propofol,RX
36808790,100 ML Propofol 10 MG/ML Injectable Suspension by B.Braun,OMOP4822831,RxNorm Extension,propofol,RX
36808794,100 ML Propofol 10 MG/ML Injectable Suspension [Propoven] Box of 10,OMOP4822835,RxNorm Extension,propofol,RX
36808809,100 ML Propofol 10 MG/ML Injectable Suspension [Propoven],OMOP4822850,RxNorm Extension,propofol,RX
36808815,100 ML Propofol 10 MG/ML Injectable Suspension [Propoven] by Fresenius,OMOP4822855,RxNorm Extension,propofol,RX
36808825,100 ML Propofol 10 MG/ML Injectable Suspension Box of 10 by B.Braun,OMOP4822866,RxNorm Extension,propofol,RX
36808847,100 ML Propofol 10 MG/ML Injectable Suspension [Propoven] Box of 10 by Fresenius,OMOP4822887,RxNorm Extension,propofol,RX
36809410,20 ML Propofol 10 MG/ML Injectable Suspension by B.Braun,OMOP4823448,RxNorm Extension,propofol,RX
36809428,20 ML Propofol 10 MG/ML Injectable Suspension Box of 5 by B.Braun,OMOP4823466,RxNorm Extension,propofol,RX
36809966,50 ML Propofol 10 MG/ML Injectable Suspension [Propoven] Box of 10 by Fresenius,OMOP4824002,RxNorm Extension,propofol,RX
36809968,50 ML Propofol 20 MG/ML Injectable Suspension [Propoven] Box of 10 by Fresenius,OMOP4824004,RxNorm Extension,propofol,RX
36809972,50 ML Propofol 10 MG/ML Injectable Suspension [Propoven] by Fresenius,OMOP4824008,RxNorm Extension,propofol,RX
36809975,50 ML Propofol 20 MG/ML Injectable Suspension by B.Braun,OMOP4824011,RxNorm Extension,propofol,RX
36809979,50 ML Propofol 20 MG/ML Injectable Suspension [Propoven],OMOP4824015,RxNorm Extension,propofol,RX
36809996,50 ML Propofol 10 MG/ML Injectable Suspension [Propoven] Box of 10,OMOP4824032,RxNorm Extension,propofol,RX
36810004,50 ML Propofol 20 MG/ML Injectable Suspension [Propoven] Box of 10,OMOP4824040,RxNorm Extension,propofol,RX
36810006,50 ML Propofol 20 MG/ML Injectable Suspension [Propoven] by Fresenius,OMOP4824042,RxNorm Extension,propofol,RX
36810007,50 ML Propofol 10 MG/ML Injectable Suspension [Propoven],OMOP4824043,RxNorm Extension,propofol,RX
36810009,50 ML Propofol 20 MG/ML Injectable Suspension Box of 10 by B.Braun,OMOP4824045,RxNorm Extension,propofol,RX
36811749,Propofol 20 MG/ML Injectable Suspension [Propoven] Box of 10,OMOP4825783,RxNorm Extension,propofol,RX
36812470,Propofol 20 MG/ML Injectable Suspension [Propoven],OMOP4826504,RxNorm Extension,propofol,RX
36813449,Propofol 10 MG/ML Injectable Suspension [Propoven] Box of 10,OMOP4827482,RxNorm Extension,propofol,RX
36880287,Propofol 20 MG/ML Injectable Suspension [Propofol-Lipuro],OMOP989839,RxNorm Extension,propofol,RX
36880288,Propofol 5 MG/ML Injectable Suspension [Propofol-Lipuro] Box of 5,OMOP989131,RxNorm Extension,propofol,RX
36880931,Propofol 10 MG/ML Injectable Suspension Box of 5,OMOP1003519,RxNorm Extension,propofol,RX
36881882,Propofol 20 MG/ML Injectable Suspension Box of 1,OMOP1006491,RxNorm Extension,propofol,RX
36882184,Propofol 20 MG/ML Injectable Suspension [Diprivan] Box of 1,OMOP994973,RxNorm Extension,propofol,RX
36882765,Propofol Injectable Suspension [Propofol-Lipuro],OMOP999311,RxNorm Extension,propofol,RX
36882820,Propofol 5 MG/ML Injectable Suspension,OMOP1004173,RxNorm Extension,propofol,RX
36883124,Propofol 10 MG/ML Injectable Suspension [Propofol-Lipuro] Box of 5,OMOP990104,RxNorm Extension,propofol,RX
36889940,Propofol 10 MG/ML Injectable Suspension [Propofol-Lipuro],OMOP993380,RxNorm Extension,propofol,RX
36890648,Propofol 20 MG/ML Injectable Suspension Box of 5,OMOP991640,RxNorm Extension,propofol,RX
36891914,Propofol 5 MG/ML Injectable Suspension [Propofol-Lipuro],OMOP995639,RxNorm Extension,propofol,RX
36892606,Propofol 10 MG/ML Injectable Suspension Box of 1,OMOP1000873,RxNorm Extension,propofol,RX
36892607,Propofol 5 MG/ML Injectable Suspension Box of 5,OMOP1003133,RxNorm Extension,propofol,RX
36894827,Propofol 10 MG/ML Injectable Suspension [Diprivan] Box of 1,OMOP1005082,RxNorm Extension,propofol,RX
36895686,20 ML Propofol 10 MG/ML Injectable Suspension Box of 5,OMOP1006228,RxNorm Extension,propofol,RX
36895697,20 ML Propofol 10 MG/ML Injectable Suspension,OMOP989604,RxNorm Extension,propofol,RX
36895717,20 ML Propofol 20 MG/ML Injectable Suspension Box of 5,OMOP1001486,RxNorm Extension,propofol,RX
36895729,20 ML Propofol 10 MG/ML Injectable Suspension [Propofol-Lipuro],OMOP988342,RxNorm Extension,propofol,RX
36895745,20 ML Propofol 20 MG/ML Injectable Suspension,OMOP1004260,RxNorm Extension,propofol,RX
36895753,20 ML Propofol 5 MG/ML Injectable Suspension [Propofol-Lipuro],OMOP989254,RxNorm Extension,propofol,RX
36895793,20 ML Propofol 10 MG/ML Injection Box of 5,OMOP995011,RxNorm Extension,propofol,RX
36895794,20 ML Propofol 5 MG/ML Injectable Suspension Box of 5,OMOP993740,RxNorm Extension,propofol,RX
36895801,20 ML Propofol 5 MG/ML Injectable Suspension,OMOP988690,RxNorm Extension,propofol,RX
36895993,50 ML Propofol 20 MG/ML Injectable Suspension Box of 1,OMOP1006946,RxNorm Extension,propofol,RX
36896005,50 ML Propofol 20 MG/ML Injectable Suspension [Diprivan],OMOP990050,RxNorm Extension,propofol,RX
36896029,50 ML Propofol 10 MG/ML Injectable Suspension Box of 1,OMOP999333,RxNorm Extension,propofol,RX
36896070,50 ML Propofol 10 MG/ML Injectable Suspension [Diprivan],OMOP989005,RxNorm Extension,propofol,RX
36896328,100 ML Propofol 20 MG/ML Injectable Suspension Box of 10,OMOP998369,RxNorm Extension,propofol,RX
36896377,100 ML Propofol 20 MG/ML Injectable Suspension,OMOP999045,RxNorm Extension,propofol,RX
