concept_id,concept_name,vocabulary_id,codeset
42966520,OMOP4692979,Dopamine 2 MG/ML / Glucose 50 MG/ML Injectable Solution [DOPAMIX CJ],pressors
42628994,1791855,milrinone lactate 1 MG/ML Injection,pressors
21078129,OMOP308833,5 ML Dopamine 40 MG/ML Injection by Martindale,pressors
2062429,OMOP4963681,dopamine 1 MG/ML / glucose 50 MG/ML [CJ DOPAMIX],pressors
40747704,OMOP4709600,Dopamine 2.4 MG/ML Injectable Solution Box of 1,pressors
35606572,1743953,5 ML dopamine hydrochloride 80 MG/ML Injection,pressors
41237860,OMOP2435822,Lidocaine / Norepinephrine / Vasopressin (USP) Injectable Solution [Neo Lidocaton],pressors
35201751,2103185,vasopressin (USP) 20 UNT/ML Injection,pressors
21048646,OMOP308855,5 ML Dopamine 160 MG/ML Injection Box of 10 by AMCo,pressors
43842397,OMOP736407,1 ML Milrinone 1 MG/ML Injectable Solution,pressors
784545,OMOP4832364,10 ML Milrinone 1 MG/ML Injectable Solution [COROTROPE],pressors
41378773,OMOP2576735,20 ML Dobutamine 14 MG/ML Injectable Solution [Dobutrex] Box of 500,pressors
41362975,OMOP2560937,10 ML Dopamine 5 MG/ML Injectable Solution Box of 300,pressors
21049822,OMOP328407,250 ML Dopamine 3.2 MG/ML Prefilled Syringe Box of 1 by Abbott,pressors
43680545,OMOP736400,1 ML Milrinone 1 MG/ML Injectable Solution [Milrinon Rotexmedica],pressors
41159465,OMOP2357427,Dobutamine 250 MG Injectable Solution [Dobutrex] Box of 50,pressors
21177485,OMOP328405,250 ML Dopamine 3.2 MG/ML Prefilled Syringe Box of 1,pressors
35781054,OMOP2782515,5 ML Dobutamine 50 MG/ML Injectable Solution,pressors
41335534,OMOP2533496,1 ML Vasopressin (USP) 20 UNT/ML Injectable Solution Box of 30,pressors
37499146,2283531,dobutamine 12.5 MG/ML [Dobutrex],pressors
43219290,OMOP518214,20 ML Dobutamine 12.5 MG/ML Prefilled Syringe [DOBUTAMINE SILCAR] Box of 10 by Panpharma,pressors
42799683,1292885,dopamine hydrochloride 25 MG/ML Injectable Solution,pressors
41283604,OMOP2481566,Dopamine 10 MG/ML Injectable Solution [Cardiosteril],pressors
42918398,OMOP4645288,500 ML Dobutamine 2 MG/ML / Glucose 50 MG/ML Injectable Solution [DOBUTAMINE HCI PREMIX],pressors
41252710,OMOP2450672,Dobutamine 250 MG Injectable Solution [Dobutrex],pressors
43806887,OMOP760812,3 ML Dopamine 5 MG/ML Injection Box of 2,pressors
43193653,OMOP481282,Dopamine 5 MG/ML Prefilled Syringe Box of 10,pressors
1337750,328217,dobutamine 1 MG/ML,pressors
41355555,OMOP2553517,5 ML Dopamine 40 MG/ML Injectable Solution Box of 5,pressors
40141037,727842,dopamine Prefilled Syringe,pressors
35788769,OMOP2790230,250 ML Dopamine 3.2 MG/ML Injectable Solution Box of 1 by Abbott,pressors
44058054,OMOP1052685,Vasopressin (USP) 20 UNT/ML Intramuscular Solution,pressors
43809594,OMOP814781,50 ML Dobutamine 11.2 MG/ML Injectable Solution [Dobutamin Carino] by Carinopharm,pressors
43857024,OMOP671731,Milrinone 1 MG/ML Injection [Unacor],pressors
35144596,OMOP4801691,50 ML Dopamine 1 MG/ML Prefilled Syringe,pressors
36780231,OMOP4768534,10 ML Milrinone 1 MG/ML Intravenous Solution Box of 10,pressors
43784879,OMOP671719,Milrinone 1 MG/ML Injectable Solution Box of 25,pressors
41023454,OMOP2221416,Dobutamine 250 MG Injectable Solution Box of 50,pressors
43789889,OMOP783212,10 ML Dopamine 20 MG/ML Injection [Dopamin Carino] Box of 5 by Carinopharm,pressors
35157439,OMOP4814445,Dopamine 1 MG/ML Injectable Solution [Kakodin],pressors
35201750,2103183,vasopressin (USP) Injection [Vasostrict],pressors
1719041,1812186,dobutamine 4 MG/ML Injection,pressors
43693404,OMOP951221,Dopamine 10 MG/ML Injection [Dopamin Fresenius],pressors
43857023,OMOP671725,Milrinone 1 MG/ML Injectable Solution [Milrinon Rotexmedica] Box of 25,pressors
41238442,OMOP2436404,Dopamine Injectable Solution [Dopamin Solvay],pressors
41016229,OMOP2214191,Dopamine 10 MG/ML [Dopamin Solvay],pressors
40991027,OMOP2188989,Milrinone 1.42 MG/ML Injectable Solution Box of 10,pressors
43808634,OMOP796554,20 ML Dobutamine 14 MG/ML Injection [Dobutamin Hameln] Box of 50,pressors
40747701,OMOP4709603,Dopamine 1.2 MG/ML Injectable Solution,pressors
43186148,OMOP516028,10 ML Milrinone 1 MG/ML Prefilled Syringe [COROTROPE] Box of 10,pressors
43747671,OMOP959010,Dobutamine 5.6 MG/ML Injectable Solution Box of 50,pressors
36779626,OMOP4767935,20 ML Dobutamine 12.5 MG/ML Intravenous Solution [Dobutrex] Box of 10 by Mylan,pressors
21117459,OMOP311761,10 ML Dopamine 40 MG/ML Prefilled Syringe Box of 1 by UCB,pressors
43693865,OMOP959038,Dobutamine 5.6 MG/ML Injectable Solution [Dobutamin Carino] Box of 10,pressors
2025278,OMOP4923864,250 ML dobutamine 1 MG/ML / glucose 50 MG/ML Injectable Solution by Baxter,pressors
2028388,OMOP4927139,5 ML dopamine 40 MG/ML Injectable Solution [MYUNGMOON INOPAN] by Myungmoon,pressors
41065123,OMOP2263085,Dobutamine 12.5 MG/ML Injectable Suspension [Dobutrex],pressors
43647819,OMOP814239,50 ML Dopamine 5 MG/ML Injection [Dopamin Carino],pressors
43591405,OMOP768652,5 ML Dopamine 10 MG/ML Injection [Dopamin Carino] Box of 10 by Carinopharm,pressors
35780417,OMOP2781878,5 ML Dopamine 40 MG/ML Injectable Solution by AMCo,pressors
21088129,OMOP313693,20 ML Dobutamine 12.5 MG/ML Injection [Dobutrex] Box of 1,pressors
2025273,OMOP4923859,250 ML dobutamine 4 MG/ML / glucose 50 MG/ML Injectable Solution by Baxter,pressors
43734332,OMOP736404,1 ML Milrinone 1 MG/ML Injection [Milrinon Stragen] by Stragen,pressors
43790481,OMOP796546,20 ML Dobutamine 14 MG/ML Injection Box of 50,pressors
43718633,OMOP797737,20 ML Milrinone 1 MG/ML Injection Box of 10,pressors
42799681,1292883,dopamine hydrochloride 20 MG/ML Injectable Solution,pressors
41314879,OMOP2512841,Dopamine 5 MG/ML Injectable Solution [Dopamin Solvay],pressors
36224502,1160755,dopamine Injectable Product,pressors
43719505,OMOP814784,50 ML Dobutamine 11.2 MG/ML Injectable Solution [Dobutamin Carino] Box of 2 by Carinopharm,pressors
43765633,OMOP959019,Dobutamine 11.2 MG/ML [Dobutamin Liquid Fresenius],pressors
43657529,OMOP951228,Dopamine 5 MG/ML [Dopamin Fresenius],pressors
35136614,OMOP4793791,Vasopressin (USP) 20 UNT Injectable Solution,pressors
41413622,OMOP2611584,1.8 ML Lidocaine 20 MG/ML / Norepinephrine 0.02 MG/ML / Vasopressin (USP) 0.45 UNT/ML Metered Dose Inhaler [Neo Lidocaton] Box of 1000,pressors
43219027,OMOP515784,10 ML Dopamine 5 MG/ML Prefilled Syringe [DOPAMINE PIERRE FABRE] Box of 50,pressors
43717243,OMOP768638,5 ML Dopamine 10 MG/ML Injection Box of 6,pressors
43215538,OMOP481270,Dopamine 40 MG/ML Prefilled Syringe Box of 20,pressors
2062434,OMOP4963686,dopamine 80 MG/ML [DOPASIN],pressors
2025410,OMOP4923996,200 ML dopamine 1 MG/ML / glucose 50 MG/ML Injectable Solution [CJ DOPAMIX],pressors
43843452,OMOP768642,5 ML Dopamine 10 MG/ML Injection [Dopamin Fresenius] Box of 10,pressors
43719506,OMOP814786,50 ML Dobutamine 11.2 MG/ML Injectable Solution [Dobutamin Carino] Box of 10 by Carinopharm,pressors
43663661,OMOP768636,5 ML Dopamine 10 MG/ML Injection,pressors
42799673,1292742,dopamine hydrochloride 1 MG/ML Injectable Solution,pressors
19118739,569490,vasopressin (USP) 20 UNT/ML [Pitressin],pressors
44037745,OMOP1032376,Dobutamine 12.5 MG/ML Injection by Hospira,pressors
35766353,OMOP2767814,Dopamine 3.2 MG/ML Injectable Solution Box of 1,pressors
43175262,OMOP515781,10 ML Dopamine 5 MG/ML Prefilled Syringe [DOPAMINE MYLAN] Box of 50 by Mylan,pressors
35140668,OMOP4797806,50 ML Dopamine 6 MG/ML Prefilled Syringe,pressors
43658003,OMOP958995,Dobutamine 0.528 MG/MG,pressors
21058656,OMOP313692,20 ML Dobutamine 12.5 MG/ML Injection [Dobutrex] by Lilly,pressors
41330969,OMOP2528931,1 ML Vasopressin (USP) 20 UNT/ML Injectable Solution [Pitressin],pressors
43844817,OMOP797741,20 ML Milrinone 1 MG/ML Injection [Milrinon Stragen] Box of 10 by Stragen,pressors
42940597,OMOP4667247,Dobutamine 50 MG/ML [HANA DOBUTAMINE HCL],pressors
43657527,OMOP951203,Dopamine 40 MG/ML Injection [Dopamin Fresenius] Box of 10,pressors
43591403,OMOP768644,5 ML Dopamine 10 MG/ML Injection [Dopamin Fresenius] Box of 10 by Fresenius,pressors
42940586,OMOP4667236,Dobutamine 1 MG/ML / Glucose 50 MG/ML Injectable Solution,pressors
783083,OMOP4830915,Milrinone 1 MG/ML Injectable Solution [COROTROPE],pressors
35828318,OMOP5039926,200 ML dobutamine 3 MG/ML Injectable Solution [Dobutrex],pressors
35780235,OMOP2781696,5 ML Dopamine 40 MG/ML Injectable Solution Box of 50 by Hospira,pressors
2025265,OMOP4923851,250 ML dopamine 1.6 MG/ML / glucose 50 MG/ML Injectable Solution by Baxter,pressors
35137376,OMOP4794552,50 ML Dobutamine 6 MG/ML Prefilled Syringe [Dobupum],pressors
21068322,OMOP308845,5 ML Dopamine 40 MG/ML Injection Box of 50 by Alliance,pressors
1507839,316883,vasopressin (USP) 20 UNT/ML,pressors
43693403,OMOP951219,Dopamine 10 MG/ML Injection Box of 6,pressors
41393160,OMOP2591122,50 ML Dopamine 5 MG/ML Injectable Solution [Dopamin Solvay],pressors
36054970,OMOP4980278,20 ML dobutamine 12.5 MG/ML Injectable Solution [Dobutrex] by Eli Lilly,pressors
42918665,OMOP4645546,500 ML Dopamine 1.6 MG/ML / Glucose 50 MG/ML Injectable Solution,pressors
42799669,1293170,dopamine hydrochloride 0.4 MG/ML Injectable Solution,pressors
41393366,OMOP2591328,50 ML Dopamine 5 MG/ML Injectable Solution Box of 10 by Carinopharm,pressors
43802795,OMOP671710,Milrinone 1 MG/ML [Milrinon Hikma],pressors
41148974,OMOP2346936,Dobutamine 14 MG/ML Injectable Solution Box of 1000,pressors
41379149,OMOP2577111,20 ML Dobutamine 14 MG/ML Injectable Solution [Dobutrex] Box of 1,pressors
40714145,OMOP4743545,50 ML Dopamine 2.4 MG/ML Injectable Solution Box of 19,pressors
35157759,OMOP4814759,Milrinone 0.15 MG/ML Injectable Solution [Milrila],pressors
41393534,OMOP2591496,50 ML Dobutamine 0.1 MG/ML Injectable Solution,pressors
43765629,OMOP958988,Dobutamine Injectable Solution [Dobutamin Liquid Fresenius],pressors
37499144,2283529,dobutamine 12.5 MG/ML Injectable Solution,pressors
35201974,2058465,100 ML dopamine hydrochloride 3.2 MG/ML Injection,pressors
41373078,OMOP2571040,10 ML Dopamine 20 MG/ML Injectable Solution [Dopamin Solvay] Box of 10,pressors
36411225,OMOP3103267,50 ML Milrinone 0.2 MG/ML Injectable Solution,pressors
36054927,OMOP4980282,20 ML dobutamine 12.5 MG/ML Injectable Solution by A A H,pressors
35867375,OMOP5024297,dopamine 10 MG,pressors
41311896,OMOP2509858,Lidocaine 20 MG/ML / Norepinephrine 0.02 MG/ML / Vasopressin (USP) 0.45 UNT/ML Metered Dose Inhaler [Neo Lidocaton] Box of 1000,pressors
35828319,OMOP5039925,200 ML dobutamine 1 MG/ML Injectable Solution [Dobutrex],pressors
42921504,OMOP4648332,5 ML Dopamine 40 MG/ML Injectable Solution [DOPAMINE DAEWOO],pressors
35867789,OMOP5024320,dobutamine 125 MG [Aowanyuan],pressors
43626151,OMOP733368,1 ML Dobutamine 14 MG/ML Injection [Dobutamin Hameln],pressors
21157029,OMOP313689,20 ML Dobutamine 12.5 MG/ML Injection Box of 5 by A A H,pressors
35780077,OMOP2781538,5 ML Dopamine 40 MG/ML Injectable Solution Box of 50 by Alliance,pressors
44076686,OMOP1071317,Dopamine 1.6 MG/ML / Glucose 50 MG/ML Injection by Hospira,pressors
2025262,OMOP4923848,250 ML dopamine 3.2 MG/ML / glucose 50 MG/ML Injectable Solution by JW,pressors
784676,OMOP4832494,20 ML Dobutamine 12.5 MG/ML Injectable Solution [Dobutamine EG] Box of 10,pressors
43152948,OMOP513595,5 ML Dopamine 40 MG/ML Prefilled Syringe [DOPAMINE MYLAN] Box of 50 by Mylan,pressors
43593645,OMOP814770,50 ML Dobutamine 5.6 MG/ML Injectable Solution [Dobutamin Hameln] Box of 20 by Hameln,pressors
40712101,OMOP4745037,100 ML Dobutamine 1 MG/ML Injectable Solution Box of 10,pressors
35135014,OMOP4792213,Dobutamine 100 MG Injectable Solution [Dobutrex],pressors
41353666,OMOP2551628,5 ML Dopamine 10 MG/ML Injectable Solution [Cardiosteril] Box of 10,pressors
36784349,OMOP4772633,Dobutamine 12.5 MG/ML Intravenous Solution Box of 10,pressors
42480390,OMOP419729,250 ML Dopamine 3.2 MG/ML Prefilled Syringe,pressors
43291768,OMOP564641,20 ML Dobutamine 12.5 MG/ML Injection Box of 10 by Abbott,pressors
41242402,OMOP2440364,Dobutamine 14 MG/ML Injectable Solution Box of 500,pressors
40927059,OMOP2125021,Vasopressin (USP) 20 UNT/ML Injectable Solution Box of 30,pressors
41279791,OMOP2477753,Milrinone 1.42 MG/ML Injectable Solution [Milrinon Rotexmedica],pressors
35788806,OMOP2790267,250 ML Dopamine 3.2 MG/ML Injectable Solution Box of 1,pressors
43280941,OMOP564640,20 ML Dobutamine 12.5 MG/ML Injection by Dbl,pressors
2062438,OMOP4963690,dopamine 10 MG/ML [TROPIN],pressors
44070150,OMOP1064781,Dopamine Injection [Intropin],pressors
42966535,OMOP4692994,Dopamine 40 MG/ML [DOPURAMIN],pressors
44073091,OMOP1067722,Milrinone 1 MG/ML Injection [Apo-Milrinone],pressors
43752073,OMOP733367,1 ML Dobutamine 14 MG/ML Injection,pressors
40715092,OMOP4741898,10 ML Milrinone 1 MG/ML Injectable Solution by Peckforton,pressors
42918864,OMOP4645743,250 ML Dobutamine 2 MG/ML / Glucose 50 MG/ML Injectable Solution,pressors
42799044,1292716,10 ML dopamine hydrochloride 40 MG/ML Prefilled Syringe,pressors
42921146,OMOP4647982,5 ML Dobutamine 50 MG/ML Injectable Solution [DOBUTAMIN HCI MYUNGMOON],pressors
2062433,OMOP4963685,dopamine 80 MG/ML Injectable Solution [DOPASIN],pressors
43693861,OMOP959011,Dobutamine 5.6 MG/ML Injectable Solution [Dobutamin Hameln],pressors
41362123,OMOP2560085,10 ML Milrinone 1.42 MG/ML Injectable Solution Box of 10,pressors
42966550,OMOP4693008,Dopamine Injectable Solution [TROPIN],pressors
35142426,OMOP4799539,Dopamine 1 MG/ML [Inovan],pressors
21029021,OMOP308825,5 ML Dopamine 40 MG/ML Prefilled Syringe by UCB,pressors
35147214,OMOP4804289,Dobutamine 6 MG/ML,pressors
42940585,OMOP4667235,Dobutamine 2 MG/ML / Glucose 50 MG/ML [DOBUTAMINE HCI PREMIX],pressors
21144766,OMOP269854,Dopamine 3.2 MG/ML Prefilled Syringe Box of 1,pressors
21087867,OMOP308832,5 ML Dopamine 40 MG/ML Injection by A A H,pressors
43603789,OMOP959029,Dobutamine 5.6 MG/ML [Dobutamin Liquid Fresenius],pressors
43208282,OMOP518210,20 ML Dobutamine 12.5 MG/ML Prefilled Syringe [DOBUTAMINE PANPHARMA] Box of 10,pressors
43160790,OMOP481286,Dopamine 5 MG/ML Prefilled Syringe [DOPAMINE MYLAN] Box of 50,pressors
43040176,OMOP4855209,5 ML Dopamine 10 MG/ML Injectable Solution Box of 50 by Aguettant,pressors
40729357,OMOP4727664,Dobutamine 1.2 MG/ML Injectable Solution Box of 10,pressors
40240703,1114887,dopamine hydrochloride 80 MG/ML,pressors
37003084,2399906,vasopressin (USP) 0.4 UNT/ML,pressors
42966518,OMOP4692977,Dopamine 1.6 MG/ML / Glucose 50 MG/ML [CJ DOPAMINE HCL PREMIX],pressors
40087302,363284,vasopressin (USP) Injectable Solution [Pitressin],pressors
44115391,OMOP1110022,Dopamine 3.2 MG/ML / Glucose 50 MG/ML Injection by Baxter,pressors
35145080,OMOP4802172,Dopamine 1 MG/ML Injectable Solution [Catabon],pressors
43622828,OMOP671718,Milrinone 1 MG/ML Injectable Solution Box of 10,pressors
35606571,1743951,dopamine hydrochloride 80 MG/ML Injection,pressors
35746250,OMOP2747711,Milrinone 1 MG/ML Injectable Solution [Primacor] Box of 10,pressors
43645486,OMOP768639,5 ML Dopamine 10 MG/ML Injection Box of 10,pressors
41030193,OMOP2228155,Milrinone 1.42 MG/ML Injectable Solution [Milrinon Carino],pressors
41086265,OMOP2284227,Dobutamine 14 MG/ML Injectable Solution Box of 10,pressors
43808098,OMOP785130,10 ML Milrinone 1 MG/ML Injectable Solution Box of 10,pressors
36780232,OMOP4768535,10 ML Milrinone 1 MG/ML Intravenous Solution,pressors
42966530,OMOP4692989,Dopamine 40 MG/ML Injectable Solution [UDOPA],pressors
40716242,OMOP4740901,5 ML Dopamine 40 MG/ML Injectable Solution Box of 5 by Pfizer,pressors
43185908,OMOP513594,5 ML Dopamine 40 MG/ML Prefilled Syringe [DOPAMINE MYLAN] Box of 50,pressors
43182684,OMOP481272,Dopamine 40 MG/ML Prefilled Syringe [DOPAMINE AGUETTANT],pressors
36410421,OMOP3102463,5 ML Dopamine 160 MG/ML Injectable Solution,pressors
42799682,1292884,dopamine hydrochloride 25 MG/ML,pressors
35138359,OMOP4795520,5 ML Dopamine 20 MG/ML Injectable Solution by Nipro,pressors
41336024,OMOP2533986,1 ML Vasopressin (USP) 5 UNT/ML Injectable Solution [Pitressin] Box of 10 by Pfizer,pressors
36405064,OMOP3097106,Dopamine 1.6 MG/ML Injectable Solution Box of 1,pressors
40836611,OMOP2034573,Dobutamine 14 MG/ML Injectable Solution Box of 100,pressors
41379836,OMOP2577798,20 ML Lidocaine 20 MG/ML / Norepinephrine 0.02 MG/ML / Vasopressin (USP) 2.5 UNT/ML Injectable Solution [Neo Lidocaton] Box of 5,pressors
35137169,OMOP4794344,Dobutamine 100 MG [Dobutrex],pressors
43149564,OMOP481287,Dopamine 5 MG/ML Prefilled Syringe [DOPAMINE PIERRE FABRE],pressors
41054691,OMOP2252653,Dobutamine 250 MG Injectable Solution Box of 10,pressors
43585285,OMOP951220,Dopamine 10 MG/ML Injection Box of 10,pressors
43665953,OMOP814775,50 ML Dobutamine 11.2 MG/ML Injectable Solution Box of 10,pressors
36054972,OMOP4980280,20 ML dobutamine 12.5 MG/ML Injectable Solution Box of 10 by A A H,pressors
36808901,OMOP4823019,10 ML Milrinone 1 MG/ML Injection [Primacor] Box of 10 by Sanofi,pressors
44075762,OMOP1070393,Milrinone 1 MG/ML Injection by Sandoz,pressors
41328357,OMOP2526319,1 ML Vasopressin (USP) 5 UNT/ML Injectable Solution [Pitressin] Box of 50,pressors
36279492,OMOP3130367,10 ML Milrinone 1 MG/ML Injection [COROTROPE] Box of 10 by Sanofi,pressors
21087866,OMOP308828,5 ML Dopamine 40 MG/ML Injection by Hospira,pressors
41413542,OMOP2611504,1.8 ML Lidocaine 20 MG/ML / Norepinephrine 0.02 MG/ML / Vasopressin (USP) 0.45 UNT/ML Metered Dose Inhaler Box of 100,pressors
40712098,OMOP4745040,100 ML Dobutamine 1 MG/ML Injection Box of 10,pressors
35867783,OMOP5024314,dobutamine 1 MG/ML [Kanglituo],pressors
35749849,OMOP2751310,Dobutamine 50 MG/ML Injectable Solution Box of 5,pressors
42966537,OMOP4692996,Dopamine 40 MG/ML [UDOPA],pressors
43218807,OMOP513609,5 ML Dopamine 10 MG/ML Prefilled Syringe [DOPAMINE RENAUDIN] Box of 10,pressors
44089452,OMOP1084083,Dopamine 40 MG/ML Injectable Solution by International Medication Systems,pressors
43683799,OMOP814790,50 ML Dobutamine 5.6 MG/ML Injectable Solution [Dobutamin Liquid Fresenius] by Fresenius,pressors
21171586,OMOP385777,Dobutamine 50 MG/ML [Posiject],pressors
35136494,OMOP4793671,50 ML Dobutamine 3 MG/ML Prefilled Syringe,pressors
36881070,OMOP987927,Dopamine 10 MG/ML Injection,pressors
42799672,1292741,dopamine hydrochloride 1 MG/ML,pressors
42966510,OMOP4692969,Dopamine 0.8 MG/ML / Glucose 50 MG/ML Injectable Solution,pressors
41117493,OMOP2315455,Dopamine 5 MG/ML Injectable Solution Box of 25,pressors
41336857,OMOP2534819,1 ML Vasopressin (USP) 5 UNT/ML Injectable Solution,pressors
37499147,2283532,dobutamine Injectable Solution [Dobutrex],pressors
40729358,OMOP4727663,Dobutamine 1.2 MG/ML Injectable Solution Box of 1,pressors
40747703,OMOP4709601,Dopamine 2.4 MG/ML Injectable Solution Box of 19,pressors
35131994,OMOP4789226,Dobutamine 100 MG Injectable Solution by Alfresa,pressors
40713261,OMOP4743748,50 ML Dobutamine 1.2 MG/ML Injectable Solution,pressors
36880521,OMOP1003761,Dobutamine 5 MG/ML,pressors
43604946,OMOP671721,Milrinone 1 MG/ML Injectable Solution [Milrinon Rotexmedica] Box of 5,pressors
2028390,OMOP4927141,5 ML dopamine 10 MG/ML Injectable Solution [TROPIN] by Hanlim,pressors
41390815,OMOP2588777,50 ML Dobutamine 5 MG/ML Injectable Solution Box of 10,pressors
40874475,OMOP2072437,Milrinone 1.42 MG/ML Injectable Solution [Milrinon Hikma],pressors
36411224,OMOP3103266,50 ML Milrinone 0.6 MG/ML Injectable Solution,pressors
43164468,OMOP518209,20 ML Dobutamine 12.5 MG/ML Prefilled Syringe [DOBUTAMINE PANPHARMA],pressors
41377597,OMOP2575559,20 ML Lidocaine 20 MG/ML / Norepinephrine 0.02 MG/ML / Vasopressin (USP) 2.5 UNT/ML Injectable Solution [Neo Lidocaton],pressors
43658004,OMOP959005,Dobutamine 14 MG/ML Injection [Dobutamin Hameln] Box of 20,pressors
43863922,OMOP814231,50 ML Dopamine 10 MG/ML Injection [Dopamin Fresenius] Box of 10,pressors
41462141,OMOP2660103,2 ML Lidocaine 20 MG/ML / Norepinephrine 0.02 MG/ML / Vasopressin (USP) 0.25 UNT/ML Injectable Solution [Neo Lidocaton],pressors
36808909,OMOP4822948,10 ML Milrinone 1 MG/ML Injection by Wockhardt,pressors
2028400,OMOP4927151,5 ML dobutamine 50 MG/ML Injectable Solution [DOBUMINE],pressors
42921512,OMOP4648340,5 ML Dopamine 80 MG/ML Injectable Solution [TROPIN],pressors
2028386,OMOP4927137,5 ML dopamine 40 MG/ML Injectable Solution by Huons,pressors
43716081,OMOP733369,1 ML Dobutamine 14 MG/ML Injection [Dobutamin Hameln] by Hameln,pressors
40714148,OMOP4743542,50 ML Dopamine 0.6 MG/ML Injectable Solution Box of 19,pressors
35867378,OMOP5024300,dopamine 5 MG,pressors
35867794,OMOP5024325,dobutamine 10 MG/ML Injectable Solution,pressors
1719038,1812169,dobutamine 12.5 MG/ML Injection,pressors
35780351,OMOP2781812,5 ML Dopamine 40 MG/ML Injectable Solution Box of 1,pressors
2028389,OMOP4927140,5 ML dopamine 10 MG/ML Injectable Solution [TROPIN],pressors
43819773,OMOP958993,Dobutamine Injectable Solution [Dobutamin-Ratiopharm],pressors
43665954,OMOP814780,50 ML Dobutamine 11.2 MG/ML Injectable Solution [Dobutamin Carino],pressors
41358813,OMOP2556775,5 ML Dopamine 10 MG/ML Injectable Solution Box of 30,pressors
41376733,OMOP2574695,20 ML Dobutamine 14 MG/ML Injectable Solution,pressors
43196880,OMOP513600,5 ML Dopamine 10 MG/ML Prefilled Syringe,pressors
35867800,OMOP5024331,dobutamine Injectable Solution [Kanglituo],pressors
42799670,1292739,dopamine hydrochloride 0.8 MG/ML,pressors
40897728,OMOP2095690,Lidocaine 20 MG/ML / Norepinephrine 0.02 MG/ML / Vasopressin (USP) 2.5 UNT/ML Injectable Solution Box of 5,pressors
35780135,OMOP2781596,5 ML Dobutamine 50 MG/ML Injectable Solution [Posiject] by Boehringer Ingelheim,pressors
35158068,OMOP4815066,Dopamine Injectable Solution [Kakodin],pressors
40858933,OMOP2056895,Vasopressin (USP) 5 UNT/ML [Pitressin],pressors
35160318,OMOP4817295,Dopamine Prefilled Syringe [Inovan],pressors
36280194,OMOP3131069,20 ML Dobutamine 12.5 MG/ML Injection [Dobutrex] Box of 10,pressors
43182687,OMOP481284,Dopamine 5 MG/ML Prefilled Syringe Box of 50,pressors
40715096,OMOP4741894,10 ML Milrinone 1 MG/ML Injectable Solution [Primacor] by Sanofi,pressors
42918399,OMOP4645289,500 ML Dobutamine 1 MG/ML / Glucose 50 MG/ML Injectable Solution,pressors
43040177,OMOP4855210,5 ML Dopamine 10 MG/ML Prefilled Syringe Box of 10 by Renaudin,pressors
