concept_id,concept_name,concept_code,vocabulary_id,drug_group
40226387,aliskiren 150 MG Oral Tablet,1011736,RxNorm,aliskiren
40226368,aliskiren / Amlodipine Oral Tablet [Tekamlo],1009252,RxNorm,aliskiren
40226381,aliskiren 150 MG / Hydrochlorothiazide 25 MG Oral Tablet,1011713,RxNorm,aliskiren
40147525,aliskiren / Hydrochlorothiazide Oral Tablet,754717,RxNorm,aliskiren
36219590,aliskiren / Amlodipine / Hydrochlorothiazide Oral Product,1164294,RxNorm,aliskiren
36230672,Tekturna Oral Product,1180880,RxNorm,aliskiren
40138204,aliskiren Oral Tablet,692500,RxNorm,aliskiren
36235221,Amturnide Pill,1174207,RxNorm,aliskiren
40226396,aliskiren 300 MG / Amlodipine 5 MG [Tekamlo],1009322,RxNorm,aliskiren
40226398,aliskiren 300 MG / Hydrochlorothiazide 12.5 MG Oral Tablet [Tekturna HCT],1011752,RxNorm,aliskiren
40226376,aliskiren 150 MG / Amlodipine 5 MG Oral Tablet [Tekamlo],1009253,RxNorm,aliskiren
40226379,aliskiren 150 MG / Hydrochlorothiazide 12.5 MG Oral Tablet [Tekturna HCT],1011712,RxNorm,aliskiren
40226395,aliskiren 300 MG / Amlodipine 5 MG Oral Tablet [Tekamlo],1009324,RxNorm,aliskiren
1317967,aliskiren,325646,RxNorm,aliskiren
40226373,aliskiren 150 MG / Amlodipine 10 MG Oral Tablet [Tekamlo],1009249,RxNorm,aliskiren
40226403,aliskiren 300 MG / valsartan 320 MG Oral Tablet,1011729,RxNorm,aliskiren
36230673,Tekturna Pill,1180881,RxNorm,aliskiren
40232340,aliskiren 300 MG / Amlodipine 5 MG / Hydrochlorothiazide 12.5 MG Oral Tablet [Amturnide],1050811,RxNorm,aliskiren
40226405,aliskiren 300 MG / valsartan 320 MG [Valturna],1011734,RxNorm,aliskiren
40226383,aliskiren 150 MG / Hydrochlorothiazide 25 MG [Tekturna HCT],1011714,RxNorm,aliskiren
36221768,aliskiren / Amlodipine Oral Product,1164881,RxNorm,aliskiren
40226380,aliskiren 150 MG / Hydrochlorothiazide 12.5 MG [Tekturna HCT],1011711,RxNorm,aliskiren
40226394,aliskiren 300 MG / Amlodipine 5 MG Oral Tablet,1009320,RxNorm,aliskiren
40226382,aliskiren 150 MG / Hydrochlorothiazide 25 MG Oral Tablet [Tekturna HCT],1011715,RxNorm,aliskiren
40232332,aliskiren 150 MG / Amlodipine 5 MG / Hydrochlorothiazide 12.5 MG [Amturnide],1050800,RxNorm,aliskiren
40226371,aliskiren 150 MG,1009217,RxNorm,aliskiren
40226402,aliskiren 300 MG / Hydrochlorothiazide 25 MG [Tekturna HCT],1011754,RxNorm,aliskiren
36221770,aliskiren / Hydrochlorothiazide Oral Product,1164883,RxNorm,aliskiren
40226378,aliskiren 150 MG / Hydrochlorothiazide 12.5 MG Oral Tablet,1011710,RxNorm,aliskiren
36230668,Tekamlo Oral Product,1180862,RxNorm,aliskiren
40226384,aliskiren 150 MG / valsartan 160 MG Oral Tablet,1011718,RxNorm,aliskiren
40226407,aliskiren 300 MG Oral Tablet [Tekturna],1011741,RxNorm,aliskiren
36239297,Valturna Pill,1187347,RxNorm,aliskiren
40226404,aliskiren 300 MG / valsartan 320 MG Oral Tablet [Valturna],1011735,RxNorm,aliskiren
40226392,aliskiren 300 MG / Amlodipine 10 MG Oral Tablet [Tekamlo],1009319,RxNorm,aliskiren
40226391,aliskiren 300 MG / Amlodipine 10 MG Oral Tablet,1009315,RxNorm,aliskiren
40226386,aliskiren 150 MG / valsartan 160 MG [Valturna],1011723,RxNorm,aliskiren
40232331,aliskiren 150 MG / Amlodipine 5 MG / Hydrochlorothiazide 12.5 MG Oral Tablet [Amturnide],1050802,RxNorm,aliskiren
40226377,aliskiren 150 MG / Amlodipine 5 MG [Tekamlo],1009251,RxNorm,aliskiren
40232334,aliskiren 300 MG / Amlodipine 10 MG / Hydrochlorothiazide 12.5 MG Oral Tablet [Amturnide],1050805,RxNorm,aliskiren
40226385,aliskiren 150 MG / valsartan 160 MG Oral Tablet [Valturna],1011724,RxNorm,aliskiren
40232343,aliskiren 300 MG / Amlodipine 5 MG / Hydrochlorothiazide 25 MG Oral Tablet [Amturnide],1050814,RxNorm,aliskiren
40232329,aliskiren / Amlodipine / Hydrochlorothiazide Oral Tablet [Amturnide],1050801,RxNorm,aliskiren
40232330,aliskiren 150 MG / Amlodipine 5 MG / Hydrochlorothiazide 12.5 MG Oral Tablet,1050798,RxNorm,aliskiren
40232339,aliskiren 300 MG / Amlodipine 5 MG / Hydrochlorothiazide 12.5 MG Oral Tablet,1050809,RxNorm,aliskiren
40232337,aliskiren 300 MG / Amlodipine 10 MG / Hydrochlorothiazide 25 MG Oral Tablet [Amturnide],1050808,RxNorm,aliskiren
40232336,aliskiren 300 MG / Amlodipine 10 MG / Hydrochlorothiazide 25 MG Oral Tablet,1050806,RxNorm,aliskiren
40232333,aliskiren 300 MG / Amlodipine 10 MG / Hydrochlorothiazide 12.5 MG Oral Tablet,1050803,RxNorm,aliskiren
40232328,aliskiren / Amlodipine / Hydrochlorothiazide Oral Tablet,1050796,RxNorm,aliskiren
40232342,aliskiren 300 MG / Amlodipine 5 MG / Hydrochlorothiazide 25 MG Oral Tablet,1050812,RxNorm,aliskiren
40232340,aliskiren 300 MG / Amlodipine 5 MG / Hydrochlorothiazide 12.5 MG Oral Tablet [Amturnide],1050811,RxNorm,aliskiren
40232331,aliskiren 150 MG / Amlodipine 5 MG / Hydrochlorothiazide 12.5 MG Oral Tablet [Amturnide],1050802,RxNorm,aliskiren
40232334,aliskiren 300 MG / Amlodipine 10 MG / Hydrochlorothiazide 12.5 MG Oral Tablet [Amturnide],1050805,RxNorm,aliskiren
40226372,aliskiren 150 MG / Amlodipine 10 MG Oral Tablet,1009247,RxNorm,aliskiren
40226366,aliskiren / Amlodipine Oral Tablet,1009218,RxNorm,aliskiren
40226375,aliskiren 150 MG / Amlodipine 5 MG Oral Tablet,1009220,RxNorm,aliskiren
40226368,aliskiren / Amlodipine Oral Tablet [Tekamlo],1009252,RxNorm,aliskiren
40226376,aliskiren 150 MG / Amlodipine 5 MG Oral Tablet [Tekamlo],1009253,RxNorm,aliskiren
40226395,aliskiren 300 MG / Amlodipine 5 MG Oral Tablet [Tekamlo],1009324,RxNorm,aliskiren
40226373,aliskiren 150 MG / Amlodipine 10 MG Oral Tablet [Tekamlo],1009249,RxNorm,aliskiren
40226394,aliskiren 300 MG / Amlodipine 5 MG Oral Tablet,1009320,RxNorm,aliskiren
40226392,aliskiren 300 MG / Amlodipine 10 MG Oral Tablet [Tekamlo],1009319,RxNorm,aliskiren
40226391,aliskiren 300 MG / Amlodipine 10 MG Oral Tablet,1009315,RxNorm,aliskiren
40226397,aliskiren 300 MG / Hydrochlorothiazide 12.5 MG Oral Tablet,1011750,RxNorm,aliskiren
40226400,aliskiren 300 MG / Hydrochlorothiazide 25 MG Oral Tablet,1011753,RxNorm,aliskiren
40226401,aliskiren 300 MG / Hydrochlorothiazide 25 MG Oral Tablet [Tekturna HCT],1011755,RxNorm,aliskiren
40147529,aliskiren / Hydrochlorothiazide Oral Tablet [Tekturna HCT],758550,RxNorm,aliskiren
40226381,aliskiren 150 MG / Hydrochlorothiazide 25 MG Oral Tablet,1011713,RxNorm,aliskiren
40147525,aliskiren / Hydrochlorothiazide Oral Tablet,754717,RxNorm,aliskiren
40226398,aliskiren 300 MG / Hydrochlorothiazide 12.5 MG Oral Tablet [Tekturna HCT],1011752,RxNorm,aliskiren
40226379,aliskiren 150 MG / Hydrochlorothiazide 12.5 MG Oral Tablet [Tekturna HCT],1011712,RxNorm,aliskiren
40226382,aliskiren 150 MG / Hydrochlorothiazide 25 MG Oral Tablet [Tekturna HCT],1011715,RxNorm,aliskiren
40226378,aliskiren 150 MG / Hydrochlorothiazide 12.5 MG Oral Tablet,1011710,RxNorm,aliskiren
40226406,aliskiren 300 MG Oral Tablet,1011739,RxNorm,aliskiren
40138826,aliskiren Oral Tablet [Tekturna],700404,RxNorm,aliskiren
40226388,aliskiren 150 MG Oral Tablet [Tekturna],1011738,RxNorm,aliskiren
40226387,aliskiren 150 MG Oral Tablet,1011736,RxNorm,aliskiren
40138204,aliskiren Oral Tablet,692500,RxNorm,aliskiren
40226407,aliskiren 300 MG Oral Tablet [Tekturna],1011741,RxNorm,aliskiren
40166557,aliskiren / valsartan Oral Tablet,864774,RxNorm,aliskiren
40166558,aliskiren / valsartan Oral Tablet [Valturna],864778,RxNorm,aliskiren
40226403,aliskiren 300 MG / valsartan 320 MG Oral Tablet,1011729,RxNorm,aliskiren
40226384,aliskiren 150 MG / valsartan 160 MG Oral Tablet,1011718,RxNorm,aliskiren
40226404,aliskiren 300 MG / valsartan 320 MG Oral Tablet [Valturna],1011735,RxNorm,aliskiren
40226385,aliskiren 150 MG / valsartan 160 MG Oral Tablet [Valturna],1011724,RxNorm,aliskiren
42705338,azilsartan medoxomil 40 MG / Chlorthalidone 12.5 MG [Edarbyclor],1235146,RxNorm,azilsartan
36237493,Edarbi Oral Product,1173191,RxNorm,azilsartan
42705363,azilsartan medoxomil 80 MG / Chlorthalidone 12.5 MG [Edarbyclor],1235309,RxNorm,azilsartan
40235492,azilsartan medoxomil 80 MG Oral Tablet [Edarbi],1091654,RxNorm,azilsartan
36212957,azilsartan Oral Product,1155006,RxNorm,azilsartan
40235491,azilsartan medoxomil 80 MG Oral Tablet,1091652,RxNorm,azilsartan
42707656,azilsartan medoxomil 80 MG / Chlorthalidone 12.5 MG Oral Tablet,1235307,RxNorm,azilsartan
36238275,Edarbyclor Oral Product,1235148,RxNorm,azilsartan
40235486,azilsartan medoxomil 40 MG,1091644,RxNorm,azilsartan
40235487,azilsartan medoxomil 40 MG Oral Tablet,1091646,RxNorm,azilsartan
40235489,azilsartan medoxomil 40 MG [Edarbi],1091648,RxNorm,azilsartan
42707657,azilsartan medoxomil 80 MG / Chlorthalidone 12.5 MG Oral Tablet [Edarbyclor],1235313,RxNorm,azilsartan
40235490,azilsartan medoxomil 80 MG,1091651,RxNorm,azilsartan
36238273,azilsartan / Chlorthalidone Oral Product,1235140,RxNorm,azilsartan
36238274,azilsartan / Chlorthalidone Pill,1235141,RxNorm,azilsartan
40235493,azilsartan medoxomil 80 MG [Edarbi],1091653,RxNorm,azilsartan
42707642,azilsartan medoxomil 40 MG / Chlorthalidone 25 MG Oral Tablet [Edarbyclor],1235157,RxNorm,azilsartan
36237494,Edarbi Pill,1173192,RxNorm,azilsartan
36238276,Edarbyclor Pill,1235149,RxNorm,azilsartan
40235485,azilsartan,1091643,RxNorm,azilsartan
42705336,azilsartan / Chlorthalidone Oral Tablet,1235142,RxNorm,azilsartan
42707639,azilsartan medoxomil 40 MG / Chlorthalidone 12.5 MG Oral Tablet,1235144,RxNorm,azilsartan
42707641,azilsartan medoxomil 40 MG / Chlorthalidone 25 MG Oral Tablet,1235151,RxNorm,azilsartan
42707640,azilsartan medoxomil 40 MG / Chlorthalidone 12.5 MG Oral Tablet [Edarbyclor],1235150,RxNorm,azilsartan
42705341,azilsartan medoxomil 40 MG / Chlorthalidone 25 MG [Edarbyclor],1235153,RxNorm,azilsartan
40235488,azilsartan medoxomil 40 MG Oral Tablet [Edarbi],1091650,RxNorm,azilsartan
42705339,azilsartan / Chlorthalidone Oral Tablet [Edarbyclor],1235147,RxNorm,azilsartan
40235495,azilsartan Oral Tablet [Edarbi],1091649,RxNorm,azilsartan
36212958,azilsartan Pill,1155007,RxNorm,azilsartan
40235494,azilsartan Oral Tablet,1091645,RxNorm,azilsartan
42707656,azilsartan medoxomil 80 MG / Chlorthalidone 12.5 MG Oral Tablet,1235307,RxNorm,azilsartan
42707657,azilsartan medoxomil 80 MG / Chlorthalidone 12.5 MG Oral Tablet [Edarbyclor],1235313,RxNorm,azilsartan
42707642,azilsartan medoxomil 40 MG / Chlorthalidone 25 MG Oral Tablet [Edarbyclor],1235157,RxNorm,azilsartan
42705336,azilsartan / Chlorthalidone Oral Tablet,1235142,RxNorm,azilsartan
42707639,azilsartan medoxomil 40 MG / Chlorthalidone 12.5 MG Oral Tablet,1235144,RxNorm,azilsartan
42707641,azilsartan medoxomil 40 MG / Chlorthalidone 25 MG Oral Tablet,1235151,RxNorm,azilsartan
42707640,azilsartan medoxomil 40 MG / Chlorthalidone 12.5 MG Oral Tablet [Edarbyclor],1235150,RxNorm,azilsartan
42705339,azilsartan / Chlorthalidone Oral Tablet [Edarbyclor],1235147,RxNorm,azilsartan
40235492,azilsartan medoxomil 80 MG Oral Tablet [Edarbi],1091654,RxNorm,azilsartan
40235491,azilsartan medoxomil 80 MG Oral Tablet,1091652,RxNorm,azilsartan
40235487,azilsartan medoxomil 40 MG Oral Tablet,1091646,RxNorm,azilsartan
40235488,azilsartan medoxomil 40 MG Oral Tablet [Edarbi],1091650,RxNorm,azilsartan
40235495,azilsartan Oral Tablet [Edarbi],1091649,RxNorm,azilsartan
40235494,azilsartan Oral Tablet,1091645,RxNorm,azilsartan
40171553,Amlodipine 2.5 MG / Benazepril hydrochloride 10 MG Oral Capsule,898350,RxNorm,benazepril
40171556,Amlodipine 5 MG / Benazepril hydrochloride 10 MG Oral Capsule,898353,RxNorm,benazepril
19061252,Amlodipine 2.5 MG / benazepril 5 MG Oral Capsule,248267,RxNorm,benazepril
40008942,Amlodipine / benazepril Oral Capsule,371002,RxNorm,benazepril
40171551,Amlodipine 10 MG / Benazepril hydrochloride 40 MG Oral Capsule [Lotrel],898348,RxNorm,benazepril
40171560,Amlodipine 5 MG / Benazepril hydrochloride 20 MG Oral Capsule [Lotrel],898358,RxNorm,benazepril
40171548,Amlodipine 10 MG / Benazepril hydrochloride 20 MG Oral Capsule [Lotrel],898344,RxNorm,benazepril
40171563,Amlodipine 5 MG / Benazepril hydrochloride 40 MG Oral Capsule [Lotrel],898361,RxNorm,benazepril
40171554,Amlodipine 2.5 MG / Benazepril hydrochloride 10 MG Oral Capsule [Lotrel],898352,RxNorm,benazepril
40171550,Amlodipine 10 MG / Benazepril hydrochloride 40 MG Oral Capsule,898346,RxNorm,benazepril
40171557,Amlodipine 5 MG / Benazepril hydrochloride 10 MG Oral Capsule [Lotrel],898355,RxNorm,benazepril
40171547,Amlodipine 10 MG / Benazepril hydrochloride 20 MG Oral Capsule,898342,RxNorm,benazepril
40171562,Amlodipine 5 MG / Benazepril hydrochloride 40 MG Oral Capsule,898359,RxNorm,benazepril
40142680,Amlodipine / benazepril Oral Capsule [Lotrel],744885,RxNorm,benazepril
40171559,Amlodipine 5 MG / Benazepril hydrochloride 20 MG Oral Capsule,898356,RxNorm,benazepril
40171558,Amlodipine 5 MG / Benazepril hydrochloride 10 MG [Lotrel],898354,RxNorm,benazepril
40171553,Amlodipine 2.5 MG / Benazepril hydrochloride 10 MG Oral Capsule,898350,RxNorm,benazepril
40171555,Amlodipine 2.5 MG / Benazepril hydrochloride 10 MG [Lotrel],898351,RxNorm,benazepril
40171556,Amlodipine 5 MG / Benazepril hydrochloride 10 MG Oral Capsule,898353,RxNorm,benazepril
40171661,Benazepril hydrochloride 10 MG Oral Tablet,898687,RxNorm,benazepril
36225635,benazepril / Hydrochlorothiazide Oral Product,1160005,RxNorm,benazepril
40171664,Benazepril hydrochloride 20 MG,898341,RxNorm,benazepril
40171663,Benazepril hydrochloride 10 MG [Lotensin],898688,RxNorm,benazepril
40171675,Benazepril hydrochloride 40 MG Oral Tablet,898719,RxNorm,benazepril
36231601,Lotrel Pill,1180909,RxNorm,benazepril
40171671,Benazepril hydrochloride 20 MG Oral Tablet,898690,RxNorm,benazepril
19061252,Amlodipine 2.5 MG / benazepril 5 MG Oral Capsule,248267,RxNorm,benazepril
40172078,benazepril / Hydrochlorothiazide Oral Tablet [Lotensin HCT],898381,RxNorm,benazepril
40008942,Amlodipine / benazepril Oral Capsule,371002,RxNorm,benazepril
40096153,benazepril / Hydrochlorothiazide Oral Tablet,371000,RxNorm,benazepril
40171564,Amlodipine 5 MG / Benazepril hydrochloride 40 MG [Lotrel],898360,RxNorm,benazepril
40171667,Benazepril hydrochloride 20 MG / Hydrochlorothiazide 12.5 MG [Lotensin HCT],898369,RxNorm,benazepril
40171659,Benazepril hydrochloride 10 MG / Hydrochlorothiazide 12.5 MG Oral Tablet [Lotensin HCT],898366,RxNorm,benazepril
36217715,Amlodipine / benazepril Pill,1152284,RxNorm,benazepril
40171551,Amlodipine 10 MG / Benazepril hydrochloride 40 MG Oral Capsule [Lotrel],898348,RxNorm,benazepril
36231600,Lotrel Oral Product,1180906,RxNorm,benazepril
40171560,Amlodipine 5 MG / Benazepril hydrochloride 20 MG Oral Capsule [Lotrel],898358,RxNorm,benazepril
40096446,benazepril Oral Tablet,371001,RxNorm,benazepril
40171658,Benazepril hydrochloride 10 MG / Hydrochlorothiazide 12.5 MG Oral Tablet,898362,RxNorm,benazepril
36231598,Lotensin Oral Product,1180904,RxNorm,benazepril
40171670,Benazepril hydrochloride 20 MG / Hydrochlorothiazide 25 MG [Lotensin HCT],898374,RxNorm,benazepril
40171672,Benazepril hydrochloride 20 MG Oral Tablet [Lotensin],898692,RxNorm,benazepril
40171678,Benazepril hydrochloride 5 MG,898377,RxNorm,benazepril
40171662,Benazepril hydrochloride 10 MG Oral Tablet [Lotensin],898689,RxNorm,benazepril
40171563,Amlodipine 5 MG / Benazepril hydrochloride 40 MG Oral Capsule [Lotrel],898361,RxNorm,benazepril
40171548,Amlodipine 10 MG / Benazepril hydrochloride 20 MG Oral Capsule [Lotrel],898344,RxNorm,benazepril
40171674,Benazepril hydrochloride 40 MG,898345,RxNorm,benazepril
40171554,Amlodipine 2.5 MG / Benazepril hydrochloride 10 MG Oral Capsule [Lotrel],898352,RxNorm,benazepril
40171549,Amlodipine 10 MG / Benazepril hydrochloride 20 MG [Lotrel],898343,RxNorm,benazepril
40171676,Benazepril hydrochloride 40 MG Oral Tablet [Lotensin],898721,RxNorm,benazepril
36231596,Lotensin HCT Pill,1180897,RxNorm,benazepril
40171550,Amlodipine 10 MG / Benazepril hydrochloride 40 MG Oral Capsule,898346,RxNorm,benazepril
40171557,Amlodipine 5 MG / Benazepril hydrochloride 10 MG Oral Capsule [Lotrel],898355,RxNorm,benazepril
40171669,Benazepril hydrochloride 20 MG / Hydrochlorothiazide 25 MG Oral Tablet [Lotensin HCT],898376,RxNorm,benazepril
40171660,Benazepril hydrochloride 10 MG / Hydrochlorothiazide 12.5 MG [Lotensin HCT],898364,RxNorm,benazepril
40171681,Benazepril hydrochloride 5 MG / Hydrochlorothiazide 6.25 MG [Lotensin HCT],898380,RxNorm,benazepril
19083078,benazepril 5 MG,328604,RxNorm,benazepril
40171666,Benazepril hydrochloride 20 MG / Hydrochlorothiazide 12.5 MG Oral Tablet [Lotensin HCT],898371,RxNorm,benazepril
40171673,Benazepril hydrochloride 20 MG [Lotensin],898691,RxNorm,benazepril
36231597,Lotensin HCT Oral Product,1180902,RxNorm,benazepril
40171668,Benazepril hydrochloride 20 MG / Hydrochlorothiazide 25 MG Oral Tablet,898372,RxNorm,benazepril
40171679,Benazepril hydrochloride 5 MG / Hydrochlorothiazide 6.25 MG Oral Tablet,898378,RxNorm,benazepril
36225637,benazepril Oral Product,1160007,RxNorm,benazepril
40171680,Benazepril hydrochloride 5 MG / Hydrochlorothiazide 6.25 MG Oral Tablet [Lotensin HCT],898382,RxNorm,benazepril
40171684,Benazepril hydrochloride 5 MG [Lotensin],898724,RxNorm,benazepril
40171683,Benazepril hydrochloride 5 MG Oral Tablet [Lotensin],898725,RxNorm,benazepril
36225636,benazepril / Hydrochlorothiazide Pill,1160006,RxNorm,benazepril
36231599,Lotensin Pill,1180905,RxNorm,benazepril
1335471,benazepril,18867,RxNorm,benazepril
40171677,Benazepril hydrochloride 40 MG [Lotensin],898720,RxNorm,benazepril
40171682,Benazepril hydrochloride 5 MG Oral Tablet,898723,RxNorm,benazepril
40171657,Benazepril hydrochloride 10 MG,898349,RxNorm,benazepril
40171665,Benazepril hydrochloride 20 MG / Hydrochlorothiazide 12.5 MG Oral Tablet,898367,RxNorm,benazepril
36225638,benazepril Pill,1160008,RxNorm,benazepril
40171547,Amlodipine 10 MG / Benazepril hydrochloride 20 MG Oral Capsule,898342,RxNorm,benazepril
36217714,Amlodipine / benazepril Oral Product,1152283,RxNorm,benazepril
40171562,Amlodipine 5 MG / Benazepril hydrochloride 40 MG Oral Capsule,898359,RxNorm,benazepril
40096447,benazepril Oral Tablet [Lotensin],368080,RxNorm,benazepril
40142680,Amlodipine / benazepril Oral Capsule [Lotrel],744885,RxNorm,benazepril
40171561,Amlodipine 5 MG / Benazepril hydrochloride 20 MG [Lotrel],898357,RxNorm,benazepril
40171559,Amlodipine 5 MG / Benazepril hydrochloride 20 MG Oral Capsule,898356,RxNorm,benazepril
40171552,Amlodipine 10 MG / Benazepril hydrochloride 40 MG [Lotrel],898347,RxNorm,benazepril
40172078,benazepril / Hydrochlorothiazide Oral Tablet [Lotensin HCT],898381,RxNorm,benazepril
40096153,benazepril / Hydrochlorothiazide Oral Tablet,371000,RxNorm,benazepril
40171659,Benazepril hydrochloride 10 MG / Hydrochlorothiazide 12.5 MG Oral Tablet [Lotensin HCT],898366,RxNorm,benazepril
40171658,Benazepril hydrochloride 10 MG / Hydrochlorothiazide 12.5 MG Oral Tablet,898362,RxNorm,benazepril
40171669,Benazepril hydrochloride 20 MG / Hydrochlorothiazide 25 MG Oral Tablet [Lotensin HCT],898376,RxNorm,benazepril
40171666,Benazepril hydrochloride 20 MG / Hydrochlorothiazide 12.5 MG Oral Tablet [Lotensin HCT],898371,RxNorm,benazepril
40171679,Benazepril hydrochloride 5 MG / Hydrochlorothiazide 6.25 MG Oral Tablet,898378,RxNorm,benazepril
40171668,Benazepril hydrochloride 20 MG / Hydrochlorothiazide 25 MG Oral Tablet,898372,RxNorm,benazepril
40171680,Benazepril hydrochloride 5 MG / Hydrochlorothiazide 6.25 MG Oral Tablet [Lotensin HCT],898382,RxNorm,benazepril
40171665,Benazepril hydrochloride 20 MG / Hydrochlorothiazide 12.5 MG Oral Tablet,898367,RxNorm,benazepril
40171661,Benazepril hydrochloride 10 MG Oral Tablet,898687,RxNorm,benazepril
40171675,Benazepril hydrochloride 40 MG Oral Tablet,898719,RxNorm,benazepril
40171671,Benazepril hydrochloride 20 MG Oral Tablet,898690,RxNorm,benazepril
40096446,benazepril Oral Tablet,371001,RxNorm,benazepril
40171672,Benazepril hydrochloride 20 MG Oral Tablet [Lotensin],898692,RxNorm,benazepril
40171662,Benazepril hydrochloride 10 MG Oral Tablet [Lotensin],898689,RxNorm,benazepril
40171676,Benazepril hydrochloride 40 MG Oral Tablet [Lotensin],898721,RxNorm,benazepril
40171683,Benazepril hydrochloride 5 MG Oral Tablet [Lotensin],898725,RxNorm,benazepril
40171682,Benazepril hydrochloride 5 MG Oral Tablet,898723,RxNorm,benazepril
40096447,benazepril Oral Tablet [Lotensin],368080,RxNorm,benazepril
1351583,candesartan cilexetil 16 MG Oral Tablet,577776,RxNorm,candesartan
36231389,Catacand Pill,1176383,RxNorm,candesartan
19131969,candesartan cilexetil 32 MG / Hydrochlorothiazide 25 MG Oral Tablet [Atacand HCT],805855,RxNorm,candesartan
40095410,candesartan / Hydrochlorothiazide Oral Tablet,374934,RxNorm,candesartan
974702,candesartan cilexetil 16 MG / Hydrochlorothiazide 12.5 MG Oral Tablet,578325,RxNorm,candesartan
