"concept_id","concept_name","concept_code","vocabulary_id","pcornet_vocabulary_id","category","ingredient"
956943,"furosemide 20 MG/ML Oral Solution","249815","RxNorm","RX","loop","furosemide"
44938936,"Bumetanide 0.5 MG Oral Tablet [Bumex]","65084016110","NDC","ND","loop","bumetanide"
21113611,"Furosemide 20 MG Oral Tablet Box of 250 by Bristol Myers Squibb","OMOP402656","RxNorm Extension","RX","loop","furosemide"
36266369,"torsemide 2.5 MG Oral Tablet [Torrem] Box of 56 by Meda","OMOP3117244","RxNorm Extension","RX","loop","torsemide"
36277168,"torsemide Oral Tablet [Torrem]","OMOP3128043","RxNorm Extension","RX","loop","torsemide"
35885697,"bumetanide 5 MG Oral Tablet Box of 28 by Medihealth","OMOP5032992","RxNorm Extension","RX","loop","bumetanide"
44982936,"Furosemide 80 MG Oral Tablet","46703007705","NDC","ND","loop","furosemide"
40877062,"Furosemide 30 MG Extended Release Oral Capsule [Lasix] Box of 1200","OMOP2075024","RxNorm Extension","RX","loop","furosemide"
43798011,"Furosemide 40 MG [Diurapid]","OMOP807314","RxNorm Extension","RX","loop","furosemide"
45052402,"Bumetanide 2 MG Oral Tablet","51138024130","NDC","ND","loop","bumetanide"
45904245,"Furosemide 20 MG Oral Tablet","50090015101","NDC","ND","loop","furosemide"
21123251,"Amiloride 5 MG / Furosemide 40 MG Oral Tablet [Co-amilofruse] Box of 28 by A A H","OMOP403193","RxNorm Extension","RX","loop","furosemide"
45353384,"Furosemide 40 MG Oral Tablet","00904148152","NDC","ND","loop","furosemide"
46248668,"bumetanide 0.5 MG Oral Tablet","44291017801","NDC","ND","loop","bumetanide"
45226157,"Furosemide 80 MG Oral Tablet","58016057608","NDC","ND","loop","furosemide"
21069933,"torsemide 10 MG Oral Tablet Box of 28 by Kent","OMOP307509","RxNorm Extension","RX","loop","torsemide"
44921413,"furosemide 20mg/1 ORAL TABLET","636292683","NDC","ND","loop","furosemide"
42958833,"torsemide 5 MG [TORSEM]","OMOP4685341","RxNorm Extension","RX","loop","torsemide"
21044879,"Furosemide 40 MG Oral Tablet Box of 28 by Boston","OMOP402800","RxNorm Extension","RX","loop","furosemide"
36809095,"150 ML Furosemide 8 MG/ML Oral Solution by AMCo","OMOP4823133","RxNorm Extension","RX","loop","furosemide"
41120445,"torsemide 5 MG Oral Tablet [Torasemid Heumann H2u] Box of 30","OMOP2318407","RxNorm Extension","RX","loop","torsemide"
36278784,"4 ML Bumetanide 0.5 MG/ML Injectable Solution [Burinex]","OMOP3129659","RxNorm Extension","RX","loop","bumetanide"
41010753,"Furosemide 500 MG Oral Tablet [Lasix] Box of 20 by Gerke","OMOP2208715","RxNorm Extension","RX","loop","furosemide"
42822891,"bumetanide 1 MG Oral Tablet","00832054111","NDC","ND","loop","bumetanide"
44961932,"Furosemide 20 mg/1 TABLET [Furosemide]","052125163","NDC","ND","loop","furosemide"
45300043,"Furosemide 10 MG/ML Injectable Solution","00223770820","NDC","ND","loop","furosemide"
21103817,"Furosemide 50 MG/ML Prefilled Syringe Box of 10","OMOP402689","RxNorm Extension","RX","loop","furosemide"
41319453,"torsemide 20 MG Oral Tablet [Torasemid Al] Box of 100 by Aliud","OMOP2517415","RxNorm Extension","RX","loop","torsemide"
45138983,"Furosemide 10 MG/ML Injectable Solution","54868364500","NDC","ND","loop","furosemide"
40995426,"torsemide 2.5 MG Oral Tablet [Torasemid Pharma]","OMOP2193388","RxNorm Extension","RX","loop","torsemide"
45100791,"torsemide 10 MG Oral Tablet","33261068120","NDC","ND","loop","torsemide"
36187633,"Furosemide 80 MG Oral Tablet","70518125601","NDC","ND","loop","furosemide"
42958828,"torsemide 5 MG Oral Tablet [TORSEM]","OMOP4685336","RxNorm Extension","RX","loop","torsemide"
44842673,"furosemide 20 mg/1 TABLET [Furosemide]","052125530","NDC","ND","loop","furosemide"
43145408,"Furosemide 40 MG Oral Tablet [FUROSEMIDE SANDOZ] Box of 30 by Sandoz","OMOP444329","RxNorm Extension","RX","loop","furosemide"
41214400,"torsemide 20 MG Oral Tablet [Torasemid Hexal] Box of 30","OMOP2412362","RxNorm Extension","RX","loop","torsemide"
44981405,"torsemide 10 MG Oral Tablet","31722053005","NDC","ND","loop","torsemide"
45257797,"Furosemide 20 MG Oral Tablet","52544030001","NDC","ND","loop","furosemide"
41183083,"torsemide 200 MG Oral Tablet [Torasemid 1a Pharm]","OMOP2381045","RxNorm Extension","RX","loop","torsemide"
44888598,"Furosemide 80 MG Oral Tablet","68115015190","NDC","ND","loop","furosemide"
21103825,"Furosemide 40 MG Oral Tablet Box of 28 by Accord","OMOP402798","RxNorm Extension","RX","loop","furosemide"
1566833,"furosemide 20 MG Oral Tablet","68071319409","NDC","ND","loop","furosemide"
44841821,"Furosemide 80 MG Oral Tablet","00904148261","NDC","ND","loop","furosemide"
40932902,"torsemide 5 MG Oral Tablet [Torasemid Tad] Box of 100","OMOP2130864","RxNorm Extension","RX","loop","torsemide"
40944944,"torsemide 10 MG Oral Tablet [Torasemid Sandoz] Box of 30 by Novartis","OMOP2142906","RxNorm Extension","RX","loop","torsemide"
41251575,"Furosemide 40 MG Oral Tablet [Furosemid] Box of 50","OMOP2449537","RxNorm Extension","RX","loop","furosemide"
44041541,"Furosemide 20 MG [Ava-Furosemide]","OMOP1036172","RxNorm Extension","RX","loop","furosemide"
21035009,"Furosemide 500 MG Oral Tablet by Alliance","OMOP402709","RxNorm Extension","RX","loop","furosemide"
21094041,"Bumetanide 1 MG Oral Tablet Box of 28 by A A H","OMOP405566","RxNorm Extension","RX","loop","bumetanide"
19003604,"furosemide 40 MG / potassium 8 MMOL Extended Release Oral Tablet","104265","RxNorm","RX","loop","furosemide"
21172549,"Amiloride 10 MG / Furosemide 80 MG Oral Tablet [Co-amilofruse] by DE","OMOP403081","RxNorm Extension","RX","loop","furosemide"
43604996,"torsemide 10 MG Oral Tablet [Torzus]","OMOP672628","RxNorm Extension","RX","loop","torsemide"
44882022,"furosemide 20 MG Oral Tablet","51079007220","NDC","ND","loop","furosemide"
42828813,"furosemide 20 MG Oral Tablet","70518083601","NDC","ND","loop","furosemide"
21153101,"Bumetanide 0.2 MG/ML Oral Solution by Alliance","OMOP405580","RxNorm Extension","RX","loop","bumetanide"
45300747,"Furosemide 20 MG Oral Tablet","00368105901","NDC","ND","loop","furosemide"
44125268,"Furosemide 20 MG Oral Tablet [Ntp-Furosemide]","OMOP1119899","RxNorm Extension","RX","loop","furosemide"
21098795,"150 ML Furosemide 1 MG/ML Oral Solution","OMOP325996","RxNorm Extension","RX","loop","furosemide"
44950385,"Furosemide 40 MG Oral Tablet","51432018803","NDC","ND","loop","furosemide"
41032834,"Furosemide 40 MG Oral Tablet [Fusid] Box of 1000","OMOP2230796","RxNorm Extension","RX","loop","furosemide"
43743993,"Furosemide 20 MG / Spironolactone 100 MG [Spironolacton Heumann]","OMOP777571","RxNorm Extension","RX","loop","furosemide"
45848881,"furosemide 80mg/1 ORAL TABLET","641250118","NDC","ND","loop","furosemide"
45226105,"Furosemide 20 MG Oral Tablet","58016053869","NDC","ND","loop","furosemide"
21123379,"Bumetanide 5 MG Oral Tablet by TEVA","OMOP405598","RxNorm Extension","RX","loop","bumetanide"
36493551,"bumetanide 1mg/1 ORAL TABLET","433530288","NDC","ND","loop","bumetanide"
44414167,"4 ML furosemide 10 MG/ML Injection","70121116401","NDC","ND","loop","furosemide"
21025282,"Furosemide 8 MG/ML Oral Solution by Alliance","OMOP402904","RxNorm Extension","RX","loop","furosemide"
21044890,"Amiloride 2 MG/ML / Furosemide 25 MG/ML Oral Suspension by Special Order","OMOP403050","RxNorm Extension","RX","loop","furosemide"
45869917,"4 ML furosemide 10 MG/ML Injection","23155047332","NDC","ND","loop","furosemide"
36484391,"FUROSEMIDE - furosemide tablet","63629647501","NDC","ND","loop","furosemide"
41226119,"torsemide 10 MG Oral Tablet [Torasemid Ct] Box of 30 by AbZ-Pharma","OMOP2424081","RxNorm Extension","RX","loop","torsemide"
21044870,"Furosemide 20 MG Oral Tablet by Phoenix Labs","OMOP402616","RxNorm Extension","RX","loop","furosemide"
750620,"furosemide 40 MG Oral Tablet","71610004945","NDC","ND","loop","furosemide"
40930885,"Canrenoic Acid 20 MG/ML / Furosemide 2 MG/ML Injectable Solution Box of 5","OMOP2128847","RxNorm Extension","RX","loop","furosemide"
45194695,"Furosemide 20 MG Oral Tablet","67544024432","NDC","ND","loop","furosemide"
45210056,"Furosemide 20 MG Oral Tablet","60809013355","NDC","ND","loop","furosemide"
41307386,"torsemide 10 MG Oral Tablet [Torasemid Stada] Box of 30","OMOP2505348","RxNorm Extension","RX","loop","torsemide"
45010473,"Furosemide 80 MG Oral Tablet","00364070001","NDC","ND","loop","furosemide"
35158510,"torsemide 8 MG Oral Tablet","OMOP4815504","RxNorm Extension","RX","loop","torsemide"
43293828,"Furosemide Oral Tablet [Frusax]","OMOP532728","RxNorm Extension","RX","loop","furosemide"
40917087,"Furosemide 500 MG Oral Tablet [Furo Ct] Box of 100 by AbZ-Pharma","OMOP2115049","RxNorm Extension","RX","loop","furosemide"
43167549,"Furosemide 20 MG / Spironolactone 50 MG Oral Capsule [ALDALIX] Box of 90 by Pfizer","OMOP444361","RxNorm Extension","RX","loop","furosemide"
45374484,"Furosemide 20 MG Oral Tablet","38245041350","NDC","ND","loop","furosemide"
44949697,"torsemide 20 MG Oral Tablet","49884010805","NDC","ND","loop","torsemide"
40992030,"Furosemide 500 MG Oral Tablet Box of 1000","OMOP2189992","RxNorm Extension","RX","loop","furosemide"
41460620,"2.02 ML Bumetanide 0.25 MG/ML Injectable Solution [Fordiuran] Box of 5","OMOP2658582","RxNorm Extension","RX","loop","bumetanide"
21084169,"Furosemide 10 MG/ML Oral Solution by Alliance","OMOP402871","RxNorm Extension","RX","loop","furosemide"
44953278,"Furosemide 40 MG Oral Tablet","58016053981","NDC","ND","loop","furosemide"
21049688,"150 ML Furosemide 4 MG/ML Oral Solution by Sigma-Tau","OMOP325960","RxNorm Extension","RX","loop","furosemide"
1162217,"furosemide 20mg/1 ORAL TABLET","716100284","NDC","ND","loop","furosemide"
44844949,"Bumetanide 0.5 MG Oral Tablet","23490936103","NDC","ND","loop","bumetanide"
42838769,"bumetanide 1mg/1 ORAL TABLET","713350016","NDC","ND","loop","bumetanide"
41114735,"torsemide 10 MG/ML Injectable Solution Box of 100","OMOP2312697","RxNorm Extension","RX","loop","torsemide"
43748813,"torsemide 20 MG Oral Tablet [Toracht]","OMOP672737","RxNorm Extension","RX","loop","torsemide"
42636392,"furosemide 10mg/mL INTRAMUSCULAR; INTRAVENOUS INJECTION, SOLUTION","51662157201","NDC","ND","loop","furosemide"
43586912,"torsemide 20 MG Oral Tablet [Torasemid Al] by Aliud","OMOP672736","RxNorm Extension","RX","loop","torsemide"
40103119,"Furosemide Syrup","561968","RxNorm","RX","loop","furosemide"
45093886,"furosemide 80mg/1 ORAL TABLET","000390066","NDC","ND","loop","furosemide"
21133088,"Furosemide 500 MG Oral Tablet [Diuresal] by Ennogen","OMOP402734","RxNorm Extension","RX","loop","furosemide"
21038235,"1 ML Amiloride 0.25 MG/ML / Furosemide 2 MG/ML Oral Solution","OMOP297748","RxNorm Extension","RX","loop","furosemide"
44448902,"furosemide 20 MG Oral Tablet","43063070221","NDC","ND","loop","furosemide"
41183071,"torsemide 10 MG Oral Tablet [Torasemid Accedo]","OMOP2381033","RxNorm Extension","RX","loop","torsemide"
40908036,"Furosemide 60 MG / Reserpine 0.4 MG Oral Tablet [Nortensin] Box of 30","OMOP2105998","RxNorm Extension","RX","loop","furosemide"
43816060,"Furosemide 40 MG [Furosemid Stada]","OMOP807358","RxNorm Extension","RX","loop","furosemide"
45093602,"Bumetanide 1 MG Oral Tablet","00004012199","NDC","ND","loop","bumetanide"
43820981,"torsemide 200 MG Oral Tablet [Tokid]","OMOP672699","RxNorm Extension","RX","loop","torsemide"
41459531,"2.02 ML Furosemide 10 MG/ML Injectable Solution [Lasix] Box of 5 by Eurim-Pharm","OMOP2657493","RxNorm Extension","RX","loop","furosemide"
21172517,"Furosemide 12 MG/ML Oral Suspension by Special Order","OMOP402673","RxNorm Extension","RX","loop","furosemide"
21143055,"Furosemide 0.05 MG/ACTUAT Nasal Spray","OMOP402953","RxNorm Extension","RX","loop","furosemide"
41104593,"Furosemide 20 MG / Spironolactone 100 MG Oral Tablet [Furo Aldopur] Box of 100 by Kwizda","OMOP2302555","RxNorm Extension","RX","loop","furosemide"
43766828,"torsemide 200 MG Oral Tablet [Torem] by Berlin-Chemie","OMOP672710","RxNorm Extension","RX","loop","torsemide"
40964143,"torsemide 10 MG Oral Tablet [Torasemid Teva]","OMOP2162105","RxNorm Extension","RX","loop","torsemide"
45119836,"torsemide 100 MG Oral Tablet","49856023501","NDC","ND","loop","torsemide"
45247141,"Bumetanide 0.5 MG Oral Tablet [Bumex]","00004012549","NDC","ND","loop","bumetanide"
45162742,"Bumetanide 0.5 MG Oral Tablet","00172423260","NDC","ND","loop","bumetanide"
44429780,"furosemide 40 MG Oral Tablet","43353006953","NDC","ND","loop","furosemide"
41461074,"2.02 ML Furosemide 10 MG/ML Injectable Solution [Furosemid Stada] Box of 100","OMOP2659036","RxNorm Extension","RX","loop","furosemide"
41282459,"Furosemide 250 MG Oral Tablet [Furosemid Ratiopharm] Box of 50","OMOP2480421","RxNorm Extension","RX","loop","furosemide"
43039197,"2 ML Furosemide 10 MG/ML Injectable Solution [LASILIX] Box of 12 by Sanofi","OMOP4854234","RxNorm Extension","RX","loop","furosemide"
43189513,"Furosemide 20 MG / Spironolactone 50 MG [ALDALIX]","OMOP444353","RxNorm Extension","RX","loop","furosemide"
41179594,"Furosemide 250 MG Oral Tablet Box of 50","OMOP2377556","RxNorm Extension","RX","loop","furosemide"
45168069,"torsemide 5 MG Oral Tablet","14288007525","NDC","ND","loop","torsemide"
43586906,"torsemide 2.5 MG Oral Tablet [Torem Rr]","OMOP672663","RxNorm Extension","RX","loop","torsemide"
45280348,"Furosemide 80 MG Oral Tablet","67253054210","NDC","ND","loop","furosemide"
41051919,"torsemide 50 MG Oral Tablet Box of 50","OMOP2249881","RxNorm Extension","RX","loop","torsemide"
45063117,"Furosemide 80 MG Oral Tablet","00781144613","NDC","ND","loop","furosemide"
45025451,"Bumetanide 0.25 MG/ML Injectable Solution","00004194401","NDC","ND","loop","bumetanide"
21064573,"Amiloride 5 MG / Furosemide 40 MG Oral Tablet [Co-amilofruse] by DE","OMOP403171","RxNorm Extension","RX","loop","furosemide"
45134290,"Furosemide 40 MG Oral Tablet","23490562301","NDC","ND","loop","furosemide"
21093921,"Amiloride 5 MG / Furosemide 40 MG Oral Tablet [Lasoride]","OMOP403226","RxNorm Extension","RX","loop","furosemide"
21038232,"1 ML Furosemide 6 MG/ML Oral Suspension by Special Order","OMOP297710","RxNorm Extension","RX","loop","furosemide"
41104591,"Furosemide 20 MG / Spironolactone 50 MG Oral Tablet [Spiro] Box of 50 by Ratiopharm","OMOP2302553","RxNorm Extension","RX","loop","furosemide"
44934577,"Furosemide 40 MG Oral Tablet","54441005710","NDC","ND","loop","furosemide"
44970175,"Furosemide 20 MG Oral Tablet","58016053832","NDC","ND","loop","furosemide"
40880459,"Bumetanide 1 MG Oral Tablet [Fordiuran] Box of 50","OMOP2078421","RxNorm Extension","RX","loop","bumetanide"
45353783,"Torsemide 100 mg/1 TABLET [Torsemide]","031722532","NDC","ND","loop","torsemide"
43211332,"Furosemide 20 MG Oral Tablet [FUROSEMIDE SANDOZ]","OMOP444277","RxNorm Extension","RX","loop","furosemide"
35505927,"furosemide 40 MG Oral Tablet","68788735406","NDC","ND","loop","furosemide"
45059913,"Furosemide 80 MG Oral Tablet [Lasix]","00039006601","NDC","ND","loop","furosemide"
44953276,"Furosemide 40 MG Oral Tablet","58016053920","NDC","ND","loop","furosemide"
45369640,"Bumetanide 0.5 MG Oral Tablet","00615454153","NDC","ND","loop","bumetanide"
41455228,"2.02 ML Furosemide 10 MG/ML Injectable Solution [Furosemid Stada] Box of 5","OMOP2653190","RxNorm Extension","RX","loop","furosemide"
44450713,"furosemide 20 MG Oral Tablet","12634041609","NDC","ND","loop","furosemide"
43520674,"2.02 ML Furosemide 10 MG/ML Injection [Frusehexal]","OMOP2807789","RxNorm Extension","RX","loop","furosemide"
45009904,"Furosemide 40 MG Oral Tablet","00247019900","NDC","ND","loop","furosemide"
41367971,"10 ML Bumetanide 0.5 MG/ML Injectable Solution [Burinex] Box of 5 by Leo","OMOP2565933","RxNorm Extension","RX","loop","bumetanide"
43855928,"Furosemide 10 MG/ML Injectable Solution Box of 50","OMOP959959","RxNorm Extension","RX","loop","furosemide"
45039466,"Bumetanide 0.5 MG Oral Tablet [Bumex]","60491009168","NDC","ND","loop","bumetanide"
43211326,"Furosemide 10 MG/ML [FUROSEMIDE LAVOISIER]","OMOP444228","RxNorm Extension","RX","loop","furosemide"
41235035,"Furosemide 40 MG [Hydro Rapid]","OMOP2432997","RxNorm Extension","RX","loop","furosemide"
43699068,"2 ML torsemide 5 MG/ML Injectable Solution [Torem 10]","OMOP754003","RxNorm Extension","RX","loop","torsemide"
44167582,"Furosemide 500 MG Oral Tablet [Lasix] Box of 100 by Ae-Media","OMOP3044305","RxNorm Extension","RX","loop","furosemide"
36499646,"furosemide 40 MG Oral Tablet","71610030853","NDC","ND","loop","furosemide"
40851387,"torsemide 2.5 MG Oral Tablet [Torasemid Teva] Box of 100 by TEVA","OMOP2049349","RxNorm Extension","RX","loop","torsemide"
44988299,"furosemide 20 MG Oral Tablet","60760062430","NDC","ND","loop","furosemide"
40752759,"Furosemide 20 MG Oral Tablet Box of 28 by Phoenix Healthcare Distribution","OMOP4705768","RxNorm Extension","RX","loop","furosemide"
41454070,"2.02 ML Furosemide 10 MG/ML Injectable Solution [Fusid] Box of 500","OMOP2652032","RxNorm Extension","RX","loop","furosemide"
40845932,"Furosemide 250 MG Oral Tablet [Furosemid Ratiopharm] Box of 100","OMOP2043894","RxNorm Extension","RX","loop","furosemide"
21029359,"25 ML Furosemide 10 MG/ML Prefilled Syringe by Hameln","OMOP315795","RxNorm Extension","RX","loop","furosemide"
45026761,"Furosemide 40 MG Oral Tablet","00179138488","NDC","ND","loop","furosemide"
44851096,"Furosemide 80 MG Oral Tablet","58016057697","NDC","ND","loop","furosemide"
45049365,"Furosemide 20 MG Oral Tablet","23490290800","NDC","ND","loop","furosemide"
41276293,"torsemide 5 MG Oral Tablet [Torasemid Teva]","OMOP2474255","RxNorm Extension","RX","loop","torsemide"
21165937,"1 ML Furosemide 7.5 MG/ML Oral Solution by Special Order","OMOP297734","RxNorm Extension","RX","loop","furosemide"
43857080,"torsemide 10 MG Oral Tablet [Torasemid Heumann] by Heumann","OMOP672631","RxNorm Extension","RX","loop","torsemide"
41265882,"Furosemide 40 MG / Triamterene 50 MG [Furesis]","OMOP2463844","RxNorm Extension","RX","loop","furosemide"
44986679,"Furosemide 20 MG Oral Tablet [Delone]","55982001001","NDC","ND","loop","furosemide"
45020356,"Furosemide 80 MG Oral Tablet","55154490907","NDC","ND","loop","furosemide"
41351202,"4 ML Furosemide 10 MG/ML Injectable Solution Box of 50","OMOP2549164","RxNorm Extension","RX","loop","furosemide"
40913653,"torsemide 5 MG Oral Tablet [Unat] Box of 30 by Meda","OMOP2111615","RxNorm Extension","RX","loop","torsemide"
45173437,"Furosemide 40 MG Oral Tablet","55045121707","NDC","ND","loop","furosemide"
21094044,"Bumetanide 5 MG Oral Tablet by C.P.","OMOP405590","RxNorm Extension","RX","loop","bumetanide"
44416618,"furosemide 40 MG Oral Tablet","12634053300","NDC","ND","loop","furosemide"
45234627,"FUROSEMIDE 40 mg/1 TABLET [FUROSEMIDE]","049349085","NDC","ND","loop","furosemide"
21128141,"150 ML Furosemide 4 MG/ML Oral Solution [Frusol]","OMOP325969","RxNorm Extension","RX","loop","furosemide"
41339856,"2 ML Furosemide 10 MG/ML Injectable Solution [Lasix] Box of 5 by Emra-Med","OMOP2537818","RxNorm Extension","RX","loop","furosemide"
41183073,"torsemide 20 MG Oral Tablet [Torasemid Sandoz] Box of 50","OMOP2381035","RxNorm Extension","RX","loop","torsemide"
