concept_class_id,concept_code,concept_id,concept_name,domain_id,standard_concept,valid_end_date,valid_state_date,vocabulary_id
LOINC Hierarchy,LP260690-5,36209785,Adenovirus E(4) | XXX,Measurement,C,12/31/99,1/1/70,LOINC
Lab Test,34576-9,3045194,Adenovirus Ab [Titer] in Cerebral spinal fluid,Measurement,S,12/31/99,9/5/03,LOINC
Lab Test,24176-0,3026731,Adenovirus Ab [Titer] in Serum by Complement fixation --2nd specimen,Measurement,S,12/31/99,1/1/70,LOINC
LOINC Hierarchy,LP260687-1,36207706,Adenovirus B(11) | XXX,Measurement,C,12/31/99,1/1/70,LOINC
Lab Test,86511-3,36203755,Adenovirus DNA [Presence] in Blood by Probe and target amplification method,Measurement,S,12/31/99,6/23/17,LOINC
LOINC Hierarchy,LP260686-3,36207330,Adenovirus B(16) | XXX,Measurement,C,12/31/99,1/1/70,LOINC
Lab Test,82160-3,21493329,Adenovirus DNA [Presence] in Nasopharynx by Target amplification with non-probe based detection,Measurement,S,12/31/99,6/24/16,LOINC
LOINC Hierarchy,LP259960-5,36208607,Adenovirus C | Nasopharynx,Measurement,C,12/31/99,1/1/70,LOINC
Lab Test,80586-1,21493373,Adenovirus hexon gene [Presence] in Nasopharynx by Probe and target amplification method,Measurement,S,12/31/99,6/24/16,LOINC
Lab Test,86329-0,36203954,Adenovirus B(16) DNA [Presence] in Unspecified specimen by Probe and target amplification method,Measurement,S,12/31/99,6/23/17,LOINC
Lab Test,7805-5,3009662,Adenovirus Ab [Units/volume] in Serum,Measurement,S,12/31/99,1/1/70,LOINC
Lab Test,5041-9,3013244,Adenovirus Ab [Titer] in Serum by Complement fixation,Measurement,S,12/31/99,1/1/70,LOINC
Lab Test,62480-9,40765217,Adenovirus DNA [Presence] in Bronchoalveolar lavage by Probe and target amplification method,Measurement,S,12/31/99,12/20/10,LOINC
Lab Test,86332-4,36203957,Adenovirus B(7) DNA [Presence] in Unspecified specimen by Probe and target amplification method,Measurement,S,12/31/99,6/23/17,LOINC
Lab Test,49337-9,3030149,Adenovirus DNA [#/volume] (viral load) in Bone marrow by Probe and target amplification method,Measurement,S,12/31/99,6/18/07,LOINC
LOINC Hierarchy,LP258757-6,36208613,Adenovirus | Nose,Measurement,C,12/31/99,1/1/70,LOINC
LOINC Hierarchy,LP14061-3,40775780,Adenovirus,Measurement,C,12/31/99,1/1/70,LOINC
Lab Test,39528-5,3041623,Adenovirus DNA [Presence] in Unspecified specimen by Probe and target amplification method,Measurement,S,12/31/99,3/10/05,LOINC
LOINC Hierarchy,LP257798-1,36205133,Adenovirus | Stool,Measurement,C,12/31/99,1/1/70,LOINC
Lab Test,66723-8,40769383,Adenovirus DNA [Log #/volume] (viral load) in Serum or Plasma by Probe and target amplification method,Measurement,S,12/31/99,6/21/11,LOINC
Lab Test,31711-5,3020393,Adenovirus Ag [Presence] in Stool,Measurement,S,12/31/99,1/1/70,LOINC
LOINC Hierarchy,LP258758-4,36209906,Adenovirus | Trachea,Measurement,C,12/31/99,1/1/70,LOINC
Lab Test,29416-5,3037258,Adenovirus Ab [Titer] in Body fluid,Measurement,S,12/31/99,1/1/70,LOINC
Lab Test,80674-5,21493555,Adenovirus 40+41fiber protein gene [Presence] in Stool by Probe and target amplification method,Measurement,S,12/31/99,6/24/16,LOINC
LOINC Hierarchy,LP260688-9,36205650,Adenovirus B(14) | XXX,Measurement,C,12/31/99,1/1/70,LOINC
LOINC Hierarchy,LP259099-2,36208611,Adenovirus | Bone marrow,Measurement,C,12/31/99,1/1/70,LOINC
LOINC Hierarchy,LP216058-0,21497601,Adenovirus hexon gene | Nasopharynx,Measurement,C,12/31/99,1/1/70,LOINC
LOINC Hierarchy,LP259610-6,36205540,Adenovirus 3+4+7+21 | XXX,Measurement,C,12/31/99,1/1/70,LOINC
Lab Test,21055-9,3036522,Adenovirus DNA [Presence] in Serum or Plasma by Probe and target amplification method,Measurement,S,12/31/99,1/1/70,LOINC
LOINC Hierarchy,LP256375-9,36208612,Adenovirus | Cerebral spinal fluid,Measurement,C,12/31/99,1/1/70,LOINC
Lab Test,69920-7,42868411,Adenovirus IgA Ab [Presence] in Serum by Immunoassay,Measurement,S,12/31/99,12/29/11,LOINC
LOINC Hierarchy,LP259961-3,36209904,Adenovirus B+E | Nasopharynx,Measurement,C,12/31/99,1/1/70,LOINC
Lab Test,64038-3,40766755,Adenovirus DNA [Log #/volume] (viral load) in Unspecified specimen by Probe and target amplification method,Measurement,S,12/31/99,3/29/11,LOINC
Lab Test,6306-5,3002261,Adenovirus 40+41 Ag [Presence] in Stool by Immunoassay,Measurement,S,12/31/99,1/1/70,LOINC
LOINC Hierarchy,LP257651-2,36208610,Adenovirus | Body fluid,Measurement,C,12/31/99,1/1/70,LOINC
Lab Test,66724-6,40769384,Adenovirus DNA [Log #/volume] (viral load) in Stool by Probe and target amplification method,Measurement,S,12/31/99,6/21/11,LOINC
Lab Test,24249-5,3012924,Adenovirus Ab [Titer] in Serum --1st specimen,Measurement,S,12/31/99,1/1/70,LOINC
Lab Test,5825-5,3021514,Adenovirus Ag [Presence] in Stool by Immunoassay,Measurement,S,12/31/99,1/1/70,LOINC
Lab Test,31713-1,3004440,Adenovirus Ag [Presence] in Urine,Measurement,S,12/31/99,1/1/70,LOINC
Lab Test,49338-7,3029524,Adenovirus DNA [#/volume] (viral load) in Cerebral spinal fluid by Probe and target amplification method,Measurement,S,12/31/99,6/18/07,LOINC
Lab Test,6307-3,3001155,Adenovirus rRNA [Presence] in Tissue by DNA probe,Measurement,S,12/31/99,1/1/70,LOINC
LOINC Hierarchy,LP260691-3,36205130,Adenovirus B(3) | XXX,Measurement,C,12/31/99,1/1/70,LOINC
Lab Test,41162-9,3040947,Adenovirus IgG Ab [Presence] in Serum,Measurement,S,12/31/99,5/11/05,LOINC
Lab Test,66722-0,40769382,Adenovirus DNA [Log #/volume] (viral load) in Tissue by Probe and target amplification method,Measurement,S,12/31/99,6/21/11,LOINC
Lab Test,66719-6,40769379,Adenovirus DNA [Log #/volume] (viral load) in Urine by Probe and target amplification method,Measurement,S,12/31/99,6/21/11,LOINC
Lab Test,5830-5,3034121,Adenovirus Ag [Presence] in Tissue by Immunofluorescence,Measurement,S,12/31/99,1/1/70,LOINC
Lab Test,61363-8,40764124,Adenovirus 3+4+7+21 DNA [Presence] in Unspecified specimen by Probe and target amplification method,Measurement,S,12/31/99,10/26/10,LOINC
Lab Test,13914-7,3010959,Adenovirus IgG Ab [Units/volume] in Serum,Measurement,S,12/31/99,10/13/97,LOINC
Lab Test,21054-2,3036242,Adenovirus IgM Ab [Presence] in Serum,Measurement,S,12/31/99,1/1/70,LOINC
LOINC Hierarchy,LP260689-7,36208608,Adenovirus B(7) | XXX,Measurement,C,12/31/99,1/1/70,LOINC
Lab Test,66729-5,40769389,Adenovirus DNA [#/volume] (viral load) in Skin by Probe and target amplification method,Measurement,S,12/31/99,6/21/11,LOINC
Lab Test,13913-9,3024715,Adenovirus Ab [Titer] in Serum by Immunofluorescence,Measurement,S,12/31/99,1/1/70,LOINC
Lab Test,43618-8,3043221,Adenovirus Ab [Presence] in Serum by Complement fixation,Measurement,S,12/31/99,1/1/70,LOINC
Lab Test,31217-3,3007270,Adenovirus Ab [Units/volume] in Body fluid,Measurement,S,12/31/99,1/1/70,LOINC
Lab Test,29314-2,3027617,Adenovirus Ab [Titer] in Body fluid by Complement fixation,Measurement,S,12/31/99,1/1/70,LOINC
Lab Test,49334-6,3032207,Adenovirus DNA [#/volume] (viral load) in Serum or Plasma by Probe and target amplification method,Measurement,S,12/31/99,6/18/07,LOINC
Lab Test,35705-3,3035162,Adenovirus Ag [Presence] in Nasopharynx,Measurement,S,12/31/99,4/6/04,LOINC
LOINC Hierarchy,LP259097-6,36205135,Adenovirus | Tissue and Smears,Measurement,C,12/31/99,1/1/70,LOINC
Lab Test,86334-0,36203959,Adenovirus B(3) DNA [Presence] in Unspecified specimen by Probe and target amplification method,Measurement,S,12/31/99,6/23/17,LOINC
LOINC Hierarchy,LP259580-1,36207331,Adenovirus | Isolate,Measurement,C,12/31/99,1/1/70,LOINC
Lab Test,6308-1,3020619,Adenovirus rRNA [Presence] in Unspecified specimen by DNA probe,Measurement,S,12/31/99,1/1/70,LOINC
Lab Test,86513-9,36203757,Adenovirus IgM Ab [Presence] in Serum by Immunoassay,Measurement,S,12/31/99,6/23/17,LOINC
Lab Test,40976-3,3040853,Adenovirus DNA [Identifier] in Unspecified specimen by Probe and target amplification method,Measurement,S,12/31/99,1/1/70,LOINC
Lab Test,31709-9,3002031,Adenovirus 40+41 Ag [Presence] in Stool,Measurement,S,12/31/99,1/1/70,LOINC
Lab Test,49336-1,3029254,Adenovirus DNA [#/volume] (viral load) in Bronchoalveolar lavage by Probe and target amplification method,Measurement,S,12/31/99,6/18/07,LOINC
Lab Test,43714-5,3047101,Adenovirus Ab [Presence] in Unspecified specimen,Measurement,S,12/31/99,2/13/06,LOINC
Lab Test,43613-9,3043539,Adenovirus Ag [Presence] in Trachea by Immunofluorescence,Measurement,S,12/31/99,1/24/06,LOINC
Lab Test,5827-1,3015977,Adenovirus Ag [Presence] in Throat by Immunoassay,Measurement,S,12/31/99,1/1/70,LOINC
Lab Test,43612-1,3046184,Adenovirus Ag [Presence] in Nose by Immunofluorescence,Measurement,S,12/31/99,1/24/06,LOINC
Lab Test,40975-5,3038281,Adenovirus DNA [Identifier] in Unspecified specimen by Restriction Fragment Length Polymorphysm (RFLP),Measurement,S,12/31/99,5/6/05,LOINC
Lab Test,44289-7,3045899,Adenovirus Ab [Units/volume] in Serum by Complement fixation,Measurement,S,12/31/99,1/1/70,LOINC
Lab Test,13192-0,3038217,Adenovirus Ab [Units/volume] in Cerebral spinal fluid,Measurement,S,12/31/99,1/1/70,LOINC
LOINC Hierarchy,LP262134-2,36209902,Adenovirus 40+41fiber protein gene | Stool,Measurement,C,12/31/99,1/1/70,LOINC
Lab Test,43616-2,3044430,Adenovirus Ab [Presence] in Serum,Measurement,S,12/31/99,1/24/06,LOINC
LOINC Hierarchy,LP91474-4,40781894,Adenovirus | XXX,Observation,C,12/31/99,1/1/70,LOINC
Lab Test,66728-7,40769388,Adenovirus DNA [Log #/volume] (viral load) in Skin by Probe and target amplification method,Measurement,S,12/31/99,6/21/11,LOINC
Lab Test,78529-5,21491012,Adenovirus Ag [Presence] in Stool by Rapid immunoassay,Measurement,S,12/31/99,6/24/16,LOINC
LOINC Hierarchy,LP260685-5,36208609,Adenovirus B(21) | XXX,Measurement,C,12/31/99,1/1/70,LOINC
Lab Test,66730-3,40769390,Adenovirus DNA [Log #/volume] (viral load) in Cerebral spinal fluid by Probe and target amplification method,Measurement,S,12/31/99,6/21/11,LOINC
Lab Test,86333-2,36203958,Adenovirus E(4) DNA [Presence] in Unspecified specimen by Probe and target amplification method,Measurement,S,12/31/99,6/23/17,LOINC
LOINC Hierarchy,LP258756-8,36205542,Adenovirus | Bronchial,Measurement,C,12/31/99,1/1/70,LOINC
LOINC Hierarchy,LP257800-5,36205653,Adenovirus | Urine,Measurement,C,12/31/99,1/1/70,LOINC
Lab Test,49340-3,3032682,Adenovirus DNA [#/volume] (viral load) in Unspecified specimen by Probe and target amplification method,Measurement,S,12/31/99,6/18/07,LOINC
Lab Test,51822-5,3041248,Adenovirus IgG Ab [Units/volume] in Serum by Immunoassay,Measurement,S,12/31/99,2/11/08,LOINC
Lab Test,60259-9,40763314,Adenovirus DNA [Presence] in Isolate by Probe and target amplification method,Measurement,S,12/31/99,7/8/10,LOINC
LOINC Hierarchy,LP102527-1,36209903,Adenovirus 3+4+7+21,Measurement,C,12/31/99,1/1/70,LOINC
LOINC Hierarchy,LP259802-9,36205132,Adenovirus | Skin,Measurement,C,12/31/99,1/1/70,LOINC
Lab Test,31714-9,3003330,Adenovirus Ag [Presence] in Unspecified specimen,Measurement,S,12/31/99,5/10/02,LOINC
Lab Test,5829-7,3016799,Adenovirus Ag [Presence] in Tissue by Immunoassay,Measurement,S,12/31/99,1/1/70,LOINC
Lab Test,76070-2,46235749,Adenovirus DNA [Presence] in Nasopharynx by Probe and target amplification method,Measurement,S,12/31/99,6/29/15,LOINC
Lab Test,82209-8,21493477,Adenovirus 40+41 DNA [Presence] in Stool by Target amplification with non-probe based detection,Measurement,S,12/31/99,6/24/16,LOINC
Lab Test,86328-2,36203953,Adenovirus B(21) DNA [Presence] in Unspecified specimen by Probe and target amplification method,Measurement,S,12/31/99,6/23/17,LOINC
LOINC Hierarchy,LP172711-6,36205129,Adenovirus B+E,Measurement,C,12/31/99,1/1/70,LOINC
Lab Test,48609-2,3049223,Adenovirus DNA [#/volume] (viral load) in Urine by Probe and target amplification method,Measurement,S,12/31/99,3/15/07,LOINC
Lab Test,49341-1,3028979,Adenovirus DNA [#/volume] (viral load) in Blood by Probe and target amplification method,Measurement,S,12/31/99,6/18/07,LOINC
Lab Test,77382-0,46235792,Adenovirus Ag [Presence] in Bronchoalveolar lavage by Immunofluorescence,Measurement,S,12/31/99,5/8/15,LOINC
LOINC Hierarchy,LP259098-4,36207707,Adenovirus | Bronchoalveolar lavage,Measurement,C,12/31/99,1/1/70,LOINC
LOINC Hierarchy,LP259803-7,36209905,Adenovirus | Sputum or Bronchial,Measurement,C,12/31/99,1/1/70,LOINC
Lab Test,13915-4,3010871,Adenovirus IgM Ab [Titer] in Serum,Measurement,S,12/31/99,1/1/70,LOINC
Lab Test,5042-7,3010672,Adenovirus IgM Ab [Units/volume] in Serum,Measurement,S,12/31/99,1/1/70,LOINC
Lab Test,49339-5,3033020,Adenovirus DNA [#/volume] (viral load) in Stool by Probe and target amplification method,Measurement,S,12/31/99,6/18/07,LOINC
Lab Test,55095-4,40758225,Adenovirus [Presence] in Unspecified specimen by Organism specific culture,Measurement,S,12/31/99,2/4/09,LOINC
Lab Test,66720-4,40769380,Adenovirus DNA [Log #/volume] (viral load) in Body fluid by Probe and target amplification method,Measurement,S,12/31/99,6/21/11,LOINC
LOINC Hierarchy,LP256475-7,36205541,Adenovirus | Bld-Ser-Plas,Measurement,C,12/31/99,1/1/70,LOINC
Lab Test,24175-2,3011892,Adenovirus Ab [Titer] in Serum by Complement fixation --1st specimen,Measurement,S,12/31/99,1/1/70,LOINC
LOINC Hierarchy,LP69366-0,40788337,Adenovirus 40+41 | Stool,Measurement,C,12/31/99,1/1/70,LOINC
Lab Test,43611-3,3046648,Adenovirus Ag [Presence] in Bronchial specimen by Immunofluorescence,Measurement,S,12/31/99,1/1/70,LOINC
Lab Test,22080-6,3001540,Adenovirus Ab [Titer] in Serum,Measurement,S,12/31/99,1/1/70,LOINC
Lab Test,66721-2,40769381,Adenovirus DNA [#/volume] (viral load) in Body fluid by Probe and target amplification method,Measurement,S,12/31/99,6/21/11,LOINC
Lab Test,5831-3,3022419,Adenovirus Ag [Presence] in Urine by Immunoassay,Measurement,S,12/31/99,1/1/70,LOINC
Lab Test,43617-0,3047318,Adenovirus Ab [Presence] in Cerebral spinal fluid,Measurement,S,12/31/99,1/24/06,LOINC
Lab Test,5834-7,3016845,Adenovirus Ag [Presence] in Unspecified specimen by Immunofluorescence,Measurement,S,12/31/99,1/1/70,LOINC
LOINC Hierarchy,LP257799-9,36205134,Adenovirus | Throat,Measurement,C,12/31/99,1/1/70,LOINC
Lab Test,86510-5,36203754,Adenovirus DNA [Presence] in Tissue by Probe and target amplification method,Measurement,S,12/31/99,6/23/17,LOINC
Lab Test,21053-4,3035716,Adenovirus IgG Ab [Titer] in Serum,Measurement,S,12/31/99,1/1/70,LOINC
Lab Test,76089-2,46235794,Respiratory syncytial virus RNA [Presence] in Nasopharynx by Probe and target amplification method,Measurement,S,12/31/99,6/29/15,LOINC
Lab Test,38272-1,3036107,Influenza virus A H5 RNA [Presence] in Unspecified specimen by Probe and target amplification method,Measurement,S,12/31/99,1/1/70,LOINC
Lab Test,47445-2,3049412,Influenza virus A H10 Ab [Titer] in Serum,Measurement,S,12/31/99,1/1/70,LOINC
Lab Test,5269-6,3004631,Parainfluenza virus 2 Ab [Titer] in Serum by Complement fixation,Measurement,S,12/31/99,1/1/70,LOINC
LOINC Hierarchy,LP39278-4,40783148,Parainfluenza virus 1 Ab,Measurement,C,12/31/99,1/1/70,LOINC
Lab Test,39309-0,3038428,Influenza virus A H8 Ab [Titer] in Serum by Hemagglutination inhibition,Measurement,S,12/31/99,1/1/70,LOINC
Lab Test,31548-1,3021630,Parainfluenza virus 1 Ab [Units/volume] in Body fluid,Measurement,S,12/31/99,1/1/70,LOINC
Lab Test,44556-9,3045315,Influenza virus A Ab [Presence] in Serum by Complement fixation,Measurement,S,12/31/99,1/1/70,LOINC
LOINC Hierarchy,LP260216-9,36206437,Influenza virus B | Respiratory specimen,Measurement,C,12/31/99,1/1/70,LOINC
Lab Test,49522-6,3029009,Influenza virus A H3 Ag [Presence] in Isolate by Immunofluorescence,Measurement,S,12/31/99,1/1/70,LOINC
LOINC Hierarchy,LP258404-5,36207793,Influenza virus A H2 | Bld-Ser-Plas,Measurement,C,12/31/99,1/1/70,LOINC
Lab Test,49524-2,3032731,Influenza virus A H3 RNA [Presence] in Unspecified specimen by Probe and target amplification method,Measurement,S,12/31/99,1/1/70,LOINC
Lab Test,38270-5,3036725,Influenza virus A H7 RNA [Presence] in Unspecified specimen by Probe and target amplification method,Measurement,S,12/31/99,1/1/70,LOINC
Lab Test,39299-3,3039811,Influenza virus A H12 Ab [Titer] in Serum by Hemagglutination inhibition,Measurement,S,12/31/99,1/1/70,LOINC
Lab Test,31583-8,3013027,Respiratory syncytial virus IgG Ab [Units/volume] in Cerebral spinal fluid,Measurement,S,12/31/99,5/10/02,LOINC
LOINC Hierarchy,LP261238-2,36206433,Influenza virus A | Tissue and Smears,Measurement,C,12/31/99,1/1/70,LOINC
LOINC Hierarchy,LP256759-4,36207804,Influenza virus B | Bld-Ser-Plas,Measurement,C,12/31/99,1/1/70,LOINC
Lab Test,41012-6,3041203,Respiratory syncytial virus IgG Ab [Presence] in Serum,Measurement,S,12/31/99,5/9/05,LOINC
LOINC Hierarchy,LP35108-7,40779663,Influenza virus A neuraminidase,Measurement,C,12/31/99,1/1/70,LOINC
LOINC Hierarchy,LP259800-3,36205242,Influenza virus A Leningrad | Bld-Ser-Plas,Measurement,C,12/31/99,1/1/70,LOINC
Lab Test,22366-9,3000117,Influenza virus A+B Ab [Titer] in Serum,Measurement,S,12/31/99,1/1/70,LOINC
LOINC Hierarchy,LP258596-8,36206154,Parainfluenza virus 4 | Bld-Ser-Plas,Measurement,C,12/31/99,1/1/70,LOINC
Lab Test,47447-8,3048749,Influenza virus A H12 Ab [Titer] in Serum,Measurement,S,12/31/99,1/1/70,LOINC
Lab Test,17012-6,3014742,Influenza virus A Ab [Units/volume] in Cerebral spinal fluid,Measurement,S,12/31/99,6/4/98,LOINC
Lab Test,44572-6,3042756,Influenza virus B Ag [Presence] in Bronchial specimen by Immunofluorescence,Measurement,S,12/31/99,1/1/70,LOINC
Lab Test,82169-4,21493335,Influenza virus A H3 RNA [Presence] in Nasopharynx by Target amplification with non-probe based detection,Measurement,S,12/31/99,6/24/16,LOINC
Lab Test,5861-0,3028162,Influenza virus A Ag [Presence] in Throat by Immunofluorescence,Measurement,S,12/31/99,1/1/70,LOINC
LOINC Hierarchy,LP34982-6,40779660,Human metapneumovirus,Measurement,C,12/31/99,1/1/70,LOINC
LOINC Hierarchy,LP258528-1,36210013,Rhinovirus | XXX,Measurement,C,12/31/99,1/1/70,LOINC
Lab Test,53250-7,3042219,Influenza virus A RNA [#/volume] (viral load) in Unspecified specimen by Probe and target amplification method,Measurement,S,12/31/99,5/15/08,LOINC
Lab Test,76085-0,46235764,Parainfluenza virus 2 RNA [Presence] in Nasopharynx by Probe and target amplification method,Measurement,S,12/31/99,6/29/15,LOINC
LOINC Hierarchy,LP258420-1,36209425,Influenza virus A N9 | Bld-Ser-Plas,Measurement,C,12/31/99,1/1/70,LOINC
LOINC Hierarchy,LP257832-8,36210012,Respiratory syncytial virus | Throat,Measurement,C,12/31/99,1/1/70,LOINC
Lab Test,50709-5,3030740,Influenza virus B Ab [Titer] in Serum by Hemagglutination inhibition,Measurement,S,12/31/99,10/16/07,LOINC
Lab Test,62462-7,40765199,Influenza virus A+B RNA [Presence] in Unspecified specimen by Probe and target amplification method,Measurement,S,12/31/99,12/20/10,LOINC
Lab Test,46199-6,3046808,Parainfluenza virus 1 Ab [Titer] in Cerebral spinal fluid,Measurement,S,12/31/99,6/1/06,LOINC
LOINC Hierarchy,LP64568-6,36209426,Influenza Virus A Neuraminidase | Isolate,Measurement,C,12/31/99,1/1/70,LOINC
Lab Test,39297-7,3042210,Influenza virus A H10 Ab [Titer] in Serum by Hemagglutination inhibition,Measurement,S,12/31/99,1/1/70,LOINC
Lab Test,44570-0,3042988,Influenza virus B Ab [Presence] in Serum,Measurement,S,12/31/99,3/9/06,LOINC
Lab Test,39307-4,3042309,Influenza virus A H6 Ab [Titer] in Serum by Hemagglutination inhibition,Measurement,S,12/31/99,1/1/70,LOINC
Lab Test,60271-4,40763326,Respiratory syncytial virus RNA [Presence] in Isolate by Probe and target amplification method,Measurement,S,12/31/99,7/8/10,LOINC
Lab Test,6438-6,3010064,Influenza virus A+B Ag [Presence] in Unspecified specimen by Immunofluorescence,Measurement,S,12/31/99,12/21/95,LOINC
Lab Test,7923-6,3009901,Influenza virus A Hong Kong Ab [Units/volume] in Serum,Measurement,S,12/31/99,8/15/96,LOINC
LOINC Hierarchy,LP182338-6,36206138,Influenza virus B Yamagata lineage,Measurement,C,12/31/99,1/1/70,LOINC
Lab Test,40979-7,3039848,Human metapneumovirus Ag [Presence] in Unspecified specimen by Immunofluorescence,Measurement,S,12/31/99,5/6/05,LOINC
LOINC Hierarchy,LP260620-2,36209431,Influenza virus B Yamagata lineage | Isolate,Measurement,C,12/31/99,1/1/70,LOINC
Lab Test,82461-5,42528606,Influenza virus A and B and H1 2009 pandemic RNA [Identifier] in Upper respiratory specimen by Probe and target amplification method,Measurement,S,12/31/99,2/21/17,LOINC
Lab Test,6435-2,3011852,Influenza virus A+B Ag [Presence] in Throat by Immunoassay,Measurement,S,12/31/99,12/21/95,LOINC
Lab Test,72201-7,43054944,Influenza virus A matrix protein segment sequence identifier,Measurement,S,12/31/99,12/28/12,LOINC
LOINC Hierarchy,LP216059-8,21496478,Human metapneumovirus A+B L+N genes | Nasopharynx,Measurement,C,12/31/99,1/1/70,LOINC
Lab Test,43366-4,3045012,Parainfluenza virus Ag [Identifier] in Unspecified specimen by Immunofluorescence,Measurement,S,12/31/99,1/6/06,LOINC
Lab Test,31926-9,3021578,Parainfluenza virus 2 Ag [Presence] in Unspecified specimen,Measurement,S,12/31/99,5/10/02,LOINC
Lab Test,40993-8,3042345,Rhinovirus Ag [Identifier] in Unspecified specimen by Neutralization test,Measurement,S,12/31/99,5/6/05,LOINC
LOINC Hierarchy,LP65707-9,36204600,Influenza virus A non-structural protein | Isolate,Measurement,C,12/31/99,1/1/70,LOINC
LOINC Hierarchy,LP216064-8,21495512,Parainfluenza virus 1 F gene | Nasopharynx,Measurement,C,12/31/99,1/1/70,LOINC
Lab Test,6434-5,3025611,Influenza virus A+B Ab [Titer] in Serum by Immunofluorescence,Measurement,S,12/31/99,1/1/70,LOINC
Lab Test,82172-8,21493338,Parainfluenza virus 2 RNA [Presence] in Nasopharynx by Target amplification with non-probe based detection,Measurement,S,12/31/99,6/24/16,LOINC
Lab Test,29908-1,3025634,Parainfluenza virus 1 RNA [Presence] in Unspecified specimen by Probe and target amplification method,Measurement,S,12/31/99,1/1/70,LOINC
Lab Test,81321-2,21492885,Influenza virus A H5 Asian RNA [Cycle Threshold #] in Respiratory specimen by Probe with target amplification using primer-probe set H5b,Measurement,S,12/31/99,6/24/16,LOINC
Lab Test,17014-2,3015828,Influenza virus B Ab [Units/volume] in Cerebral spinal fluid,Measurement,S,12/31/99,6/4/98,LOINC
Lab Test,17415-1,3010323,Parainfluenza virus A Ab [Units/volume] in Serum,Measurement,S,12/31/99,6/4/98,LOINC
LOINC Hierarchy,LP258396-3,36205251,Influenza virus A | Egg yolk,Measurement,C,12/31/99,1/1/70,LOINC
Lab Test,85805-0,36203605,Influenza virus A H7 Ag [Titer] in Isolate by Hemagglutination inhibition,Measurement,S,12/31/99,6/23/17,LOINC
Lab Test,72265-2,43055230,Influenza virus B IgA Ab [Units/volume] in Serum by Immunoassay,Measurement,S,12/31/99,8/31/12,LOINC
Lab Test,6638-1,3003902,Influenza virus A Texas Ab [Units/volume] in Serum by Hemagglutination inhibition,Measurement,S,12/31/99,4/24/96,LOINC
LOINC Hierarchy,LP257879-9,36204616,Influenza virus A+B | Nasopharynx,Measurement,C,12/31/99,1/1/70,LOINC
