concept_id,concept_code,concept_name,vocabulary,codeset
40708256,OMOP4749425,1000 ML Calcium Chloride 0.134 MG/ML / Glucose 50 MG/ML / Lactate 1.5 MG/ML / Potassium Chloride 0.2 MG/ML / Sodium Chloride 3 MG/ML Injectable Solution Box of 1,RxNorm Extension,iv_fluids
40708255,OMOP4749426,1000 ML Calcium Chloride 0.134 MG/ML / Glucose 50 MG/ML / Lactate 1.5 MG/ML / Potassium Chloride 0.2 MG/ML / Sodium Chloride 3 MG/ML Injectable Solution Box of 15,RxNorm Extension,iv_fluids
40708254,OMOP4749427,1000 ML Calcium Chloride 0.134 MG/ML / Glucose 50 MG/ML / Lactate 1.5 MG/ML / Potassium Chloride 0.2 MG/ML / Sodium Chloride 3 MG/ML Injectable Solution [Steriflex],RxNorm Extension,iv_fluids
40708252,OMOP4749429,1000 ML Calcium Chloride 0.134 MG/ML / Glucose 50 MG/ML / Lactate 1.5 MG/ML / Potassium Chloride 0.2 MG/ML / Sodium Chloride 3 MG/ML Injectable Solution [Steriflex] Box of 1,RxNorm Extension,iv_fluids
40708250,OMOP4749431,1000 ML Calcium Chloride 0.134 MG/ML / Glucose 50 MG/ML / Lactate 1.5 MG/ML / Potassium Chloride 0.2 MG/ML / Sodium Chloride 3 MG/ML Injectable Solution [Steriflex] Box of 15,RxNorm Extension,iv_fluids
40708249,OMOP4749432,1000 ML Calcium Chloride 0.134 MG/ML / Glucose 50 MG/ML / Lactate 1.5 MG/ML / Potassium Chloride 0.2 MG/ML / Sodium Chloride 3 MG/ML Injectable Solution [Steriflex] Box of 15 by Fresenius,RxNorm Extension,iv_fluids
40708251,OMOP4749430,1000 ML Calcium Chloride 0.134 MG/ML / Glucose 50 MG/ML / Lactate 1.5 MG/ML / Potassium Chloride 0.2 MG/ML / Sodium Chloride 3 MG/ML Injectable Solution [Steriflex] Box of 1 by Fresenius,RxNorm Extension,iv_fluids
40708253,OMOP4749428,1000 ML Calcium Chloride 0.134 MG/ML / Glucose 50 MG/ML / Lactate 1.5 MG/ML / Potassium Chloride 0.2 MG/ML / Sodium Chloride 3 MG/ML Injectable Solution [Steriflex] by Fresenius,RxNorm Extension,iv_fluids
43870282,OMOP901507,{(1000 ML Calcium Chloride 0.209 MG/ML / Magnesium Chloride 0.054 MG/ML / sodium (s) lactate 4.72 MG/ML / Sodium Chloride 5.38 MG/ML Injectab...) / (1000 ML Glucose 500 MG/ML / Sodium Chloride 5.38 MG/ML Injectable S...) } Pack [Selutrio] by Fresenius,RxNorm Extension,iv_fluids
42731609,OMOP2730006,{(1000 ML Calcium Chloride 0.209 MG/ML / Magnesium Chloride 0.054 MG/ML / sodium (s) lactate 4.72 MG/ML / Sodium Chloride 5.38 MG/ML Injectable Solution) / (1000 ML Glucose 500 MG/ML / Sodium Chloride 5.38 MG/ML Injectable Solution) } Pack,RxNorm Extension,iv_fluids
36898001,OMOP1003705,{(1000 ML Calcium Chloride 0.209 MG/ML / Magnesium Chloride 0.054 MG/ML / sodium (s) lactate 4.72 MG/ML / Sodium Chloride 5.38 MG/ML Injectable Solution) / (1000 ML Glucose 500 MG/ML / Sodium Chloride 5.38 MG/ML Injectable Solution) } Pack [Selutrio],RxNorm Extension,iv_fluids
42918207,OMOP4645091,1000 ML Calcium Chloride 0.268 MG/ML / Lactate 3.1 MG/ML / Potassium Chloride 0.4 MG/ML / Sodium Chloride 6 MG/ML Injectable Solution,RxNorm Extension,iv_fluids
42918208,OMOP4645092,1000 ML Calcium Chloride 0.268 MG/ML / Lactate 3.1 MG/ML / Potassium Chloride 0.4 MG/ML / Sodium Chloride 6 MG/ML Injectable Solution [B.BRAUN HARTMANNS],RxNorm Extension,iv_fluids
40708294,OMOP4749387,1000 ML Calcium Chloride 0.268 MG/ML / Lactate 3.1 MG/ML / Potassium Chloride 0.4 MG/ML / Sodium Chloride 6 MG/ML Injectable Solution Box of 1,RxNorm Extension,iv_fluids
40708293,OMOP4749388,1000 ML Calcium Chloride 0.268 MG/ML / Lactate 3.1 MG/ML / Potassium Chloride 0.4 MG/ML / Sodium Chloride 6 MG/ML Injectable Solution Box of 10,RxNorm Extension,iv_fluids
40708292,OMOP4749389,1000 ML Calcium Chloride 0.268 MG/ML / Lactate 3.1 MG/ML / Potassium Chloride 0.4 MG/ML / Sodium Chloride 6 MG/ML Injectable Solution Box of 12,RxNorm Extension,iv_fluids
40708291,OMOP4749390,1000 ML Calcium Chloride 0.268 MG/ML / Lactate 3.1 MG/ML / Potassium Chloride 0.4 MG/ML / Sodium Chloride 6 MG/ML Injectable Solution [Intraven],RxNorm Extension,iv_fluids
40708289,OMOP4749392,1000 ML Calcium Chloride 0.268 MG/ML / Lactate 3.1 MG/ML / Potassium Chloride 0.4 MG/ML / Sodium Chloride 6 MG/ML Injectable Solution [Intraven] Box of 1,RxNorm Extension,iv_fluids
40708288,OMOP4749393,1000 ML Calcium Chloride 0.268 MG/ML / Lactate 3.1 MG/ML / Potassium Chloride 0.4 MG/ML / Sodium Chloride 6 MG/ML Injectable Solution [Intraven] Box of 1 by Terumo BCT,RxNorm Extension,iv_fluids
40708290,OMOP4749391,1000 ML Calcium Chloride 0.268 MG/ML / Lactate 3.1 MG/ML / Potassium Chloride 0.4 MG/ML / Sodium Chloride 6 MG/ML Injectable Solution [Intraven] by Terumo BCT,RxNorm Extension,iv_fluids
40708277,OMOP4749404,1000 ML Calcium Chloride 0.268 MG/ML / Lactate 3.1 MG/ML / Potassium Chloride 0.4 MG/ML / Sodium Chloride 6 MG/ML Injectable Solution [Macoflex],RxNorm Extension,iv_fluids
40708275,OMOP4749406,1000 ML Calcium Chloride 0.268 MG/ML / Lactate 3.1 MG/ML / Potassium Chloride 0.4 MG/ML / Sodium Chloride 6 MG/ML Injectable Solution [Macoflex] Box of 1,RxNorm Extension,iv_fluids
40708273,OMOP4749408,1000 ML Calcium Chloride 0.268 MG/ML / Lactate 3.1 MG/ML / Potassium Chloride 0.4 MG/ML / Sodium Chloride 6 MG/ML Injectable Solution [Macoflex] Box of 10,RxNorm Extension,iv_fluids
40708272,OMOP4749409,1000 ML Calcium Chloride 0.268 MG/ML / Lactate 3.1 MG/ML / Potassium Chloride 0.4 MG/ML / Sodium Chloride 6 MG/ML Injectable Solution [Macoflex] Box of 10 by Maco,RxNorm Extension,iv_fluids
40708271,OMOP4749410,1000 ML Calcium Chloride 0.268 MG/ML / Lactate 3.1 MG/ML / Potassium Chloride 0.4 MG/ML / Sodium Chloride 6 MG/ML Injectable Solution [Macoflex] Box of 12,RxNorm Extension,iv_fluids
40708270,OMOP4749411,1000 ML Calcium Chloride 0.268 MG/ML / Lactate 3.1 MG/ML / Potassium Chloride 0.4 MG/ML / Sodium Chloride 6 MG/ML Injectable Solution [Macoflex] Box of 12 by Maco,RxNorm Extension,iv_fluids
40708274,OMOP4749407,1000 ML Calcium Chloride 0.268 MG/ML / Lactate 3.1 MG/ML / Potassium Chloride 0.4 MG/ML / Sodium Chloride 6 MG/ML Injectable Solution [Macoflex] Box of 1 by Maco,RxNorm Extension,iv_fluids
40708276,OMOP4749405,1000 ML Calcium Chloride 0.268 MG/ML / Lactate 3.1 MG/ML / Potassium Chloride 0.4 MG/ML / Sodium Chloride 6 MG/ML Injectable Solution [Macoflex] by Maco,RxNorm Extension,iv_fluids
40708281,OMOP4749400,1000 ML Calcium Chloride 0.268 MG/ML / Lactate 3.1 MG/ML / Potassium Chloride 0.4 MG/ML / Sodium Chloride 6 MG/ML Injectable Solution [Polyfusor H],RxNorm Extension,iv_fluids
40708279,OMOP4749402,1000 ML Calcium Chloride 0.268 MG/ML / Lactate 3.1 MG/ML / Potassium Chloride 0.4 MG/ML / Sodium Chloride 6 MG/ML Injectable Solution [Polyfusor H] Box of 1,RxNorm Extension,iv_fluids
40708278,OMOP4749403,1000 ML Calcium Chloride 0.268 MG/ML / Lactate 3.1 MG/ML / Potassium Chloride 0.4 MG/ML / Sodium Chloride 6 MG/ML Injectable Solution [Polyfusor H] Box of 1 by Fresenius,RxNorm Extension,iv_fluids
40708280,OMOP4749401,1000 ML Calcium Chloride 0.268 MG/ML / Lactate 3.1 MG/ML / Potassium Chloride 0.4 MG/ML / Sodium Chloride 6 MG/ML Injectable Solution [Polyfusor H] by Fresenius,RxNorm Extension,iv_fluids
40708263,OMOP4749418,1000 ML Calcium Chloride 0.268 MG/ML / Lactate 3.1 MG/ML / Potassium Chloride 0.4 MG/ML / Sodium Chloride 6 MG/ML Injectable Solution [RINGER LACTATE VIAFLO],RxNorm Extension,iv_fluids
40708261,OMOP4749420,1000 ML Calcium Chloride 0.268 MG/ML / Lactate 3.1 MG/ML / Potassium Chloride 0.4 MG/ML / Sodium Chloride 6 MG/ML Injectable Solution [RINGER LACTATE VIAFLO] Box of 1,RxNorm Extension,iv_fluids
40708259,OMOP4749422,1000 ML Calcium Chloride 0.268 MG/ML / Lactate 3.1 MG/ML / Potassium Chloride 0.4 MG/ML / Sodium Chloride 6 MG/ML Injectable Solution [RINGER LACTATE VIAFLO] Box of 10,RxNorm Extension,iv_fluids
40708258,OMOP4749423,1000 ML Calcium Chloride 0.268 MG/ML / Lactate 3.1 MG/ML / Potassium Chloride 0.4 MG/ML / Sodium Chloride 6 MG/ML Injectable Solution [RINGER LACTATE VIAFLO] Box of 10 by Baxter,RxNorm Extension,iv_fluids
40708260,OMOP4749421,1000 ML Calcium Chloride 0.268 MG/ML / Lactate 3.1 MG/ML / Potassium Chloride 0.4 MG/ML / Sodium Chloride 6 MG/ML Injectable Solution [RINGER LACTATE VIAFLO] Box of 1 by Baxter,RxNorm Extension,iv_fluids
40708262,OMOP4749419,1000 ML Calcium Chloride 0.268 MG/ML / Lactate 3.1 MG/ML / Potassium Chloride 0.4 MG/ML / Sodium Chloride 6 MG/ML Injectable Solution [RINGER LACTATE VIAFLO] by Baxter,RxNorm Extension,iv_fluids
40708287,OMOP4749394,1000 ML Calcium Chloride 0.268 MG/ML / Lactate 3.1 MG/ML / Potassium Chloride 0.4 MG/ML / Sodium Chloride 6 MG/ML Injectable Solution [Steriflex],RxNorm Extension,iv_fluids
40708285,OMOP4749396,1000 ML Calcium Chloride 0.268 MG/ML / Lactate 3.1 MG/ML / Potassium Chloride 0.4 MG/ML / Sodium Chloride 6 MG/ML Injectable Solution [Steriflex] Box of 1,RxNorm Extension,iv_fluids
40708283,OMOP4749398,1000 ML Calcium Chloride 0.268 MG/ML / Lactate 3.1 MG/ML / Potassium Chloride 0.4 MG/ML / Sodium Chloride 6 MG/ML Injectable Solution [Steriflex] Box of 10,RxNorm Extension,iv_fluids
40708282,OMOP4749399,1000 ML Calcium Chloride 0.268 MG/ML / Lactate 3.1 MG/ML / Potassium Chloride 0.4 MG/ML / Sodium Chloride 6 MG/ML Injectable Solution [Steriflex] Box of 10 by Fresenius,RxNorm Extension,iv_fluids
40708284,OMOP4749397,1000 ML Calcium Chloride 0.268 MG/ML / Lactate 3.1 MG/ML / Potassium Chloride 0.4 MG/ML / Sodium Chloride 6 MG/ML Injectable Solution [Steriflex] Box of 1 by Fresenius,RxNorm Extension,iv_fluids
40708286,OMOP4749395,1000 ML Calcium Chloride 0.268 MG/ML / Lactate 3.1 MG/ML / Potassium Chloride 0.4 MG/ML / Sodium Chloride 6 MG/ML Injectable Solution [Steriflex] by Fresenius,RxNorm Extension,iv_fluids
40708269,OMOP4749412,1000 ML Calcium Chloride 0.268 MG/ML / Lactate 3.1 MG/ML / Potassium Chloride 0.4 MG/ML / Sodium Chloride 6 MG/ML Injectable Solution [Viaflex],RxNorm Extension,iv_fluids
40708267,OMOP4749414,1000 ML Calcium Chloride 0.268 MG/ML / Lactate 3.1 MG/ML / Potassium Chloride 0.4 MG/ML / Sodium Chloride 6 MG/ML Injectable Solution [Viaflex] Box of 1,RxNorm Extension,iv_fluids
40708265,OMOP4749416,1000 ML Calcium Chloride 0.268 MG/ML / Lactate 3.1 MG/ML / Potassium Chloride 0.4 MG/ML / Sodium Chloride 6 MG/ML Injectable Solution [Viaflex] Box of 10,RxNorm Extension,iv_fluids
40708264,OMOP4749417,1000 ML Calcium Chloride 0.268 MG/ML / Lactate 3.1 MG/ML / Potassium Chloride 0.4 MG/ML / Sodium Chloride 6 MG/ML Injectable Solution [Viaflex] Box of 10 by Baxter,RxNorm Extension,iv_fluids
40708266,OMOP4749415,1000 ML Calcium Chloride 0.268 MG/ML / Lactate 3.1 MG/ML / Potassium Chloride 0.4 MG/ML / Sodium Chloride 6 MG/ML Injectable Solution [Viaflex] Box of 1 by Baxter,RxNorm Extension,iv_fluids
40708268,OMOP4749413,1000 ML Calcium Chloride 0.268 MG/ML / Lactate 3.1 MG/ML / Potassium Chloride 0.4 MG/ML / Sodium Chloride 6 MG/ML Injectable Solution [Viaflex] by Baxter,RxNorm Extension,iv_fluids
40708302,OMOP4749381,1000 ML Calcium Chloride 0.268 MG/ML / Lactate 3.1 MG/ML / Potassium Chloride 0.4 MG/ML / Sodium Chloride 6 MG/ML Injectable Solution [Viaflo Sodium lactate compound],RxNorm Extension,iv_fluids
40708300,OMOP4749383,1000 ML Calcium Chloride 0.268 MG/ML / Lactate 3.1 MG/ML / Potassium Chloride 0.4 MG/ML / Sodium Chloride 6 MG/ML Injectable Solution [Viaflo Sodium lactate compound] Box of 1,RxNorm Extension,iv_fluids
40708298,OMOP4749385,1000 ML Calcium Chloride 0.268 MG/ML / Lactate 3.1 MG/ML / Potassium Chloride 0.4 MG/ML / Sodium Chloride 6 MG/ML Injectable Solution [Viaflo Sodium lactate compound] Box of 10,RxNorm Extension,iv_fluids
40708297,OMOP4749386,1000 ML Calcium Chloride 0.268 MG/ML / Lactate 3.1 MG/ML / Potassium Chloride 0.4 MG/ML / Sodium Chloride 6 MG/ML Injectable Solution [Viaflo Sodium lactate compound] Box of 10 by Baxter,RxNorm Extension,iv_fluids
40708299,OMOP4749384,1000 ML Calcium Chloride 0.268 MG/ML / Lactate 3.1 MG/ML / Potassium Chloride 0.4 MG/ML / Sodium Chloride 6 MG/ML Injectable Solution [Viaflo Sodium lactate compound] Box of 1 by Baxter,RxNorm Extension,iv_fluids
40708301,OMOP4749382,1000 ML Calcium Chloride 0.268 MG/ML / Lactate 3.1 MG/ML / Potassium Chloride 0.4 MG/ML / Sodium Chloride 6 MG/ML Injectable Solution [Viaflo Sodium lactate compound] by Baxter,RxNorm Extension,iv_fluids
43831821,OMOP868495,1000 ML Calcium Chloride 0.26 MG/ML / Glucose 50 MG/ML / Lactate 6.28 MG/ML / Potassium Chloride 0.4 MG/ML / Sodium Chloride 6 MG/ML Injectable Solution,RxNorm Extension,iv_fluids
43687930,OMOP868500,1000 ML Calcium Chloride 0.26 MG/ML / Glucose 50 MG/ML / Lactate 6.28 MG/ML / Potassium Chloride 0.4 MG/ML / Sodium Chloride 6 MG/ML Injectable Solution by Antonius-Apotheke,RxNorm Extension,iv_fluids
43723736,OMOP868497,1000 ML Calcium Chloride 0.26 MG/ML / Glucose 50 MG/ML / Lactate 6.28 MG/ML / Potassium Chloride 0.4 MG/ML / Sodium Chloride 6 MG/ML Injectable Solution by Bfarm Bundesinstitut Fuer Und Medizinprodukte,RxNorm Extension,iv_fluids
43868067,OMOP868501,1000 ML Calcium Chloride 0.26 MG/ML / Glucose 50 MG/ML / Lactate 6.28 MG/ML / Potassium Chloride 0.4 MG/ML / Sodium Chloride 6 MG/ML Injectable Solution by Loewen-Apotheke,RxNorm Extension,iv_fluids
43597828,OMOP868499,1000 ML Calcium Chloride 0.26 MG/ML / Glucose 50 MG/ML / Lactate 6.28 MG/ML / Potassium Chloride 0.4 MG/ML / Sodium Chloride 6 MG/ML Injectable Solution by Mocho-Apotheke Thomas Pforr,RxNorm Extension,iv_fluids
43831822,OMOP868503,1000 ML Calcium Chloride 0.26 MG/ML / Glucose 50 MG/ML / Lactate 6.28 MG/ML / Potassium Chloride 0.4 MG/ML / Sodium Chloride 6 MG/ML Injectable Solution by Oberlaender-Apoheke,RxNorm Extension,iv_fluids
43741878,OMOP868498,1000 ML Calcium Chloride 0.26 MG/ML / Glucose 50 MG/ML / Lactate 6.28 MG/ML / Potassium Chloride 0.4 MG/ML / Sodium Chloride 6 MG/ML Injectable Solution by Pfingstweide-Apotheke Juergen Duerrwang,RxNorm Extension,iv_fluids
36897127,OMOP989728,1000 ML Calcium Chloride 0.26 MG/ML / Lactate 6.28 MG/ML / Potassium Chloride 0.4 MG/ML / Sodium Chloride 6 MG/ML Injectable Solution,RxNorm Extension,iv_fluids
43795687,OMOP868483,1000 ML Calcium Chloride 0.26 MG/ML / Lactate 6.28 MG/ML / Potassium Chloride 0.4 MG/ML / Sodium Chloride 6 MG/ML Injectable Solution by Demo,RxNorm Extension,iv_fluids
43795689,OMOP868488,1000 ML Calcium Chloride 0.26 MG/ML / Lactate 6.28 MG/ML / Potassium Chloride 0.4 MG/ML / Sodium Chloride 6 MG/ML Injectable Solution by Humboldt-Universitaet Berlin Universitaetsklinikum Rudolf,RxNorm Extension,iv_fluids
43723734,OMOP868487,1000 ML Calcium Chloride 0.26 MG/ML / Lactate 6.28 MG/ML / Potassium Chloride 0.4 MG/ML / Sodium Chloride 6 MG/ML Injectable Solution by Klemenz,RxNorm Extension,iv_fluids
43759689,OMOP868486,1000 ML Calcium Chloride 0.26 MG/ML / Lactate 6.28 MG/ML / Potassium Chloride 0.4 MG/ML / Sodium Chloride 6 MG/ML Injectable Solution by Klinikum Der Johann W.Goethe-Universitaet - Apotheke,RxNorm Extension,iv_fluids
43813802,OMOP868485,1000 ML Calcium Chloride 0.26 MG/ML / Lactate 6.28 MG/ML / Potassium Chloride 0.4 MG/ML / Sodium Chloride 6 MG/ML Injectable Solution by mv-Pharma,RxNorm Extension,iv_fluids
43687929,OMOP868481,1000 ML Calcium Chloride 0.26 MG/ML / Lactate 6.28 MG/ML / Potassium Chloride 0.4 MG/ML / Sodium Chloride 6 MG/ML Injectable Solution by Nycomed,RxNorm Extension,iv_fluids
43759688,OMOP868482,1000 ML Calcium Chloride 0.26 MG/ML / Lactate 6.28 MG/ML / Potassium Chloride 0.4 MG/ML / Sodium Chloride 6 MG/ML Injectable Solution by Staedtisches Klinikum - Apotheke,RxNorm Extension,iv_fluids
43795688,OMOP868484,1000 ML Calcium Chloride 0.26 MG/ML / Lactate 6.28 MG/ML / Potassium Chloride 0.4 MG/ML / Sodium Chloride 6 MG/ML Injectable Solution by Staedtisches Krankenhaus Muenchen-Schwabing - Apotheke,RxNorm Extension,iv_fluids
42918198,OMOP4645083,1000 ML Calcium Chloride 0.2 MG/ML / Glucose 50 MG/ML / Lactate 6.1 MG/ML / Potassium Chloride 0.3 MG/ML / Sodium Chloride 6 MG/ML Injectable Solution,RxNorm Extension,iv_fluids
2022916,OMOP4921418,1000 ML calcium chloride 0.2 MG/ML / glucose 50 MG/ML / lactate 6.1 MG/ML / potassium chloride 0.3 MG/ML / sodium chloride 6 MG/ML Injectable Solution [DAIHAN HARTMANN DEX],RxNorm Extension,iv_fluids
2022917,OMOP4921419,1000 ML calcium chloride 0.2 MG/ML / glucose 50 MG/ML / lactate 6.1 MG/ML / potassium chloride 0.3 MG/ML / sodium chloride 6 MG/ML Injectable Solution [DAIHAN HARTMANN DEX] by Daihan,RxNorm Extension,iv_fluids
42918200,OMOP4645085,1000 ML Calcium Chloride 0.2 MG/ML / Glucose 50 MG/ML / Lactate 6.1 MG/ML / Potassium Chloride 0.3 MG/ML / Sodium Chloride 6 MG/ML Injectable Solution [HARTMANN D CJ],RxNorm Extension,iv_fluids
2022918,OMOP4921420,1000 ML calcium chloride 0.2 MG/ML / glucose 50 MG/ML / lactate 6.1 MG/ML / potassium chloride 0.3 MG/ML / sodium chloride 6 MG/ML Injectable Solution [HARTMANN DEX],RxNorm Extension,iv_fluids
2022919,OMOP4921421,1000 ML calcium chloride 0.2 MG/ML / glucose 50 MG/ML / lactate 6.1 MG/ML / potassium chloride 0.3 MG/ML / sodium chloride 6 MG/ML Injectable Solution [HARTMANN DEX] by JW,RxNorm Extension,iv_fluids
42918201,OMOP4645086,1000 ML Calcium Chloride 0.2 MG/ML / Glucose 50 MG/ML / Lactate 6.1 MG/ML / Potassium Chloride 0.3 MG/ML / Sodium Chloride 6 MG/ML Injectable Solution [HARTMANNDEX DAIHAN],RxNorm Extension,iv_fluids
42918199,OMOP4645084,1000 ML Calcium Chloride 0.2 MG/ML / Glucose 50 MG/ML / Lactate 6.1 MG/ML / Potassium Chloride 0.3 MG/ML / Sodium Chloride 6 MG/ML Injectable Solution [HARTMANNS DEX],RxNorm Extension,iv_fluids
42918203,OMOP4645087,1000 ML Calcium Chloride 0.2 MG/ML / Lactate 3.1 MG/ML / Potassium Chloride 0.3 MG/ML / Sodium Chloride 6 MG/ML Injectable Solution,RxNorm Extension,iv_fluids
42918205,OMOP4645089,1000 ML Calcium Chloride 0.2 MG/ML / Lactate 3.1 MG/ML / Potassium Chloride 0.3 MG/ML / Sodium Chloride 6 MG/ML Injectable Solution [HARTMANN],RxNorm Extension,iv_fluids
2022865,OMOP4921355,1000 ML calcium chloride 0.2 MG/ML / lactate 3.1 MG/ML / potassium chloride 0.3 MG/ML / sodium chloride 6 MG/ML Injectable Solution [HARTMANN] by Daihan,RxNorm Extension,iv_fluids
2022866,OMOP4921356,1000 ML calcium chloride 0.2 MG/ML / lactate 3.1 MG/ML / potassium chloride 0.3 MG/ML / sodium chloride 6 MG/ML Injectable Solution [HARTMANN] by JW,RxNorm Extension,iv_fluids
42918204,OMOP4645088,1000 ML Calcium Chloride 0.2 MG/ML / Lactate 3.1 MG/ML / Potassium Chloride 0.3 MG/ML / Sodium Chloride 6 MG/ML Injectable Solution [HARTMANN CJ],RxNorm Extension,iv_fluids
42918206,OMOP4645090,1000 ML Calcium Chloride 0.2 MG/ML / Lactate 3.1 MG/ML / Potassium Chloride 0.3 MG/ML / Sodium Chloride 6 MG/ML Injectable Solution [HARTMANNS],RxNorm Extension,iv_fluids
36897171,OMOP997621,1000 ML Calcium Chloride 0.3 MG/ML / Lactate 6.1 MG/ML / Potassium Chloride 0.4 MG/ML / Sodium Chloride 6 MG/ML Injectable Solution,RxNorm Extension,iv_fluids
43679939,OMOP722692,1000 ML Calcium Chloride 0.3 MG/ML / Lactate 6.1 MG/ML / Potassium Chloride 0.4 MG/ML / Sodium Chloride 6 MG/ML Injectable Solution by Berlin-Chemie,RxNorm Extension,iv_fluids
43769660,OMOP722687,1000 ML Calcium Chloride 0.3 MG/ML / Lactate 6.1 MG/ML / Potassium Chloride 0.4 MG/ML / Sodium Chloride 6 MG/ML Injectable Solution by Bieffe Medital,RxNorm Extension,iv_fluids
43733748,OMOP722690,1000 ML Calcium Chloride 0.3 MG/ML / Lactate 6.1 MG/ML / Potassium Chloride 0.4 MG/ML / Sodium Chloride 6 MG/ML Injectable Solution by Clintec,RxNorm Extension,iv_fluids
43859982,OMOP722686,1000 ML Calcium Chloride 0.3 MG/ML / Lactate 6.1 MG/ML / Potassium Chloride 0.4 MG/ML / Sodium Chloride 6 MG/ML Injectable Solution by Deutsche Bundeswehr Kommando Sanitaetsdienst Der Bundeswehr,RxNorm Extension,iv_fluids
43661980,OMOP722689,1000 ML Calcium Chloride 0.3 MG/ML / Lactate 6.1 MG/ML / Potassium Chloride 0.4 MG/ML / Sodium Chloride 6 MG/ML Injectable Solution by Grifols,RxNorm Extension,iv_fluids
43643919,OMOP722693,1000 ML Calcium Chloride 0.3 MG/ML / Lactate 6.1 MG/ML / Potassium Chloride 0.4 MG/ML / Sodium Chloride 6 MG/ML Injectable Solution by Phi Hameln Infusionen,RxNorm Extension,iv_fluids
43625636,OMOP722691,1000 ML Calcium Chloride 0.3 MG/ML / Lactate 6.1 MG/ML / Potassium Chloride 0.4 MG/ML / Sodium Chloride 6 MG/ML Injectable Solution by Zentral-Apotheke,RxNorm Extension,iv_fluids
43643918,OMOP722679,1000 ML Calcium Chloride 0.3 MG/ML / Lactate 6.1 MG/ML / Potassium Chloride 0.4 MG/ML / Sodium Chloride 6 MG/ML Injectable Solution [Macoflex],RxNorm Extension,iv_fluids
43607708,OMOP722680,1000 ML Calcium Chloride 0.3 MG/ML / Lactate 6.1 MG/ML / Potassium Chloride 0.4 MG/ML / Sodium Chloride 6 MG/ML Injectable Solution [Macoflex] by Maco,RxNorm Extension,iv_fluids
43697824,OMOP722683,1000 ML Calcium Chloride 0.3 MG/ML / Lactate 6.1 MG/ML / Potassium Chloride 0.4 MG/ML / Sodium Chloride 6 MG/ML Injectable Solution [Ringer Alleman Pharma],RxNorm Extension,iv_fluids
43625635,OMOP722684,1000 ML Calcium Chloride 0.3 MG/ML / Lactate 6.1 MG/ML / Potassium Chloride 0.4 MG/ML / Sodium Chloride 6 MG/ML Injectable Solution [Ringer Alleman Pharma] by AlleMan,RxNorm Extension,iv_fluids
43733747,OMOP722681,1000 ML Calcium Chloride 0.3 MG/ML / Lactate 6.1 MG/ML / Potassium Chloride 0.4 MG/ML / Sodium Chloride 6 MG/ML Injectable Solution [Ringer-Lactat Koehler],RxNorm Extension,iv_fluids
