std_concept_id,std_concept_name,std_concept_code,std_vocabulary_id,ancestor_concept_id,ancestor_concept_name
4026158,Acute suppurative pancreatitis,197460005,SNOMED,192963,Disorder of pancreas
4026157,Acute recurrent pancreatitis,197458008,SNOMED,192963,Disorder of pancreas
4023588,Ectopic pancreas,19387007,SNOMED,192963,Disorder of pancreas
4019730,Injury to pancreas - open,210160008,SNOMED,192963,Disorder of pancreas
4019728,Closed injury of pancreas,210150004,SNOMED,192963,Disorder of pancreas
4019570,Hyperplasia of islet alpha cells with gastrin excess,1051005,SNOMED,192963,Disorder of pancreas
4008556,Pseudocyst of pancreas,111374002,SNOMED,192963,Disorder of pancreas
4005786,Anomalies of pancreas,204805004,SNOMED,192963,Disorder of pancreas
4003230,Functional hyperinsulinism,12002009,SNOMED,192963,Disorder of pancreas
4002480,Congenital pancreatic cyst,204808002,SNOMED,192963,Disorder of pancreas
3655588,Mixed ductal-neuroendocrine carcinoma of pancreas,866052009,SNOMED,192963,Disorder of pancreas
3655584,Mucinous cystic neoplasm with invasive carcinoma of pancreas,866048009,SNOMED,192963,Disorder of pancreas
3655413,Dehiscence of anastomosis of pancreatic duct,863915002,SNOMED,192963,Disorder of pancreas
3654680,Chronic infectious pancreatitis,838375006,SNOMED,192963,Disorder of pancreas
3654677,High grade flat intraepithelial neoplasia of ampulla of Vater,838372009,SNOMED,192963,Disorder of pancreas
3654267,Dermoid cyst of pancreas,830022001,SNOMED,192963,Disorder of pancreas
3198350,Poorly controlled type I diabetes with circulatory disorder,1.01E+16,Nebraska Lexicon,192963,Disorder of pancreas
3196797,Poorly controlled type I diabetes with complication,1.011E+16,Nebraska Lexicon,192963,Disorder of pancreas
3194332,Poorly controlled type II diabetes with renal complications,1.016E+16,Nebraska Lexicon,192963,Disorder of pancreas
3194082,Poorly controlled type II diabetes with complications,1.015E+16,Nebraska Lexicon,192963,Disorder of pancreas
3192955,Poorly controlled type I diabetes with neuropathy,1.013E+16,Nebraska Lexicon,192963,Disorder of pancreas
3192767,Poorly controlled type II diabetes with circulatory disease,1.014E+16,Nebraska Lexicon,192963,Disorder of pancreas
3192052,Poorly controlled type I diabetes with renal complication,1.012E+16,Nebraska Lexicon,192963,Disorder of pancreas
3191208,Poorly controlled type II diabetes with neuropathy,1.017E+16,Nebraska Lexicon,192963,Disorder of pancreas
3189534,Lymphoma of pancreas,1.543E+16,Nebraska Lexicon,192963,Disorder of pancreas
3186396,Nesidioblastoma,1.073E+16,Nebraska Lexicon,192963,Disorder of pancreas
3181428,Laceration of pancreatic tail,8.59E+15,Nebraska Lexicon,192963,Disorder of pancreas
3181416,Pancreatic malignant Vipoma,5.72E+15,Nebraska Lexicon,192963,Disorder of pancreas
3179902,Occluded pancreatic stent,2.534E+16,Nebraska Lexicon,192963,Disorder of pancreas
3178281,Diabetes mellitus complicating Cystic fibrosis,2.35E+15,Nebraska Lexicon,192963,Disorder of pancreas
3172662,Pancreatic cancer secreting somatostatin,6.01E+15,Nebraska Lexicon,192963,Disorder of pancreas
3171520,Peripancreatic fluid collection,2.951E+16,Nebraska Lexicon,192963,Disorder of pancreas
3168883,Pancreatic enlargement,9.87E+15,Nebraska Lexicon,192963,Disorder of pancreas
1553573,"Post-transplant lymphoproliferative disorder, NOS, of tail of pancreas",9971/1-C25.2,ICDO3,192963,Disorder of pancreas
1553549,"Post-transplant lymphoproliferative disorder, NOS, of other specified parts of pancreas",9971/1-C25.7,ICDO3,192963,Disorder of pancreas
1553547,"Post-transplant lymphoproliferative disorder, NOS, of ampulla of Vater",9971/1-C24.1,ICDO3,192963,Disorder of pancreas
1553541,Ewing sarcoma of tail of pancreas,9364/3-C25.2,ICDO3,192963,Disorder of pancreas
1553535,"Cholangiocarcinoma of pancreas, NOS",8160/3-C25.9,ICDO3,192963,Disorder of pancreas
1553359,Pancreatobiliary type carcinoma of head of pancreas,8163/3-C25.0,ICDO3,192963,Disorder of pancreas
1553353,"Pancreatobiliary type carcinoma of pancreas, NOS",8163/3-C25.9,ICDO3,192963,Disorder of pancreas
1553335,Ewing sarcoma of overlapping lesion of pancreas,9364/3-C25.8,ICDO3,192963,Disorder of pancreas
1553319,Ewing sarcoma of islets of Langerhans,9364/3-C25.4,ICDO3,192963,Disorder of pancreas
1553308,Ewing sarcoma of pancreatic duct,9364/3-C25.3,ICDO3,192963,Disorder of pancreas
1553287,"Post-transplant lymphoproliferative disorder, NOS, of islets of Langerhans",9971/1-C25.4,ICDO3,192963,Disorder of pancreas
1553269,"Post-transplant lymphoproliferative disorder, NOS, of head of pancreas",9971/1-C25.0,ICDO3,192963,Disorder of pancreas
1553231,"Adenocarcinoma, intestinal type of pancreas, NOS",8144/3-C25.9,ICDO3,192963,Disorder of pancreas
1553218,Ewing sarcoma of head of pancreas,9364/3-C25.0,ICDO3,192963,Disorder of pancreas
1553175,"Post-transplant lymphoproliferative disorder, NOS, of pancreas, NOS",9971/1-C25.9,ICDO3,192963,Disorder of pancreas
1553167,"Post-transplant lymphoproliferative disorder, NOS, of body of pancreas",9971/1-C25.1,ICDO3,192963,Disorder of pancreas
1553092,Ewing sarcoma of body of pancreas,9364/3-C25.1,ICDO3,192963,Disorder of pancreas
1553081,Mucinous cystic tumor of borderline malignancy of head of pancreas,8472/1-C25.0,ICDO3,192963,Disorder of pancreas
1553060,"Post-transplant lymphoproliferative disorder, NOS, of overlapping lesion of pancreas",9971/1-C25.8,ICDO3,192963,Disorder of pancreas
1553051,Ewing sarcoma of other specified parts of pancreas,9364/3-C25.7,ICDO3,192963,Disorder of pancreas
1553045,"Post-transplant lymphoproliferative disorder, NOS, of pancreatic duct",9971/1-C25.3,ICDO3,192963,Disorder of pancreas
1552991,"Pleomorphic liposarcoma of pancreas, NOS",8854/3-C25.9,ICDO3,192963,Disorder of pancreas
765387,Malignant carcinoid tumor of pancreas,1.43401E+14,SNOMED,192963,Disorder of pancreas
764972,Malignant melanoma metastatic to pancreas,9.7051E+13,SNOMED,192963,Disorder of pancreas
763030,Calculus of common bile duct with acute pancreatitis,4.35211E+14,SNOMED,192963,Disorder of pancreas
730574,"Intraductal papilloma of pancreas, NOS",8503/0-C25.9,ICDO3,192963,Disorder of pancreas
443937,Injury of tail of pancreas without open wound into abdominal cavity,47533003,SNOMED,192963,Disorder of pancreas
443078,Injury of head of pancreas with open wound into abdominal cavity,210155009,SNOMED,192963,Disorder of pancreas
442746,Injury of body of pancreas without open wound into abdominal cavity,67447005,SNOMED,192963,Disorder of pancreas
441225,Primary malignant neoplasm of ampulla of Vater,371967001,SNOMED,192963,Disorder of pancreas
441067,Spasm of sphincter of Oddi,28132005,SNOMED,192963,Disorder of pancreas
440649,Primary malignant neoplasm of head of pancreas,372119009,SNOMED,192963,Disorder of pancreas
440063,"Benign neoplasm of pancreas, excluding islets of Langerhans",188848002,SNOMED,192963,Disorder of pancreas
434293,Primary malignant neoplasm of body of pancreas,93715005,SNOMED,192963,Disorder of pancreas
433423,Primary malignant neoplasm of pancreatic duct,93939009,SNOMED,192963,Disorder of pancreas
433350,Injury of head of pancreas without open wound into cavity,58565006,SNOMED,192963,Disorder of pancreas
432843,Primary malignant neoplasm of tail of pancreas,94082003,SNOMED,192963,Disorder of pancreas
201837,Abnormality of secretion of glucagon,11178005,SNOMED,192963,Disorder of pancreas
200252,Injury of tail of pancreas with open wound into abdominal cavity,210157001,SNOMED,192963,Disorder of pancreas
200146,Pancreatic steatorrhea,54576000,SNOMED,192963,Disorder of pancreas
199754,Primary malignant neoplasm of pancreas,372003004,SNOMED,192963,Disorder of pancreas
199074,Acute pancreatitis,197456007,SNOMED,192963,Disorder of pancreas
196845,Injury of multiple sites of pancreas without open wound into abdominal cavity,20474007,SNOMED,192963,Disorder of pancreas
196628,Mumps pancreatitis,10665004,SNOMED,192963,Disorder of pancreas
195596,Chronic pancreatitis,235494005,SNOMED,192963,Disorder of pancreas
193983,Disorder of pancreatic internal secretion,111560008,SNOMED,192963,Disorder of pancreas
193897,Injury of multiple sites of pancreas with open wound into abdominal cavity,25420003,SNOMED,192963,Disorder of pancreas
193722,Benign tumor of endocrine pancreas,254614001,SNOMED,192963,Disorder of pancreas
193354,Pancreas body injury with open wound into cavity,210156005,SNOMED,192963,Disorder of pancreas
192963,Disorder of pancreas,3855007,SNOMED,192963,Disorder of pancreas
192591,Post-surgical hypoinsulinemia,190437000,SNOMED,192963,Disorder of pancreas
192360,Cyst and pseudocyst of pancreas,197464001,SNOMED,192963,Disorder of pancreas
192261,Overlapping malignant neoplasm of pancreas,109848009,SNOMED,192963,Disorder of pancreas
25698,Complication of transplanted pancreas,79369007,SNOMED,192963,Disorder of pancreas
25486,Primary malignant neoplasm of islets of Langerhans,93843007,SNOMED,192963,Disorder of pancreas
36518571,"Squamous cell carcinoma, microinvasive of pancreatic duct",8076/3-C25.3,ICDO3,192963,Disorder of pancreas
36518564,Myosarcoma of other specified parts of pancreas,8895/3-C25.7,ICDO3,192963,Disorder of pancreas
36518538,"Hodgkin lymphoma, lymphocyte depletion, diffuse fibrosis of other specified parts of pancreas",9654/3-C25.7,ICDO3,192963,Disorder of pancreas
36518464,"Epithelial-myoepithelial carcinoma of pancreas, NOS",8562/3-C25.9,ICDO3,192963,Disorder of pancreas
36518443,Noninfiltrating intraductal papillary adenocarcinoma of head of pancreas,8503/2-C25.0,ICDO3,192963,Disorder of pancreas
36518410,"Hodgkin lymphoma, nodular sclerosis, grade 1 of overlapping lesion of pancreas",9665/3-C25.8,ICDO3,192963,Disorder of pancreas
36518337,"NK/T-cell lymphoma, nasal and nasal type of other specified parts of pancreas",9719/3-C25.7,ICDO3,192963,Disorder of pancreas
36518326,"Malignant lymphoma, non-Hodgkin, NOS, of pancreatic duct",9591/3-C25.3,ICDO3,192963,Disorder of pancreas
36518298,Adenocarcinoma with squamous metaplasia of body of pancreas,8570/3-C25.1,ICDO3,192963,Disorder of pancreas
36518240,Adenocarcinoma in situ in tubulovillous adenoma of body of pancreas,8263/2-C25.1,ICDO3,192963,Disorder of pancreas
36518211,"Small cell carcinoma, NOS, of ampulla of Vater",8041/3-C24.1,ICDO3,192963,Disorder of pancreas
36518134,"Adenocarcinoma in situ, NOS, of pancreatic duct",8140/2-C25.3,ICDO3,192963,Disorder of pancreas
36518105,"Burkitt lymphoma, NOS, of tail of pancreas",9687/3-C25.2,ICDO3,192963,Disorder of pancreas
36518101,Adenocarcinoma with apocrine metaplasia of ampulla of Vater,8573/3-C24.1,ICDO3,192963,Disorder of pancreas
36518066,Pancreatic neuroendocrine microadenoma of overlapping lesion of pancreas,8150/0-C25.8,ICDO3,192963,Disorder of pancreas
36518020,Intraductal papillary mucinous adenoma of pancreatic duct,8453/0-C25.3,ICDO3,192963,Disorder of pancreas
36517963,"Follicular lymphoma, grade 2 of pancreas, NOS",9691/3-C25.9,ICDO3,192963,Disorder of pancreas
36517949,Basal cell adenocarcinoma of pancreatic duct,8147/3-C25.3,ICDO3,192963,Disorder of pancreas
36517883,Adenocarcinoma with cartilaginous and osseous metaplasia of islets of Langerhans,8571/3-C25.4,ICDO3,192963,Disorder of pancreas
36517744,Angiomyosarcoma of other specified parts of pancreas,8894/3-C25.7,ICDO3,192963,Disorder of pancreas
36517742,"Plasmacytoma, NOS, of islets of Langerhans",9731/3-C25.4,ICDO3,192963,Disorder of pancreas
36517724,"Squamous cell carcinoma in situ, NOS, of pancreas, NOS",8070/2-C25.9,ICDO3,192963,Disorder of pancreas
36517680,Mantle cell lymphoma of overlapping lesion of pancreas,9673/3-C25.8,ICDO3,192963,Disorder of pancreas
36517631,Mucinous adenocarcinoma of overlapping lesion of pancreas,8480/3-C25.8,ICDO3,192963,Disorder of pancreas
36517630,Adenocarcinoma in situ in adenomatous polyp of pancreatic duct,8210/2-C25.3,ICDO3,192963,Disorder of pancreas
36517518,Precursor T-cell lymphoblastic leukemia of other specified parts of pancreas,9837/3-C25.7,ICDO3,192963,Disorder of pancreas
36517463,"Squamous cell carcinoma, small cell, nonkeratinizing of ampulla of Vater",8073/3-C24.1,ICDO3,192963,Disorder of pancreas
36517401,Adenocarcinoma in situ in adenomatous polyp of head of pancreas,8210/2-C25.0,ICDO3,192963,Disorder of pancreas
36517399,"Follicular lymphoma, grade 3 of islets of Langerhans",9698/3-C25.4,ICDO3,192963,Disorder of pancreas
36517385,Histiocytic sarcoma of pancreatic duct,9755/3-C25.3,ICDO3,192963,Disorder of pancreas
36517376,"Follicular lymphoma, grade 3 of other specified parts of pancreas",9698/3-C25.7,ICDO3,192963,Disorder of pancreas
36517352,Follicular dendritic cell sarcoma of ampulla of Vater,9758/3-C24.1,ICDO3,192963,Disorder of pancreas
36517351,Pseudosarcomatous carcinoma of ampulla of Vater,8033/3-C24.1,ICDO3,192963,Disorder of pancreas
36517321,"Infiltrating duct carcinoma, NOS, of overlapping lesion of pancreas",8500/3-C25.8,ICDO3,192963,Disorder of pancreas
36517313,T-cell large granular lymphocytic leukemia of other specified parts of pancreas,9831/3-C25.7,ICDO3,192963,Disorder of pancreas
36517301,"Small cell carcinoma, NOS, of pancreatic duct",8041/3-C25.3,ICDO3,192963,Disorder of pancreas
36517285,"Hodgkin lymphoma, NOS, of overlapping lesion of pancreas",9650/3-C25.8,ICDO3,192963,Disorder of pancreas
36517216,"Enteroglucagonoma, malignant of overlapping lesion of pancreas",8157/3-C25.8,ICDO3,192963,Disorder of pancreas
36517206,Undifferentiated sarcoma of other specified parts of pancreas,8805/3-C25.7,ICDO3,192963,Disorder of pancreas
36517192,"Squamous cell carcinoma, adenoid of body of pancreas",8075/3-C25.1,ICDO3,192963,Disorder of pancreas
36517168,"Comedocarcinoma, NOS, of islets of Langerhans",8501/3-C25.4,ICDO3,192963,Disorder of pancreas
36517154,"Intraductal carcinoma, noninfiltrating, NOS, of ampulla of Vater",8500/2-C24.1,ICDO3,192963,Disorder of pancreas
36403103,"Papillary mucinous cystadenoma, in situ of pancreatic duct",8473/2-C25.3,ICDO3,192963,Disorder of pancreas
36403058,"Adenocarcinoma in situ, intestinal type (C16._) of head of pancreas",8144/2-C25.0,ICDO3,192963,Disorder of pancreas
36403005,Invasive micropapillary carcinoma of breast of head of pancreas,8507/3-C25.0,ICDO3,192963,Disorder of pancreas
36402688,Mixed neuroendocrine non-neuroendocrine neoplasm (MiNEN) of other specified parts of pancreas,8154/3-C25.7,ICDO3,192963,Disorder of pancreas
36402631,Mixed neuroendocrine non-neuroendocrine neoplasm (MiNEN) of islets of Langerhans,8154/3-C25.4,ICDO3,192963,Disorder of pancreas
36402568,Mixed neuroendocrine non-neuroendocrine neoplasm (MiNEN) of head of pancreas,8154/3-C25.0,ICDO3,192963,Disorder of pancreas
36402526,Mixed neuroendocrine non-neuroendocrine neoplasm (MiNEN) of overlapping lesion of pancreas,8154/3-C25.8,ICDO3,192963,Disorder of pancreas
36402508,Mixed neuroendocrine non-neuroendocrine neoplasm (MiNEN) of body of pancreas,8154/3-C25.1,ICDO3,192963,Disorder of pancreas
36402494,Mixed neuroendocrine non-neuroendocrine neoplasm (MiNEN) of tail of pancreas,8154/3-C25.2,ICDO3,192963,Disorder of pancreas
36402481,"Mixed neuroendocrine non-neuroendocrine neoplasm (MiNEN) of pancreas, NOS",8154/3-C25.9,ICDO3,192963,Disorder of pancreas
36402372,Mixed neuroendocrine non-neuroendocrine neoplasm (MiNEN) of pancreatic duct,8154/3-C25.3,ICDO3,192963,Disorder of pancreas
35624505,Chronic pancreatitis due to acute alcohol intoxication,767291004,SNOMED,192963,Disorder of pancreas
35624284,Complete obstruction of pancreatic duct,766944008,SNOMED,192963,Disorder of pancreas
35622407,Renal hepatic pancreatic dysplasia,763891005,SNOMED,192963,Disorder of pancreas
4342875,Congenital malformation of pancreas,235977001,SNOMED,192963,Disorder of pancreas
4342874,Pancreatic duct obstruction,235973002,SNOMED,192963,Disorder of pancreas
4342872,Pancreatic duct disorder,235969000,SNOMED,192963,Disorder of pancreas
4342871,Benign cystic tumor of exocrine pancreas,235968008,SNOMED,192963,Disorder of pancreas
4342870,Cystadenoma of pancreas,235967003,SNOMED,192963,Disorder of pancreas
4342868,Polycystic disease of pancreas,235961002,SNOMED,192963,Disorder of pancreas
4342867,Pancreatic collection,235957008,SNOMED,192963,Disorder of pancreas
4342866,Obstructive chronic pancreatitis,235954001,SNOMED,192963,Disorder of pancreas
4342865,Familial acute pancreatitis,235949005,SNOMED,192963,Disorder of pancreas
4341772,Pancreatic anastomotic leak,235980000,SNOMED,192963,Disorder of pancreas
4341771,Disorder of pancreatic duct anastomosis,235979003,SNOMED,192963,Disorder of pancreas
4341770,Cystic fibrosis of pancreas,235978006,SNOMED,192963,Disorder of pancreas
4341769,Pancreatic duct calculus,235974008,SNOMED,192963,Disorder of pancreas
4341768,Pancreatic duct leakage,235971000,SNOMED,192963,Disorder of pancreas
4341766,Retention pancreatic cyst,235962009,SNOMED,192963,Disorder of pancreas
4341765,Viral acute pancreatitis,235946003,SNOMED,192963,Disorder of pancreas
4341764,Acute pancreatitis due to infection,235945004,SNOMED,192963,Disorder of pancreas
4341763,Gallstone acute pancreatitis,235941008,SNOMED,192963,Disorder of pancreas
4341628,Postprocedural pancreatic steatorrhea,235733002,SNOMED,192963,Disorder of pancreas
4341080,Pancreatic duct anastomotic stricture,235982008,SNOMED,192963,Disorder of pancreas
4341076,Pancreatic and peripancreatic necrosis,235959006,SNOMED,192963,Disorder of pancreas
4341075,Acute pancreatic fluid collection,235958003,SNOMED,192963,Disorder of pancreas
4341074,Familial chronic pancreatitis,235956004,SNOMED,192963,Disorder of pancreas
4341073,Drug-induced chronic pancreatitis,235955000,SNOMED,192963,Disorder of pancreas
4340964,Alcohol-induced chronic pancreatitis,235952002,SNOMED,192963,Disorder of pancreas
4340963,Gallstone chronic pancreatitis,235951009,SNOMED,192963,Disorder of pancreas
4340962,Cytomegaloviral pancreatitis,235947007,SNOMED,192963,Disorder of pancreas
4340961,Drug-induced acute pancreatitis,235944000,SNOMED,192963,Disorder of pancreas
4340960,Idiopathic acute pancreatitis,235943006,SNOMED,192963,Disorder of pancreas
4340777,Late dumping syndrome,235667000,SNOMED,192963,Disorder of pancreas
4340500,Familial hypertrophy of sphincter of Oddi,235976005,SNOMED,192963,Disorder of pancreas
4340499,Pancreatic duct stricture,235972007,SNOMED,192963,Disorder of pancreas
4340498,Cystadenocarcinoma of pancreas,235966007,SNOMED,192963,Disorder of pancreas
4340497,Infected pancreatic necrosis,235960001,SNOMED,192963,Disorder of pancreas
4340496,Idiopathic chronic pancreatitis,235953007,SNOMED,192963,Disorder of pancreas
4340495,Traumatic acute pancreatitis,235950005,SNOMED,192963,Disorder of pancreas
4340494,Postoperative acute pancreatitis,235948002,SNOMED,192963,Disorder of pancreas
4340493,Alcohol-induced acute pancreatitis,235942001,SNOMED,192963,Disorder of pancreas
4339528,Atrophy of pancreas,88281007,SNOMED,192963,Disorder of pancreas
4337316,Painless pancreatitis,233005009,SNOMED,192963,Disorder of pancreas
4336844,Hyperplasia of islet alpha cells with glucagon excess,87181002,SNOMED,192963,Disorder of pancreas
4333225,Rejection of pancreas transplant,431506006,SNOMED,192963,Disorder of pancreas
4330087,Dysfunction of sphincter of Oddi,430887001,SNOMED,192963,Disorder of pancreas
4319446,Gallstone pancreatitis,95563007,SNOMED,192963,Disorder of pancreas
4319445,Hemorrhage of pancreas,95562002,SNOMED,192963,Disorder of pancreas
4318543,Pancreatemphraxis,95564001,SNOMED,192963,Disorder of pancreas
4316493,Neoplasm of uncertain behavior of head of pancreas,94863006,SNOMED,192963,Disorder of pancreas
4315950,Neoplasm of uncertain behavior of tail of pancreas,95122005,SNOMED,192963,Disorder of pancreas
4315550,Secondary malignant neoplasm of pancreatic duct,94460001,SNOMED,192963,Disorder of pancreas
4315535,Neoplasm of uncertain behavior of pancreas,94978003,SNOMED,192963,Disorder of pancreas
4314627,Neoplasm of uncertain behavior of body of pancreas,94756003,SNOMED,192963,Disorder of pancreas
4313654,Neoplasm of uncertain behavior of pancreatic duct,94979006,SNOMED,192963,Disorder of pancreas
4313513,Neoplasm of uncertain behavior of islets of Langerhans,94883007,SNOMED,192963,Disorder of pancreas
4313355,Neoplasm of uncertain behavior of ampulla of Vater,94733007,SNOMED,192963,Disorder of pancreas
4312017,Secondary malignant neoplasm of head of pancreas,94325008,SNOMED,192963,Disorder of pancreas
4311634,Secondary malignant neoplasm of ampulla of Vater,94164003,SNOMED,192963,Disorder of pancreas
4311347,Secondary malignant neoplasm of tail of pancreas,94618007,SNOMED,192963,Disorder of pancreas
4309439,Infectious pancreatitis,39205007,SNOMED,192963,Disorder of pancreas
4307509,Hyperinsulinism,83469008,SNOMED,192963,Disorder of pancreas
4306927,Congenital absence of pancreas,82949000,SNOMED,192963,Disorder of pancreas
4305324,Pancreatic alpha-amylase deficiency,81685000,SNOMED,192963,Disorder of pancreas
4303234,Acute necrotizing pancreatitis,7881005,SNOMED,192963,Disorder of pancreas
4302604,Pancreatic triacylglycerol lipase deficiency,78960005,SNOMED,192963,Disorder of pancreas
4294771,Ectopic hyperinsulinism,37703005,SNOMED,192963,Disorder of pancreas
4290254,Pancreatic colipase deficiency,69478001,SNOMED,192963,Disorder of pancreas
4288876,Abscess of pancreas,69643006,SNOMED,192963,Disorder of pancreas
4288476,Congenital hypoplasia of pancreas,68591005,SNOMED,192963,Disorder of pancreas
4284822,Ectopic pancreas in duodenum,6724001,SNOMED,192963,Disorder of pancreas
4278841,Hyperplasia of pancreatic islet beta cell,66149005,SNOMED,192963,Disorder of pancreas
4268175,Leucine-induced hypoglycemia,62151007,SNOMED,192963,Disorder of pancreas
4268004,Injury of pancreas,61823004,SNOMED,192963,Disorder of pancreas
4267268,Glucagon deficiency,61998001,SNOMED,192963,Disorder of pancreas
4266211,Baggenstoss change of pancreas,61221008,SNOMED,192963,Disorder of pancreas
4262937,Interstitial pancreatitis,44636008,SNOMED,192963,Disorder of pancreas
4260663,Bard-Pic syndrome,45019006,SNOMED,192963,Disorder of pancreas
4252384,Insulin autoimmune syndrome,408539000,SNOMED,192963,Disorder of pancreas
4248192,Secondary malignant neoplasm of pancreas,94459006,SNOMED,192963,Disorder of pancreas
4248063,Secondary malignant neoplasm of islets of Langerhans,94354002,SNOMED,192963,Disorder of pancreas
4246368,Secondary malignant neoplasm of body of pancreas,94212002,SNOMED,192963,Disorder of pancreas
4245553,Carcinoma in situ of pancreas,92672004,SNOMED,192963,Disorder of pancreas
4244497,Carcinoma in situ of islets of Langerhans,92619003,SNOMED,192963,Disorder of pancreas
4243788,Aseptic necrosis of pancreas,38079004,SNOMED,192963,Disorder of pancreas
4243784,Pancreatic insufficiency,37992001,SNOMED,192963,Disorder of pancreas
4243739,Carcinoma in situ of ampulla of Vater,92530007,SNOMED,192963,Disorder of pancreas
4243563,Benign neoplasm of pancreatic duct,92265008,SNOMED,192963,Disorder of pancreas
4243504,Subacute pancreatitis,59154002,SNOMED,192963,Disorder of pancreas
4243445,Benign neoplasm of pancreas,92264007,SNOMED,192963,Disorder of pancreas
4243125,Carcinoma in situ of head of pancreas,92607006,SNOMED,192963,Disorder of pancreas
4242678,Carcinoma in situ of body of pancreas,92547008,SNOMED,192963,Disorder of pancreas
