label,ct
Gastrointestinal and biliary perforation,14
Gastrointestinal cancers - all other types,11
Gastrointestinal cancers - anus,5
Gastrointestinal cancers - bile duct,1
Gastrointestinal cancers - colorectal,19
Gastrointestinal cancers - esophagus,7
Gastrointestinal cancers - gallbladder,1
Gastrointestinal cancers - liver,8
Gastrointestinal cancers - peritoneum,3
Gastrointestinal cancers - small intestine,8
Gastrointestinal cancers - stomach,11
Gastrointestinal hemorrhage,20
General sensation/perception signs and symptoms,7
Genitourinary congenital anomalies,159
Genitourinary signs and symptoms,50
Gestational weeks,38
Glaucoma,274
Gout,291
Hallucinogen-related disorders,25
Headache; including migraine,78
Head and neck cancers - all other types,10
Head and neck cancers - eye,30
Head and neck cancers - hypopharyngeal,6
Head and neck cancers - laryngeal,7
Head and neck cancers - lip and oral cavity,43
Head and neck cancers - nasopharyngeal,6
Head and neck cancers - pharyngeal,3
Head and neck cancers - salivary gland,4
Head and neck cancers - throat,7
Head and neck cancers - tonsils,4
Hearing loss,47
Heart failure,31
Hematuria,6
Hemolytic anemia,28
Hemolytic jaundice and perinatal jaundice,24
Hemorrhage after first trimester,38
Hemorrhagic and hematologic disorders of newborn,41
Hemorrhoids,13
Hepatic failure,9
Hepatitis,37
HIV infection,9
Hodgkin lymphoma,70
Hyperplasia of prostate,4
Hypertension and hypertensive-related conditions complicating pregnancy; childbirth; and the puerperium,26
Hypertension with complications and secondary hypertension,57
Hypotension,11
Immune-mediated/reactive arthropathies,97
Immunity disorders,68
"Implant, device or graft related encounter",122
Induced abortion and complications of termination of pregnancy,24
Infective arthritis,24
Inflammatory conditions of male genital organs,32
Inflammatory diseases of female pelvic organs,61
Influenza,9
Inhalant-related disorders,24
"Injury, sequelae",7531
"Injury to blood vessels, initial encounter",571
"Injury to blood vessels, subsequent encounter",571
"Injury to nerves, muscles and tendons, initial encounter",755
"Injury to nerves, muscles and tendons, subsequent encounter",755
"Internal organ injury, initial encounter",263
"Internal organ injury, subsequent encounter",263
Intestinal infection,58
Intestinal obstruction and ileus,24
Juvenile arthritis,121
Leukemia - acute lymphoblastic leukemia (ALL),3
Leukemia - acute myeloid leukemia (AML),24
Leukemia - all other types,52
Leukemia - chronic lymphocytic leukemia (CLL),3
Leukemia - chronic myeloid leukemia (CML),9
Leukemia - hairy cell,3
Lifestyle/life management factors,27
Liveborn,18
Lung disease due to external agents,38
Malaise and fatigue,4
Male infertility,16
Male reproductive system cancers - all other types,13
Male reproductive system cancers - penis,6
Male reproductive system cancers - prostate,2
Male reproductive system cancers - testis,9
"Malignant neoplasm, unspecified",4
Malignant neuroendocrine tumors,31
Malnutrition,14
"Malposition, disproportion or other labor complications",259
Maltreatment/abuse,26
"Maltreatment/abuse, subsequent encounter",29
Maternal care for abnormality of pelvic organs,48
Maternal care related to disorders of the placenta and placental implantation,60
Maternal care related to fetal conditions,420
Maternal intrauterine infection,84
Maternal outcome of delivery,19
Mediastinal disorders,4
Medical examination/evaluation,34
Meningitis,5
Menopausal disorders,7
Menstrual disorders,16
Mental and substance use disorders in remission,31
Mesothelioma,5
Miscellaneous mental and behavioral disorders/conditions,56
Molar pregnancy and other abnormal products of conception,8
Multiple gestation,228
Multiple myeloma,12
Multiple sclerosis,1
Muscle disorders,391
Musculoskeletal congenital conditions,222
Musculoskeletal pain,89
Myelodysplastic syndrome (MDS),11
Myocarditis and cardiomyopathy,30
Myopathies,29
Nausea and vomiting,7
Neonatal abstinence syndrome,13
Neonatal acidemia and hypoxia,5
Neonatal cerebral disorders,16
Neonatal digestive and feeding disorders,29
Neoplasm-related encounters,23
Neoplasms of unspecified nature or uncertain behavior,110
Nephritis; nephrosis; renal sclerosis,96
Nerve and nerve root disorders,107
Nervous system cancers - all other types,27
Nervous system cancers - brain,13
Nervous system congenital anomalies,50
Nervous system pain and pain syndromes,20
Nervous system signs and symptoms,155
Neurocognitive disorders,19
Neurodevelopmental disorders,42
Neurogenic/neuropathic arthropathy,25
Neuro-ophthalmology,129
Newborn affected by maternal conditions or complications of labor/delivery,60
No immunization or underimmunization,15
Non-Hodgkin lymphoma,302
Noninfectious gastroenteritis,15
Noninfectious hepatitis,15
Nonmalignant breast conditions,80
Non-pressue ulcer of skin,168
Nonrheumatic and unspecified valve disorders,23
Nonspecific chest pain,3
Nutritional anemia,19
Nutritional deficiencies,44
Obesity,28
OB-related trauma to perineum and vulva,11
Obsessive-compulsive and related disorders,8
Obstetric history affecting care in pregnancy,8
Occlusion or stenosis of precerebral or cerebral arteries without infarction,26
Oculofacial plastics and orbital conditions,329
"Open wounds of head and neck, initial encounter",155
"Open wounds of head and neck, subsequent encounter",155
"Open wounds of trunk, initial encounter",246
"Open wounds of trunk, subsequent encounter",246
"Open wounds to limbs, initial encounter",456
"Open wounds to limbs, subsequent encounter",456
Opioid-related disorders,32
Organ transplant status,15
Osteoarthritis,95
Osteomyelitis,188
Osteoporosis,49
Other aftercare encounter,48
Other and ill-defined cerebrovascular disease,29
Other and ill-defined heart disease,35
Other general signs and symptoms,53
Other specified and unspecified circulatory disease,29
Other specified and unspecified congenital anomalies,65
Other specified and unspecified diseases of bladder and urethra,64
Other specified and unspecified diseases of kidney and ureters,36
Other specified and unspecified disorders of stomach and duodenum,13
Other specified and unspecified disorders of the ear,210
Other specified and unspecified endocrine disorders,85
Other specified and unspecified gastrointestinal disorders,47
Other specified and unspecified hematologic conditions,20
Other specified and unspecified liver disease,43
Other specified and unspecified lower respiratory disease,36
Other specified and unspecified mood disorders,7
Other specified and unspecified nutritional and metabolic disorders,228
Other specified and unspecified perinatal conditions,86
Other specified and unspecified skin disorders,132
Other specified and unspecified upper respiratory disease,36
Other specified bone disease and musculoskeletal deformities,657
Other specified chronic arthropathy,28
Other specified CNS infection and poliomyelitis,1
Other specified complications in pregnancy,155
Other specified connective tissue disease,304
Other specified diseases of veins and lymphatics,23
Other specified encounters and counseling,20
Other specified eye disorders,260
Other specified female genital disorders,110
Other specified hereditary and degenerative nervous system conditions,58
Other specified inflammatory condition of skin,111
Other specified injury,71
"Other specified injury, subsequent encounter",71
Other specified joint disorders,721
Other specified male genital disorders,65
Other specified nervous system disorders,58
Other specified status,198
Other specified substance-related disorders,57
Other specified upper respiratory infections,16
"Other unspecified injuries, subsequent encounter",47
Other unspecified injury,55
Otitis media,88
Pancreatic disorders (excluding diabetes),35
Paralysis (other than cerebral palsy),48
"Parasitic, other specified and unspecified infections",211
Parkinson`s disease,6
"Pathological fracture, initial encounter",102
"Pathological fracture, subsequent encounter",592
"Pathological, stress and atypical fractures, sequelae",214
Pericarditis and pericardial disease,15
Perinatal infections,9
Peripheral and visceral vascular disease,280
Peritonitis and intra-abdominal abscess,16
Personal/family history of disease,221
Personality disorders,13
Pituitary disorders,12
"Pleurisy, pleural effusion and pulmonary collapse",16
Pneumonia (except that caused by tuberculosis),14
Pneumothorax,8
"Poisoning by drugs, subsequent encounter",684
"Poisoning/toxic effect/adverse effects/underdosing, sequelae",1557
Polyhydramnios and other problems of amniotic cavity,112
Polyneuropathies,17
Postprocedural or postoperative circulatory system complication,29
Postprocedural or postoperative complications of the spleen,12
Postprocedural or postoperative digestive system complication,43
Postprocedural or postoperative ear and/or mastoid process complication,16
Postprocedural or postoperative endocrine or metabolic complication,18
Postprocedural or postoperative eye complication,66
Postprocedural or postoperative genitourinary system complication,36
Postprocedural or postoperative musculoskeletal system complication,25
Postprocedural or postoperative nervous system complication,16
Postprocedural or postoperative respiratory system complication,26
Postprocedure or postoperative skin complication,12
Postthrombotic syndrome and venous insufficiency/hypertension,43
Pressure ulcer of skin,150
Previous C-section,4
Prolapse of female genital organs,16
Prolonged pregnancy,2
Proteinuria,18
Pulmonary heart disease,18
Refractive error,37
Regional enteritis and ulcerative colitis,77
Resistance to antimicrobial drugs,18
Respiratory cancers,26
Respiratory congenital malformations,31
Respiratory distress syndrome,3
Respiratory failure; insufficiency; arrest,17
Respiratory perinatal condition,36
Respiratory signs and symptoms,31
Retinal and vitreous conditions,446
Rheumatoid arthritis and related disease,280
Sarcoma,29
Schizophrenia spectrum and other psychotic disorders,102
Scoliosis and other postural dorsopathic deformities,111
Screening for neurocognitive or neurodevelopmental condition,5
Secondary malignancies,44
Sedative-related disorders,39
Septicemia,52
Sequelae of cerebral infarction and other cerebrovascular disease,123
Sequelae of hemorrhagic cerebrovascular disease,123
Sequelae of malnutrition and other nutritional deficiencies,7
Sequelae of specified infectious disease conditions,12
Sequelae of specified nervous system conditions,4
Sexually transmitted infections (excluding HIV and hepatitis),102
Shock,4
Short gestation; low birth weight; and fetal growth retardation,49
Sickle cell trait/anemia,17
Sinusitis,21
Skin and subcutaneous tissue infections,155
Skin cancers - all other types,106
Skin cancers - basal cell carcinoma,26
Skin cancers - melanoma,51
Skin cancers - squamous cell carcinoma,26
Skin/Subcutaneous signs and symptoms,26
Sleep wake disorders,59
Socioeconomic/psychosocial factors,88
Somatic disorders,14
"Spinal cord injury (SCI), initial encounter",105
"Spinal cord injury (SCI), subsequent encounter",105
Spondylopathies/spondyloarthropathy (including infective),317
Spontaneous abortion and complications of spontaneous abortion,24
"Sprains and strains, initial encounter",383
"Sprains and strains, subsequent encounter",383
Stimulant-related disorders,63
Strabismus,54
"Stress fracture, initial encounter",56
"Stress fracture, subsequent encounter",188
Suicidal ideation/attempt/intentional self-harm,1
"Superficial injury; contusion, initial encounter",737
"Superficial injury; contusion, subsequent encounter",737
Supervision of high-risk pregnancy,64
Symptoms of mental and substance use conditions,26
Syncope,1
Systemic lupus erythematosus and connective tissue disorders,69
Tendon and synovial disorders,428
Thyroid disorders,52
Tobacco-related disorders,22
"Toxic effects, initial encounter",19
"Toxic effects, subsequent encounter",536
Transient cerebral ischemia,7
Trauma- and stressor-related disorders,26
Traumatic arthropathy,24
"Traumatic brain injury (TBI); concussion, initial encounter",190
"Traumatic brain injury (TBI); concussion, subsequent encounter",190
Tuberculosis,35
"Uncomplicated pregnancy, delivery or puerperium",22
"Underdosing of drugs, initial encounter",168
"Underdosing of drugs, subsequent encounter",168
Urinary incontinence,15
Urinary system cancers - all other types,4
Urinary system cancers - bladder,11
Urinary system cancers - kidney,3
Urinary system cancers - ureter and renal pelvis,6
Urinary system cancers - urethra,2
Urinary tract infections,62
Uveitis and ocular inflammation,63
Varicose veins of lower extremity,62
Vasculitis,27
Vesicoureteral reflux,8
Viral infection,230
