cluster,icd10_code,icd10_name
Impulse Control Disorder,F63.8,Other habit and impulse disorders
Impulse Control Disorder,F63.9,"Habit and impulse disorder, unspecified"
Oppositional Defiant Disorder,F91.3,Oppositional defiant disorder
Avoidant/Restrictive Food Intake,F50,Eating disorders
Avoidant/Restrictive Food Intake,F50.0,Anorexia nervosa
Avoidant/Restrictive Food Intake,F50.1,Atypical anorexia nervosa
Avoidant/Restrictive Food Intake,F50.2,Bulimia nervosa
Avoidant/Restrictive Food Intake,F50.3,Atypical bulimia nervosa
Avoidant/Restrictive Food Intake,F50.5,Vomiting associated with other psychological disturbances
Avoidant/Restrictive Food Intake,F50.8,Other eating disorders
Avoidant/Restrictive Food Intake,F50.9,"Eating disorder, unspecified"
Avoidant/Restrictive Food Intake,R63.0,Anorexia
Other Eating and Feeding Disorder,F98.2,Feeding disorder of infancy and childhood
Other Eating and Feeding Disorder,F98.3,Pica of infancy and childhood
Encopresis,F98.1,Nonorganic encopresis
Enuresis,F98.0,Nonorganic enuresis
Gender Dysphoria,F64,Gender identity disorders
Gender Dysphoria,F64.0,Transsexualism
Gender Dysphoria,F64.1,Dual-role transvestism
Gender Dysphoria,F64.2,Gender identity disorder of childhood
Gender Dysphoria,F64.8,Other gender identity disorders
Gender Dysphoria,F64.9,"Gender identity disorder, unspecified"
Gender Dysphoria,F66.1,Egodystonic sexual orientation
Paraphilia,F65,Disorders of sexual preference
Paraphilia,F65.0,Fetishism
Paraphilia,F65.1,Fetishistic transvestism
Paraphilia,F65.2,Exhibitionism
Paraphilia,F65.3,Voyeurism
Paraphilia,F65.4,Paedophilia
Paraphilia,F65.5,Sadomasochism
Paraphilia,F65.6,Multiple disorders of sexual preference
Paraphilia,F65.8,Other disorders of sexual preference
Paraphilia,F65.9,"Disorder of sexual preference, unspecified"
Sexual Dysfunction,F52,"Sexual dysfunction, not caused by organic disorder or disease"
Sexual Dysfunction,F52.0,Lack or loss of sexual desire
Sexual Dysfunction,F52.1,Sexual aversion and lack of sexual enjoyment
Sexual Dysfunction,F52.2,Failure of genital response
Sexual Dysfunction,F52.3,Orgasmic dysfunction
Sexual Dysfunction,F52.4,Premature ejaculation
Sexual Dysfunction,F52.7,Excessive sexual drive
Sexual Dysfunction,F52.8,"Other sexual dysfunction, not caused by organic disorder or disease"
Sexual Dysfunction,F52.9,"Unspecified sexual dysfunction, not caused by organic disorder or disease"
Sexual Dysfunction,F66,Psychological and behavioural disorders associated with sexual development and orientation
Sexual Dysfunction,F66.0,Sexual maturation disorder
Sexual Dysfunction,F66.2,Sexual relationship disorder
Parasuicidality,X67.0,Intentional self-poisoning by and exposure to carbon monoxide from combustion engine exhaust
Parasuicidality,X67.2,Intentional self-poisoning by and exposure to carbon monoxide from other domestic fuels
Parasuicidality,X67.3,Intentional self-poisoning by and exposure to carbon monoxide from other sources
Parasuicidality,X67.4,Intentional self-poisoning by and exposure to carbon monoxide from unspecified sources
Parasuicidality,X67.8,Intentional self-poisoning by and exposure to other specified gases and vapours
Parasuicidality,X67.9,Intentional self-poisoning by and exposure to unspecified gases and vapours
Parasuicidality,Z64.2,"Seeking and accepting physical, nutritional and chemical interventions known to be hazardous and harmful"
Parasuicidality,Z64.3,Seeking and accepting behavioural and psychological interventions known to be hazardous and harmful
Suicidality,X60,"Intentional self-poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics"
Suicidality,X61,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"
Suicidality,X62,"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"
Suicidality,X63,Intentional self-poisoning by and exposure to other drugs acting on the autonomic nervous system
Suicidality,X64,"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"
Suicidality,X65,Intentional self-poisoning by and exposure to alcohol
Suicidality,X66,Intentional self-poisoning by and exposure to organic solvents and halogenated hydrocarbons and their vapours
Suicidality,X67,Intentional self-poisoning by and exposure to carbon monoxide and other gases and vapours
Suicidality,X67.0,Intentional self-poisoning by and exposure to carbon monoxide from combustion engine exhaust
Suicidality,X67.1,Intentional self-poisoning by and exposure to carbon monoxide from utility gas
Suicidality,X67.2,Intentional self-poisoning by and exposure to carbon monoxide from other domestic fuels
Suicidality,X67.3,Intentional self-poisoning by and exposure to carbon monoxide from other sources
Suicidality,X67.4,Intentional self-poisoning by and exposure to carbon monoxide from unspecified sources
Suicidality,X67.8,Intentional self-poisoning by and exposure to other specified gases and vapours
Suicidality,X67.9,Intentional self-poisoning by and exposure to unspecified gases and vapours
Suicidality,X68,Intentional self-poisoning by and exposure to pesticides
Suicidality,X69,Intentional self-poisoning by and exposure to other and unspecified chemicals and noxious substances
Suicidality,X70,"Intentional self-harm by hanging, strangulation and suffocation"
Suicidality,X71,Intentional self-harm by drowning and submersion
Suicidality,X72,Intentional self-harm by handgun discharge
Suicidality,X73,"Intentional self-harm by rifle, shotgun and larger firearm discharge"
Suicidality,X74,Intentional self-harm by other and unspecified firearm discharge
Suicidality,X75,Intentional self-harm by explosive material
Suicidality,X76,"Intentional self-harm by smoke, fire and flames"
Suicidality,X77,"Intentional self-harm by steam, hot vapours and hot objects"
Suicidality,X78,Intentional self-harm by sharp object
Suicidality,X79,Intentional self-harm by blunt object
Suicidality,X80,Intentional self-harm by jumping from a high place
Suicidality,X81,Intentional self-harm by jumping or lying before moving object
Suicidality,X82,Intentional self-harm by crashing of motor vehicle
Suicidality,X83,Intentional self-harm by other specified means
Suicidality,X84,Intentional self-harm by unspecified means
Suicidality,Y87.0,Sequelae of intentional self-harm
Bipolar Disorder,F30,Manic episode
Bipolar Disorder,F30.0,Hypomania
Bipolar Disorder,F30.1,Mania without psychotic symptoms
Bipolar Disorder,F30.2,Mania with psychotic symptoms
Bipolar Disorder,F30.8,Other manic episodes
Bipolar Disorder,F30.9,"Manic episode, unspecified"
Bipolar Disorder,F31.5,"Bipolar affective disorder, current episode severe depression with psychotic symptoms"
Major Depression,F06.3,Organic mood [affective] disorders
Major Depression,F32.0,Mild depressive episode
Major Depression,F32.1,Moderate depressive episode
Major Depression,F32.2,Severe depressive episode without psychotic symptoms
Major Depression,F32.3,Severe depressive episode with psychotic symptoms
Major Depression,F33.1,"Recurrent depressive disorder, current episode moderate"
Major Depression,F33.2,"Recurrent depressive disorder, current episode severe without psychotic symptoms"
Major Depression,F33.3,"Recurrent depressive disorder, current episode severe with psychotic symptoms"
Major Depression,F33.4,"Recurrent depressive disorder, currently in remission"
Major Depression,F33.9,"Recurrent depressive disorder, unspecified"
Minor Depression,F32,Depressive episode
Minor Depression,F32.8,Other depressive episodes
Minor Depression,F32.9,"Depressive episode, unspecified"
Minor Depression,F33,Recurrent depressive disorder
Minor Depression,F33.0,"Recurrent depressive disorder, current episode mild"
Minor Depression,F33.8,Other recurrent depressive disorders
Minor Depression,F34,Persistent mood [affective] disorders
Minor Depression,F34.1,Dysthymia
Minor Depression,F34.8,Other persistent mood [affective] disorders
Minor Depression,F34.9,"Persistent mood [affective] disorder, unspecified"
Minor Depression,F38,Other mood [affective] disorders
Minor Depression,F38.0,Other single mood [affective] disorders
Minor Depression,F38.1,Other recurrent mood [affective] disorders
Minor Depression,F38.8,Other specified mood [affective] disorders
Minor Depression,F39,Unspecified mood [affective] disorder
Minor Depression,F41.2,Mixed anxiety and depressive disorder
Minor Depression,F53.0,"Mild mental and behavioural disorders associated with the puerperium, not elsewhere classified"
Minor Depression,F53.1,"Severe mental and behavioural disorders associated with the puerperium, not elsewhere classified"
Minor Depression,F53.8,"Other mental and behavioural disorders associated with the puerperium, not elsewhere classified"
Minor Depression,F92.0,Depressive conduct disorder
Catatonia,F06.1,Organic catatonic disorder
Catatonia,R40.1,Stupor
Delirium,F02.4,Dementia in human immunodeficiency virus [HIV] disease
Delirium,F04,"Organic amnesic syndrome, not induced by alcohol and other psychoactive substances"
Delirium,F05,"Delirium, not induced by alcohol and other psychoactive substances"
Delirium,F05.0,"Delirium not superimposed on dementia, so described"
Delirium,F05.8,Other delirium
Delirium,F05.9,"Delirium, unspecified"
Delirium,F07.2,Postconcussional syndrome
Delirium,F10,Mental and behavioural disorders due to use of alcohol
Delirium,F10.4,"Mental and behavioural disorders due to use of alcohol, Withdrawal state with delirium"
Delirium,F11,Mental and behavioural disorders due to use of opioids
Delirium,F11.4,"Mental and behavioural disorders due to use of opioids, withdrawal state with delirium"
Delirium,F11.6,"Mental and behavioural disorders due to use of opioids, amnesic syndrome"
Delirium,F12,Mental and behavioural disorders due to use of cannabinoids
Delirium,F12.4,"Mental and behavioural disorders due to use of cannabinoids, withdrawal state with delirium"
Delirium,F12.6,"Mental and behavioural disorders due to use of cannabinoids, amnesic syndrome"
Delirium,F13,Mental and behavioural disorders due to use of sedatives or hypnotics
Delirium,F13.4,"Mental and behavioural disorders due to use of sedatives or hypnotics, withdrawal state with delirium"
Delirium,F14,Mental and behavioural disorders due to use of cocaine
Delirium,F14.4,"Mental and behavioural disorders due to use of cocaine, withdrawal state with delirium"
Delirium,F14.6,"Mental and behavioural disorders due to use of cocaine, amnesic syndrome"
Delirium,F15,"Mental and behavioural disorders due to use of other stimulants, including caffeine"
Delirium,F15.4,"Mental and behavioural disorders due to use of other stimulants, including caffeine, withdrawal state with delirium"
Delirium,F15.6,"Mental and behavioural disorders due to use of other stimulants, including caffeine, amnesic syndrome"
Delirium,F16,Mental and behavioural disorders due to use of hallucinogens
Delirium,F16.3,"Mental and behavioural disorders due to use of hallucinogens, withdrawal state"
Delirium,F16.4,"Mental and behavioural disorders due to use of hallucinogens, withdrawal state with delirium"
Delirium,F16.6,"Mental and behavioural disorders due to use of hallucinogens, amnesic syndrome"
Delirium,F17.4,"Mental and behavioural disorders due to use of tobacco, withdrawal state with delirium"
Delirium,F17.6,"Mental and behavioural disorders due to use of tobacco, amnesic syndrome"
Delirium,F18,Mental and behavioural disorders due to use of volatile solvents
Delirium,F18.4,"Mental and behavioural disorders due to use of volatile solvents, withdrawal state with delirium"
Delirium,F18.6,"Mental and behavioural disorders due to use of volatile solvents, amnesic syndrome"
Delirium,F19,Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances
Delirium,F19.4,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, withdrawal state with delirium"
Delirium,F19.6,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, amnesic syndrome"
Delirium,R40,"Somnolence, stupor and coma"
Encephalopathy,A81.1,Subacute sclerosing panencephalitis
Encephalopathy,A83,Mosquito-borne viral encephalitis
Encephalopathy,A83.0,Japanese encephalitis
Encephalopathy,A83.4,Australian encephalitis
Encephalopathy,A83.5,California encephalitis
Encephalopathy,A83.8,Other mosquito-borne viral encephalitis
Encephalopathy,A83.9,"Mosquito-borne viral encephalitis, unspecified"
Encephalopathy,A84,Tick-borne viral encephalitis
Encephalopathy,A84.0,Far Eastern tick-borne encephalitis [Russian spring-summer encephalitis]
Encephalopathy,A84.1,Central European tick-borne encephalitis
Encephalopathy,A84.8,Other tick-borne viral encephalitis
Encephalopathy,A84.9,"Tick-borne viral encephalitis, unspecified"
Encephalopathy,A85,"Other viral encephalitis, not elsewhere classified"
Encephalopathy,A85.0,Enteroviral encephalitis
Encephalopathy,A85.1,Adenoviral encephalitis
Encephalopathy,A85.8,Other specified viral encephalitis
Encephalopathy,A86,Unspecified viral encephalitis
Encephalopathy,B00.4,Herpesviral encephalitis
Encephalopathy,B01.1,Varicella encephalitis
Encephalopathy,B02.0,Zoster encephalitis
Encephalopathy,B05.0,Measles complicated by encephalitis
Encephalopathy,B26.2,Mumps encephalitis
Encephalopathy,B50.0,Plasmodium falciparum malaria with cerebral complications
Encephalopathy,B58.2,Toxoplasma meningoencephalitis
Encephalopathy,F06.8,Other specified mental disorders due to brain damage and dysfunction and to physical disease
Encephalopathy,F06.9,Unspecified mental disorder due to brain damage and dysfunction and to physical disease
Encephalopathy,F07.1,Postencephalitic syndrome
Encephalopathy,F10.6,"Mental and behavioural disorders due to use of alcohol, Amnesic syndrome"
Encephalopathy,F13.6,"Mental and behavioural disorders due to use of sedatives or hypnotics, amnesic syndrome"
Encephalopathy,G04.0,Acute disseminated encephalitis
Encephalopathy,G21.3,Postencephalitic parkinsonism
Academic Developmental Disorder,F81,Specific developmental disorders of scholastic skills
Academic Developmental Disorder,F81.0,Specific reading disorder
Academic Developmental Disorder,F81.1,Specific spelling disorder
Academic Developmental Disorder,F81.2,Specific disorder of arithmetical skills
Academic Developmental Disorder,F81.3,Mixed disorder of scholastic skills
Academic Developmental Disorder,F81.8,Other developmental disorders of scholastic skills
Academic Developmental Disorder,F81.9,"Developmental disorder of scholastic skills, unspecified"
ADHD,F84.4,Overactive disorder associated with mental retardation and stereotyped movements
ADHD,F90,Hyperkinetic disorders
ADHD,F90.0,Disturbance of activity and attention
ADHD,F90.8,Other hyperkinetic disorders
ADHD,F90.9,"Hyperkinetic disorder, unspecified"
Autism Spectrum Disorder,F84,Pervasive developmental disorders
Autism Spectrum Disorder,F84.0,Childhood autism
Autism Spectrum Disorder,F84.1,Atypical autism
Autism Spectrum Disorder,F84.2,Rett syndrome
Autism Spectrum Disorder,F84.5,Asperger syndrome
Autism Spectrum Disorder,F84.8,Other pervasive developmental disorders
Autism Spectrum Disorder,F84.9,"Pervasive developmental disorder, unspecified"
Communication/Motor Disorder,F80,Specific developmental disorders of speech and language
Communication/Motor Disorder,F80.0,Specific speech articulation disorder
Communication/Motor Disorder,F80.1,Expressive language disorder
Communication/Motor Disorder,F80.2,Receptive language disorder
Communication/Motor Disorder,F80.3,Acquired aphasia with epilepsy [Landau-Kleffner]
Communication/Motor Disorder,F80.8,Other developmental disorders of speech and language
Communication/Motor Disorder,F80.9,"Developmental disorder of speech and language, unspecified"
Communication/Motor Disorder,F82,Specific developmental disorder of motor function
Communication/Motor Disorder,F98.5,Stuttering [stammering]
Intellectual Disability,F06.7,Mild cognitive disorder
Intellectual Disability,F70,Mild mental retardation
Intellectual Disability,F70.0,"Mild mental retardation, With the statement of no, or minimal, impairment of behaviour"
Intellectual Disability,F70.1,"Mild mental retardation, Significant impairment of behaviour requiring attention or treatment"
Intellectual Disability,F70.8,"Mild mental retardation, Other impairments of behaviour"
Intellectual Disability,F70.9,"Mild mental retardation, Without mention of impairment of behaviour"
Intellectual Disability,F71,Moderate mental retardation
Intellectual Disability,F71.0,"Moderate mental retardation, with the statement of no, or minimal, impairment of behaviour"
Intellectual Disability,F71.1,"Moderate mental retardation, significant impairment of behaviour requiring attention or treatment"
Intellectual Disability,F71.8,"Moderate mental retardation, other impairments of behaviour"
Intellectual Disability,F71.9,"Moderate mental retardation, without mention of impairment of behaviour"
Intellectual Disability,F72,Severe mental retardation
Intellectual Disability,F72.0,"Severe mental retardation, with the statement of no, or minimal, impairment of behaviour"
Intellectual Disability,F72.1,"Severe mental retardation, significant impairment of behaviour requiring attention or treatment"
Intellectual Disability,F72.8,"Severe mental retardation, other impairments of behaviour"
Intellectual Disability,F72.9,"Severe mental retardation, without mention of impairment of behaviour"
Intellectual Disability,F73,Profound mental retardation
Intellectual Disability,F73.0,"Profound mental retardation, with the statement of no, or minimal, impairment of behaviour"
Intellectual Disability,F73.1,"Profound mental retardation, significant impairment of behaviour requiring attention or treatment"
Intellectual Disability,F73.8,"Profound mental retardation, other impairments of behaviour"
Intellectual Disability,F73.9,"Profound mental retardation, without mention of impairment of behaviour"
Intellectual Disability,F78,Other mental retardation
Intellectual Disability,F78.0,"Other mental retardation, with the statement of no, or minimal, impairment of behaviour"
Intellectual Disability,F78.1,"Other mental retardation, significant impairment of behaviour requiring attention or treatment"
Intellectual Disability,F78.8,"Other mental retardation, other impairments of behaviour"
Intellectual Disability,F78.9,"Other mental retardation, without mention of impairment of behaviour"
Intellectual Disability,F79,Unspecified mental retardation
Intellectual Disability,F79.0,"Unspecified mental retardation, with the statement of no, or minimal, impairment of behaviour"
Intellectual Disability,F79.1,"Unspecified mental retardation, significant impairment of behaviour requiring attention or treatment"
Intellectual Disability,F79.8,"Unspecified mental retardation, other impairments of behaviour"
Intellectual Disability,F79.9,"Unspecified mental retardation, without mention of impairment of behaviour"
Intellectual Disability,F83,Mixed specific developmental disorders
Intellectual Disability,F98,Other behavioural and emotional disorders with onset usually occurring in childhood and adolescence
Personality Disorder,F07,"Personality and behavioural disorders due to brain disease, damage and dysfunction"
Personality Disorder,F07.0,Organic personality disorder
Personality Disorder,F07.8,"Other organic personality and behavioural disorders due to brain disease, damage and dysfunction"
Personality Disorder,F07.9,"Unspecified organic personality and behavioural disorder due to brain disease, damage and dysfunction"
Personality Disorder,F21,Schizotypal disorder
Personality Disorder,F42.0,Predominantly obsessional thoughts or ruminations
Personality Disorder,F42.1,Predominantly compulsive acts [obsessional rituals]
Personality Disorder,F60,Specific personality disorders
Personality Disorder,F60.0,Paranoid personality disorder
Personality Disorder,F60.1,Schizoid personality disorder
Personality Disorder,F60.2,Dissocial personality disorder
Personality Disorder,F60.3,Emotionally unstable personality disorder
Personality Disorder,F60.4,Histrionic personality disorder
Personality Disorder,F60.5,Anankastic personality disorder
Personality Disorder,F60.6,Anxious [avoidant] personality disorder
Personality Disorder,F60.7,Dependent personality disorder
Personality Disorder,F60.8,Other specific personality disorders
Personality Disorder,F60.9,"Personality disorder, unspecified"
Personality Disorder,F61,Mixed and other personality disorders
Personality Disorder,F62,"Enduring personality changes, not attributable to brain damage and disease"
Personality Disorder,F62.1,Enduring personality change after psychiatric illness
Personality Disorder,F62.8,Other enduring personality changes
Personality Disorder,F62.9,"Enduring personality change, unspecified"
Personality Disorder,F68.8,Other specified disorders of adult personality and behaviour
Psychotic Disorder,F06.0,Organic hallucinosis
Psychotic Disorder,F06.2,Organic delusional [schizophrenia-like] disorder
Psychotic Disorder,F10.5,"Mental and behavioural disorders due to use of alcohol, Psychotic disorder"
Psychotic Disorder,F10.7,"Mental and behavioural disorders due to use of alcohol, Residual and late-onset psychotic disorder"
Psychotic Disorder,F11.5,"Mental and behavioural disorders due to use of opioids, psychotic disorder"
Psychotic Disorder,F11.7,"Mental and behavioural disorders due to use of opioids, residual and late-onset psychotic disorder"
Psychotic Disorder,F12.5,"Mental and behavioural disorders due to use of cannabinoids, psychotic disorder"
Psychotic Disorder,F12.7,"Mental and behavioural disorders due to use of cannabinoids, residual and late-onset psychotic disorder"
Psychotic Disorder,F13.5,"Mental and behavioural disorders due to use of sedatives or hypnotics, psychotic disorder"
Psychotic Disorder,F13.7,"Mental and behavioural disorders due to use of sedatives or hypnotics, residual and late-onset psychotic disorder"
Psychotic Disorder,F14.5,"Mental and behavioural disorders due to use of cocaine, psychotic disorder"
Psychotic Disorder,F14.7,"Mental and behavioural disorders due to use of cocaine, residual and late-onset psychotic disorder"
Psychotic Disorder,F15.5,"Mental and behavioural disorders due to use of other stimulants, including caffeine, psychotic disorder"
Psychotic Disorder,F15.7,"Mental and behavioural disorders due to use of other stimulants, including caffeine, residual and late-onset psychotic disorder"
Psychotic Disorder,F16.5,"Mental and behavioural disorders due to use of hallucinogens, psychotic disorder"
Psychotic Disorder,F16.7,"Mental and behavioural disorders due to use of hallucinogens, residual and late-onset psychotic disorder"
Psychotic Disorder,F17.5,"Mental and behavioural disorders due to use of tobacco, psychotic disorder"
Psychotic Disorder,F17.7,"Mental and behavioural disorders due to use of tobacco, residual and late-onset psychotic disorder"
Psychotic Disorder,F18.5,"Mental and behavioural disorders due to use of volatile solvents, psychotic disorder"
Psychotic Disorder,F18.7,"Mental and behavioural disorders due to use of volatile solvents, residual and late-onset psychotic disorder"
Psychotic Disorder,F19.5,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, psychotic disorder"
Psychotic Disorder,F19.7,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, residual and late-onset psychotic disorder"
Psychotic Disorder,F22,Persistent delusional disorders
Psychotic Disorder,F22.0,Delusional disorder
Psychotic Disorder,F22.8,Other persistent delusional disorders
Psychotic Disorder,F22.9,"Persistent delusional disorder, unspecified"
Psychotic Disorder,F23,Acute and transient psychotic disorders
Psychotic Disorder,F23.3,Other acute predominantly delusional psychotic disorders
Psychotic Disorder,F23.8,Other acute and transient psychotic disorders
Psychotic Disorder,F23.9,"Acute and transient psychotic disorder, unspecified"
Psychotic Disorder,F24,Induced delusional disorder
Psychotic Disorder,F28,Other nonorganic psychotic disorders
Psychotic Disorder,F29,Unspecified nonorganic psychosis
Schizoaffective Disorder,F25,Schizoaffective disorders
Schizoaffective Disorder,F25.0,"Schizoaffective disorder, manic type"
Schizoaffective Disorder,F25.1,"Schizoaffective disorder, depressive type"
Schizoaffective Disorder,F25.2,"Schizoaffective disorder, mixed type"
Schizoaffective Disorder,F25.8,Other schizoaffective disorders
Schizoaffective Disorder,F25.9,"Schizoaffective disorder, unspecified"
Schizophrenia,F20,Schizophrenia
Schizophrenia,F20.0,Paranoid schizophrenia
Schizophrenia,F20.1,Hebephrenic schizophrenia
Schizophrenia,F20.2,Catatonic schizophrenia
Schizophrenia,F20.3,Undifferentiated schizophrenia
