"code1","codetype1","descrip"
"870267006","DXSM","Pervasive developmental disorder with disorder of intellectual development and marked impairment of functional language without loss of previously acquired skills"
"870268001","DXSM","Pervasive developmental disorder with disorder of intellectual development and complete impairment of functional language without loss of previously acquired skills"
"870269009","DXSM","Pervasive developmental disorder with disorder of intellectual development and abscence of functional language with loss of previously acquired skills"
"870270005","DXSM","Pervasive developmental disorder with disorder of intellectual development and complete impairment of functional language with loss of previously acquired skills"
"870280009","DXSM","Pervasive developmental disorder with severe impairment of functional language with loss of previously acquired skills"
"870282001","DXSM","Pervasive developmental disorder with severe impairment of functional language without loss of previously acquired skills"
"870303005","DXSM","Pervasive developmental disorder with complete impairment of functional language with loss of previously acquired skills"
"870304004","DXSM","Pervasive developmental disorder with complete impairment of functional language without loss of previously acquired skills"
"870305003","DXSM","Pervasive developmental disorder with cognitive developmental delay and marked impairment of functional language"
"870306002","DXSM","Pervasive developmental disorder with complete impairment of functional language"
"870307006","DXSM","Pervasive developmental disorder with abscence of functional language"
"870308001","DXSM","Pervasive developmental disorder with cognitive developmental delay and complete impairment of functional language"
"889211000000104","DXSM","Specific learning disability"
"889221000000105","DXSM","Specific learning disability"
"89361000119103","DXSM","Mild developmental articulation disorder"
"89381000119107","DXSM","Moderate receptive language delay"
"89391000119105","DXSM","Severe receptive language delay"
"89501000119108","DXSM","Mild receptive language delay"
"898051000000104","DXSM","Speech and language developmental delay"
"9236007","DXSM","Alexia"
"931001000000105","DXSM","Significant learning disability"
"954731000000103","DXSM","Intellectual development disorder of unknown aetiology"
"954971000000103","DXSM","Pragmatic language disorder"
"954981000000101","DXSM","Pragmatic language disorder"
"984661000000105","DXSM","Mild learning disability"
"984671000000103","DXSM","Moderate learning disability"
"984681000000101","DXSM","Profound learning disability"
