Concept Set ID,Name,Concept ID,Concept Code,Concept Name,Concept Class ID,Domain,Vocabulary
374,Cardiac Disorders,314478,22271007,Abnormal fetal heart beat first noted during labor AND/OR delivery in liveborn infant,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,4100860,253316001,Abnormal inferior vena caval connection,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,4100396,253542002,Abnormal left ventricular muscle band,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,4112093,253609009,Abnormal number of aortic valve cusps,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,4104799,29375001,Abnormal number of cusps,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,4123286,302943003,Abnormal number of pulmonary valve cusps,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,4109329,253687009,Abnormal origin of arterial duct,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,4109203,253635005,Abnormal origin of left pulmonary artery,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,4109345,253632008,Abnormal origin of right pulmonary artery,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,37018767,714180007,Abnormal ostium of coronary artery,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,37017834,714181006,Abnormal ostium of coronary sinus,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,4263915,36133000,Abnormal position of cardiac valve,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,4102710,253270001,Abnormal relationship of aortic orifice to pulmonary orifice,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,4100732,253268005,Abnormal relationship of right ventricle to left ventricle,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,40456182,253295000,Abnormal ventriculoarterial connection,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,43020939,472820000,Abnormal ventriculoarterial connection with usual origin of left coronary artery from aortic sinus to right of nonfacing aortic sinus and usual origin of right coronary artery from aortic sinus to left of nonfacing aortic sinus,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,40491478,448743001,Abnormality of aortic valve,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,4102856,253363004,Abnormality of atrial septum,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,4101488,253427003,"Abnormality of atrioventricular (non-mitral, non-tricuspid) valve",Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,40486743,449388008,Abnormality of atrioventricular valve leaflet in atrioventricular septal defect,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,4101491,253444004,Abnormality of common atrioventricular valve chordae tendinae,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,4100255,253428008,Abnormality of common atrioventricular valve in atrioventricular septal defect,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,4101176,253449009,Abnormality of common atrioventricular valve papillary muscle,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,43021739,473383000,Abnormality of fetal heart,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,4100137,253355000,Abnormality of left atrial appendage,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,4101313,253501000,Abnormality of left atrioventricular valve chordae tendinae,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,4101184,253483002,Abnormality of left atrioventricular valve in double inlet ventricle,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,4100276,253506005,Abnormality of left atrioventricular valve papillary muscle,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,4102866,253406008,Abnormality of mitral chordae tendinae,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,40490938,448618004,Abnormality of mitral valve annulus,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,40490966,448643005,Abnormality of pulmonary valve,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,40487643,449529003,Abnormality of pulmonary valve cusp,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,4102849,253344000,Abnormality of right atrial appendage,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,4100267,253473001,Abnormality of right atrioventricular valve chordae tendinae,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,4100261,253454000,Abnormality of right atrioventricular valve in double inlet ventricle,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,4101183,253478005,Abnormality of right atrioventricular valve papillary muscle,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,4100123,253306009,Abnormality of right superior vena cava,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,4102859,253385005,Abnormality of tricuspid chordae tendinae,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,40488441,448159009,Abnormality of tricuspid subvalvar apparatus,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,40491970,448821004,Abnormality of truncal valve cusp,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,43021625,461432007,Abscess at site of cardiac valve prosthesis,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,43021062,459177003,Abscess at site of interatrial communication,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,43021050,459161004,Abscess at site of ventricular septal defect,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,4324608,430065009,Abscess of aortic valve,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,4227089,405548009,Abscess of cardiac septum,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,43021051,459162006,Abscess of common atrioventricular valve,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,4137358,425548001,Abscess of heart,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,43021953,459175006,Abscess of left atrioventricular (not morphologically mitral) valve,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,43020612,457587000,Abscess of left ventricular wall,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,4334321,430616003,Abscess of mitral valve,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,4236722,405547004,Abscess of myocardium,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,4329088,431238002,Abscess of pulmonary valve,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,43021061,459176007,Abscess of right atrioventricular (not morphologically tricuspid) valve,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,43020611,457582006,Abscess of right ventricular wall,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,4331669,431189009,Abscess of tricuspid valve,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,4332658,430402003,Abscess of tricuspid valve due to bacteria,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,43020688,458038006,Abscess of truncal valve,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,40492953,449005003,Absence of mitral chordae tendinae,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,40488032,449563001,Absence of primary mitral chordae tendinae,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,40493470,449133000,Absence of pulmonary valve cusp,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,40490956,448634001,Absent aortic valve cusp,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,4099996,253279000,Absent atrioventricular connection with straddling valve,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,4100859,253312004,Absent bridging vein,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,4101494,253451008,Absent common atrioventricular valve papillary muscle,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,4101613,253494003,Absent left atrioventricular valve leaflets,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,4101615,253508006,Absent left atrioventricular valve papillary muscle,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,4100001,253290005,Absent left sided atrioventricular connection,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,44803295,7.26581E+14,Absent left sided atrioventricular connection with straddling valve,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,4100882,253401003,Absent mitral leaflets,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,4100150,253411005,Absent mitral papillary muscle,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,40487991,448084009,Absent pulmonary trunk,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,4108727,253596003,Absent pulmonary valve syndrome,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,40489971,448475002,Absent pulmonary valve syndrome with ventricular septal defect of non Fallot type,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,4101608,253465005,Absent right atrioventricular valve leaflets,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,4101611,253480004,Absent right atrioventricular valve papillary muscle,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,4099998,253285007,Absent right sided atrioventricular connection,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,44803294,7.26571E+14,Absent right sided atrioventricular connection with straddling valve,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,4100124,253308005,Absent right superior vena cava,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,4100143,253381001,Absent tricuspid leaflet,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,4101164,253392000,Absent tricuspid papillary muscle,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,40490957,448635000,Absent venous duct,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,40487641,449527001,Absent venous duct with direct connection of umbilical vein to inferior caval vein,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,40487595,449486006,Absent venous duct with direct connection of umbilical vein to renal vein,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,40487164,449439007,Absent venous duct with direct connection of umbilical vein to right atrium,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,4118403,205834002,Acardia,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,4183030,4313003,Acardiacus anceps,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,4223063,84648007,Acardius,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,4057008,16797001,Accelerated atrioventricular conduction,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,4119951,233844002,Accelerated coronary artery disease in transplanted heart,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,4247537,61277005,Accelerated idioventricular rhythm,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,4161515,431186002,Accelerated rejection of cardiac transplant,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,44804851,7.59971E+14,Accessory mitral leaflet,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,4109341,253608001,Accessory tissue on aortic valve cusp,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,4102997,253440008,Accessory tissue on common atrioventricular valve leaflet,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,4103015,253499008,Accessory tissue on left atrioventricular valve leaflet,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,4100149,253405007,Accessory tissue on mitral leaflet,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,4109338,253597007,Accessory tissue on pulmonary valve cusp,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,4101181,253471004,Accessory tissue on right atrioventricular valve leaflet,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,4100877,253384009,Accessory tissue on tricuspid leaflet,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,4112084,253584005,Accessory tissue on truncal valve cusp,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,40487992,448085005,Acommissural unicuspid aortic valve,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,40487547,448004007,Acommissural unicuspid pulmonary valve,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,37312140,789693005,Acquired Brugada syndrome,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,43020923,472803004,Acquired abnormality of atrioventricular (not morphologically mitral or tricuspid) valve associated with atrioventricular septal defect,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,42539547,735569003,Acquired abnormality of atrium,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,42536632,735570002,Acquired abnormality of cardiac ventricle,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,42539548,735578009,Acquired abnormality of coronary sinus,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,43022027,461298006,Acquired abnormality of left atrioventricular (not morphologically mitral) valve,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,43021479,461305001,Acquired abnormality of right atrioventricular (not morphologically tricuspid) valve,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,4327930,75473000,Acquired arteriovenous fistula of heart,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,4048535,123643003,Acquired atresia of pulmonary valve,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,36716866,723089002,Acquired atrial septal defect,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,4110959,194845005,Acquired atrioventricular fistula of heart,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,4108950,195137008,Acquired cardiac septal defect,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,37116420,733125004,Acquired complete atrioventricular block,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,40492540,448982005,Acquired complete obstruction of aortic outflow,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,43020480,2.86391E+14,Acquired coronary artery fistula,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,43020582,471301006,Acquired excessive restriction of interatrial communication,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,43021480,461312005,Acquired interatrial communication,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,40479264,442946007,Acquired long QT syndrome,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,35624430,767169001,Acquired obstruction of coronary sinus,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,43021613,461417000,Acquired occlusion of coronary sinus,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,43021610,461414007,Acquired subaortic aneurysm of left ventricle,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,43020914,472794005,Acquired subaortic stenosis associated with functionally univentricular heart,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,43020915,472795006,Acquired subaortic stenosis due to restrictive ventricular septal defect associated with functionally univentricular heart,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,43022035,461413001,Acquired submitral aneurysm of left ventricle,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,43020919,472799000,Acquired subpulmonary stenosis associated with functionally univentricular heart,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,43020920,472800001,Acquired subpulmonary stenosis due to restrictive ventricular defect associated with functionally univentricular heart,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,42536633,735571003,Acquired ventricular septal defect,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,4089976,186813004,Acute Chagas' disease with heart involvement,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,4119457,233827001,Acute Q wave infarction - anterolateral,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,4119943,233825009,Acute Q wave infarction - anteroseptal,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,4121464,233829003,Acute Q wave infarction - inferior,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,4121465,233831007,Acute Q wave infarction - inferolateral,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,4124684,233833005,Acute Q wave infarction - lateral,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,4119948,233836002,Acute Q wave infarction - widespread,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,4126801,304914007,Acute Q wave myocardial infarction,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,4296653,401303003,Acute ST segment elevation myocardial infarction,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,46270162,15713081000119108,Acute ST segment elevation myocardial infarction due to left coronary artery occlusion,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,761737,15963181000119104,Acute ST segment elevation myocardial infarction due to occlusion of circumflex coronary artery,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,46270163,15713121000119105,Acute ST segment elevation myocardial infarction due to right coronary artery occlusion,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,43020460,2.85981E+14,Acute ST segment elevation myocardial infarction involving left anterior descending coronary artery,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,45766076,703165004,Acute ST segment elevation myocardial infarction of anterior wall involving right ventricle,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,761736,15962541000119106,Acute ST segment elevation myocardial infarction of anteroapical wall,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,46270159,15712881000119105,Acute ST segment elevation myocardial infarction of anterolateral wall,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,46270160,15712961000119108,Acute ST segment elevation myocardial infarction of anteroseptal wall,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,45766116,703213009,Acute ST segment elevation myocardial infarction of inferior wall,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,45766151,703253007,Acute ST segment elevation myocardial infarction of inferior wall involving right ventricle,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,35611570,12238111000119106,Acute ST segment elevation myocardial infarction of inferolateral wall,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,35611571,12238151000119107,Acute ST segment elevation myocardial infarction of inferoposterior wall,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,46274044,15712921000119103,Acute ST segment elevation myocardial infarction of lateral wall,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,46270161,15713041000119103,Acute ST segment elevation myocardial infarction of posterior wall,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,46273495,15713201000119105,Acute ST segment elevation myocardial infarction of posterobasal wall,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,46270158,15712841000119100,Acute ST segment elevation myocardial infarction of posterolateral wall,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,46270164,15713161000119100,Acute ST segment elevation myocardial infarction of septum,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,437899,266237004,Acute and subacute bacterial endocarditis,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,4108805,194921005,Acute and subacute endocarditis,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,435563,194926000,Acute and subacute infective endocarditis associated with another disorder,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,45766075,703164000,Acute anterior ST segment elevation myocardial infarction,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,4178129,52035003,Acute anteroapical myocardial infarction,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,4267568,62695002,Acute anteroseptal myocardial infarction,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,4111088,194943002,Acute aseptic myocarditis of the newborn,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,4009624,111286002,Acute bacterial endocarditis,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,44782718,1.53931E+14,Acute combined systolic and diastolic heart failure,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,4023479,10633002,Acute congestive heart failure,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,312927,49584005,Acute cor pulmonale,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,44784623,7.8741E+13,Acute coronary artery occlusion not resulting in myocardial infarction,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,4108670,194823009,Acute coronary insufficiency,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,4215140,394659003,Acute coronary syndrome,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,40481042,443343001,Acute diastolic heart failure,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,434663,91357005,Acute endocarditis,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,4222405,420395004,Acute endocarditis associated with AIDS,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,37017266,713511002,Acute endocarditis co-occurrent with human immunodeficiency virus infection,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,44782655,698296002,Acute exacerbation of chronic congestive heart failure,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,37309625,16838951000119100,Acute exacerbation of chronic right ventricular failure,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,4132088,127337006,Acute heart disease,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,442310,56675007,Acute heart failure,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,764877,7.421E+12,Acute heart failure co-occurrent with normal ejection fraction,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,4011131,10273003,Acute infarction of papillary muscle,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,37312037,788860005,Acute infection of heart caused by virus,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,43020873,459056003,Acute infective endocarditis,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,319844,413439005,Acute ischemic heart disease,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,36716182,722095005,Acute kidney injury due to circulatory failure,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,4108245,195114002,Acute left ventricular failure,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,4327205,74960003,Acute left-sided congestive heart failure,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,4267800,364006,Acute left-sided heart failure,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,4188554,373116009,Acute mitral regurgitation,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,4161458,371814000,Acute mitral regurgitation from chordal dysfunction,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,4155964,371813006,Acute mitral regurgitation from chordal rupture,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,4161459,371815004,Acute mitral regurgitation from papillary muscle dysfunction,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,4161975,371816003,Acute mitral regurgitation from papillary muscle rupture,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,312327,57054005,Acute myocardial infarction,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,44782769,1.7531E+13,Acute myocardial infarction due to left coronary artery occlusion,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,44782712,2.3311E+13,Acute myocardial infarction due to right coronary artery occlusion,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,45766115,703212004,Acute myocardial infarction during procedure,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,434376,54329005,Acute myocardial infarction of anterior wall,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,45766150,703252002,Acute myocardial infarction of anterior wall involving right ventricle,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,438438,70211005,Acute myocardial infarction of anterolateral wall,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,4243372,59063002,Acute myocardial infarction of apical-lateral wall,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,4108669,194809007,Acute myocardial infarction of atrium,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,4151046,282006,Acute myocardial infarction of basal-lateral wall,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,4275436,64627002,Acute myocardial infarction of high lateral wall,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,438170,73795002,Acute myocardial infarction of inferior wall,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,45771322,703251009,Acute myocardial infarction of inferior wall involving right ventricle,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,438447,65547006,Acute myocardial infarction of inferolateral wall,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,441579,76593002,Acute myocardial infarction of inferoposterior wall,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,436706,58612006,Acute myocardial infarction of lateral wall,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,4324413,70998009,Acute myocardial infarction of posterobasal wall,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,4051874,15990001,Acute myocardial infarction of posterolateral wall,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,4303359,79009004,Acute myocardial infarction of septum,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,4147223,30277009,Acute myocardial infarction with rupture of ventricle,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,4189939,413444003,Acute myocardial ischemia,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,312653,46701001,Acute myocarditis,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,4111089,194944008,Acute myocarditis - coxsackie,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,4111403,194945009,Acute myocarditis - diphtheritic,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,4108226,194946005,Acute myocarditis - influenzal,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,4111091,194950003,Acute myocarditis - meningococcal,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,4111090,194947001,Acute myocarditis - syphilitic,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,4108810,194948006,Acute myocarditis - toxoplasmosis,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,4108227,194949003,Acute myocarditis - tuberculous,Clinical Finding,Condition,SNOMED
