"","dx","dx_type","dx_name"
"116","296.30","09","Major depressive affective disorder, recurrent episode, unspecified"
"117","296.31","09","Major depressive affective disorder, recurrent episode, mild"
"118","296.32","09","Major depressive affective disorder, recurrent episode, moderate"
"119","296.33","09","Major depressive affective disorder, recurrent episode, severe, without mention of psychotic behavior"
"120","296.34","09","Major depressive affective disorder, recurrent episode, severe, specified as with psychotic behavior"
"121","296.35","09","Major depressive affective disorder, recurrent episode, in partial or unspecified remission"
"122","296.36","09","Major depressive affective disorder, recurrent episode, in full remission"
"123","298.0","09","Depressive type psychosis"
"124","300.4","09","Dysthymic disorder"
"125","301.12","09","Chronic depressive personality disorder"
"126","309.0","09","Adjustment disorder with depressed mood"
"127","309.1","09","Prolonged depressive reaction"
"128","309.28","09","Adjustment disorder with mixed anxiety and depressed mood"
"129","311","09","Depressive disorder, not elsewhere classified"
"130","F32","10","Major depressive disorder, single episode"
"131","F32.0","10","Major depressive disorder, single episode, mild"
"132","F32.1","10","Major depressive disorder, single episode, moderate"
"133","F32.2","10","Major depressive disorder, single episode, severe without psychotic features"
"134","F32.3","10","Major depressive disorder, single episode, severe with psychotic features"
"135","F32.4","10","Major depressive disorder, single episode, in partial remission"
"136","F32.5","10","Major depressive disorder, single episode, in full remission"
"137","F32.9","10","Major depressive disorder, single episode, unspecified"
"138","F33","10","Major depressive disorder, recurrent"
"139","F33.0","10","Major depressive disorder, recurrent, mild"
"140","F33.1","10","Major depressive disorder, recurrent, moderate"
"141","F33.2","10","Major depressive disorder, recurrent severe without psychotic features"
"142","F33.3","10","Major depressive disorder, recurrent, severe with psychotic symptoms"
"143","F33.4","10","Major depressive disorder, recurrent, in remission"
"144","F33.40","10","Major depressive disorder, recurrent, in remission, unspecified"
"145","F33.41","10","Major depressive disorder, recurrent, in partial remission"
"146","F33.42","10","Major depressive disorder, recurrent, in full remission"
"147","F33.8","10","Other recurrent depressive disorders"
"148","F33.9","10","Major depressive disorder, recurrent, unspecified"
"149","F34.1","10","Dysthymic disorder"
